budget_year,account_type,department,fund_code,account_category,amount
FY16-17,Revenue,,1010,Service Charges,3766
FY16-17,Revenue,,1010,Licenses & Permits,506558
FY16-17,Revenue,,1010,Fines & Penalties,63865
FY16-17,Revenue,,1010,Service Charges,139002
FY16-17,Revenue,,1010,Service Charges,5600
FY16-17,Revenue,,1010,Licenses & Permits,3968
FY16-17,Revenue,,1010,Service Charges,23400
FY16-17,Revenue,,1010,Licenses & Permits,144207
FY16-17,Revenue,,1010,Licenses & Permits,200377
FY16-17,Revenue,,1010,Licenses & Permits,499500
FY16-17,Revenue,,1010,Fines & Penalties,6000
FY16-17,Revenue,,1010,Service Charges,37200
FY16-17,Revenue,,1010,Service Charges,12800
FY16-17,Revenue,,1610,Grants & Subsidies,1794454
FY16-17,Revenue,,2999,Grants & Subsidies,254213
FY16-17,Revenue,,1010,Service Charges,4700
FY16-17,Revenue,,1010,Service Charges,3300
FY16-17,Revenue,,1010,Service Charges,14000
FY16-17,Revenue,,2413,Transfers from Fund Balance,124657
FY16-17,Revenue,,1760,Service Charges,1701904
FY16-17,Revenue,,1760,Service Charges,97486
FY16-17,Revenue,,1010,Service Charges,882521
FY16-17,Revenue,,1010,Service Charges,22450
FY16-17,Revenue,,1010,Service Charges,37029
FY16-17,Revenue,,1010,Service Charges,383210
FY16-17,Revenue,,1010,Service Charges,20000
FY16-17,Revenue,,1010,Interfund Transfers,206667
FY16-17,Revenue,,1010,Service Charges,56000
FY16-17,Revenue,,1610,Grants & Subsidies,3974408
FY16-17,Revenue,,1750,Service Charges,10100
FY16-17,Revenue,,1770,Service Charges,542000
FY16-17,Revenue,,1770,Transfers from Fund Balance,217193
FY16-17,Revenue,,2195,Grants & Subsidies,1075377
FY16-17,Revenue,,2195,Grants & Subsidies,1413381
FY16-17,Revenue,,2195,Grants & Subsidies,1437498
FY16-17,Revenue,,2195,Grants & Subsidies,226550
FY16-17,Revenue,,2419,Transient Occupancy Tax,379463
FY16-17,Revenue,,2419,Transient Occupancy Tax,126940
FY16-17,Revenue,,2419,Transient Occupancy Tax,154260
FY16-17,Revenue,,4400,Service Charges,2400
FY16-17,Revenue,,5610,Service Charges,150000
FY16-17,Revenue,,5610,Service Charges,200000
FY16-17,Revenue,,5650,Service Charges,100000
FY16-17,Revenue,,5670,Transfers from Fund Balance,560547
FY16-17,Revenue,,5671,Service Charges,969273
FY16-17,Revenue,,5671,Service Charges,881825
FY16-17,Revenue,,5999,Transfers from Fund Balance,5000
FY16-17,Revenue,,1010,Property Tax,8049544
FY16-17,Revenue,,1010,Property Tax,2198860
FY16-17,Revenue,,1010,Property Tax,92258634
FY16-17,Revenue,,1010,Service Charges,5904276
FY16-17,Revenue,,1010,Licenses & Permits,76381
FY16-17,Revenue,,1010,Fines & Penalties,90112
FY16-17,Revenue,,1010,Service Charges,318881
FY16-17,Revenue,,1010,Service Charges,155
FY16-17,Revenue,,1010,Property Tax,5170000
FY16-17,Revenue,,1010,Property Tax,979457
FY16-17,Revenue,,1010,Transient Occupancy Tax,19379450
FY16-17,Revenue,,1010,Fines & Penalties,5000
FY16-17,Revenue,,1010,Service Charges,7430
FY16-17,Revenue,,1010,Service Charges,1765158
FY16-17,Revenue,,1010,Service Charges,4400
FY16-17,Revenue,,1010,Property Tax,39113644
FY16-17,Revenue,,1010,Business License Tax,72241300
FY16-17,Revenue,,1010,Licenses & Permits,4873
FY16-17,Revenue,,1010,Licenses & Permits,397633
FY16-17,Revenue,,1010,Fines & Penalties,14375
FY16-17,Revenue,,1010,Interest Income,740482
FY16-17,Revenue,,1010,Service Charges,13636182
FY16-17,Revenue,,1010,Service Charges,27000
FY16-17,Revenue,,1010,Transfers from Fund Balance,200000
FY16-17,Revenue,,1010,Property Tax,2000000
FY16-17,Revenue,,1010,Real Estate Transfer Tax,3551726
FY16-17,Revenue,,1010,Fines & Penalties,21539697
FY16-17,Revenue,,1010,Fines & Penalties,38000
FY16-17,Revenue,,1010,Fines & Penalties,150000
FY16-17,Revenue,,1010,Service Charges,10042
FY16-17,Revenue,,1010,Service Charges,3036
FY16-17,Revenue,,1010,Service Charges,500000
FY16-17,Revenue,,1010,Service Charges,117200
FY16-17,Revenue,,1010,Property Tax,1200000
FY16-17,Revenue,,1010,Service Charges,2691954
FY16-17,Revenue,,1010,Fines & Penalties,900000
FY16-17,Revenue,,1010,Fines & Penalties,360000
FY16-17,Revenue,,1010,Service Charges,5600
FY16-17,Revenue,,1010,Property Tax,100000
FY16-17,Revenue,,1010,Property Tax,6340005
FY16-17,Revenue,,1010,Sales Tax,50358906
FY16-17,Revenue,,1010,Real Estate Transfer Tax,66299274
FY16-17,Revenue,,1010,Utility Consumption Tax,50500000
FY16-17,Revenue,,1010,Fines & Penalties,27202
FY16-17,Revenue,,1010,Service Charges,550000
FY16-17,Revenue,,1010,Service Charges,10000
FY16-17,Revenue,,1010,Service Charges,12000
FY16-17,Revenue,,1010,Service Charges,16700
FY16-17,Revenue,,1010,Property Tax,1700000
FY16-17,Revenue,,1010,Parking Tax,12138000
FY16-17,Revenue,,1010,Fines & Penalties,10232
FY16-17,Revenue,,1010,Service Charges,271275
FY16-17,Revenue,,1010,Service Charges,2500
FY16-17,Revenue,,1010,Sales Tax,2960000
FY16-17,Revenue,,1010,Service Charges,5316292
FY16-17,Revenue,,1010,Fines & Penalties,50000
FY16-17,Revenue,,1010,Service Charges,20000
FY16-17,Revenue,,1010,Miscellaneous Revenue,4400000
FY16-17,Revenue,,1010,Licenses & Permits,30000
FY16-17,Revenue,,1200,Fines & Penalties,200000
FY16-17,Revenue,,1700,Service Charges,141217
FY16-17,Revenue,,1700,Service Charges,151656
FY16-17,Revenue,,1700,Service Charges,2304000
FY16-17,Revenue,,1750,Interest Income,-25000
FY16-17,Revenue,,2195,Interfund Transfers,22426
FY16-17,Revenue,,2211,Interest Income,10920
FY16-17,Revenue,,2252,Parking Tax,10317508
FY16-17,Revenue,,2252,Local Tax,16289603
FY16-17,Revenue,,2310,Local Tax,19300000
