budget_year,department,fund_code,account_type,account_category,amount
FY13-14,,1010,Revenue,Licenses & Permits,225000
FY13-14,,1010,Revenue,Licenses & Permits,322752
FY13-14,,1010,Revenue,Licenses & Permits,299988
FY13-14,,1010,Revenue,Licenses & Permits,3890
FY13-14,,1010,Revenue,Service Charges,3766
FY13-14,,1610,Revenue,Grants & Subsidies,5135926
FY13-14,,1610,Revenue,Grants & Subsidies,1740284
FY13-14,,1610,Revenue,Grants & Subsidies,1830345
FY13-14,,1010,Revenue,Transfers from Fund Balance,734000
FY13-14,,1010,Revenue,Service Charges,37029
FY13-14,,1010,Revenue,Service Charges,56000
FY13-14,,1010,Revenue,Service Charges,925053
FY13-14,,1770,Revenue,Service Charges,435630
FY13-14,,1770,Revenue,Transfers from Fund Balance,79640
FY13-14,,4400,Revenue,Service Charges,2400
FY13-14,,5650,Revenue,Service Charges,100000
FY13-14,,5610,Revenue,Service Charges,200000
FY13-14,,5610,Revenue,Service Charges,150000
FY13-14,,1010,Revenue,Service Charges,79002
FY13-14,,2195,Revenue,Grants & Subsidies,1323656
FY13-14,,2195,Revenue,Grants & Subsidies,1890681
FY13-14,,2195,Revenue,Grants & Subsidies,1631554
FY13-14,,2195,Revenue,Grants & Subsidies,233045
FY13-14,,5671,Revenue,Service Charges,500000
FY13-14,,1010,Revenue,Service Charges,20609
FY13-14,,2195,Revenue,Service Charges,352000
FY13-14,,2195,Revenue,Service Charges,100000
FY13-14,,1010,Revenue,Service Charges,22450
FY13-14,,2419,Revenue,Transient Occupancy Tax,214451
FY13-14,,2419,Revenue,Transient Occupancy Tax,95930
FY13-14,,2419,Revenue,Transient Occupancy Tax,60000
FY13-14,,1010,Revenue,Transfers from Fund Balance,400000
FY13-14,,1010,Revenue,Service Charges,3300
FY13-14,,1010,Revenue,Service Charges,4700
FY13-14,,1010,Revenue,Service Charges,14000
FY13-14,,2190,Revenue,Grants & Subsidies,10280
FY13-14,,1010,Revenue,Service Charges,8142
FY13-14,,1010,Revenue,Service Charges,229509
FY13-14,,7130,Revenue,Miscellaneous Revenue,118450
FY13-14,,7130,Revenue,Transfers from Fund Balance,111485
FY13-14,,2251,Revenue,Transfers from Fund Balance,364151
FY13-14,,2251,Revenue,Interfund Transfers,2184390
FY13-14,,5510,Revenue,Transfers from Fund Balance,1000000
FY13-14,,4500,Revenue,Internal Service Funds,425838
FY13-14,,4550,Revenue,Internal Service Funds,777965
FY13-14,,1010,Revenue,Licenses & Permits,74884
FY13-14,,1010,Revenue,Service Charges,3036
FY13-14,,1010,Revenue,Service Charges,142100
FY13-14,,1010,Revenue,Fines & Penalties,10000
FY13-14,,1010,Revenue,Service Charges,5600
FY13-14,,1010,Revenue,Service Charges,12000
FY13-14,,1700,Revenue,Service Charges,2104076
FY13-14,,1700,Revenue,Service Charges,141217
FY13-14,,1700,Revenue,Service Charges,151656
FY13-14,,1010,Revenue,Service Charges,16400
FY13-14,,1010,Revenue,Fines & Penalties,116129
FY13-14,,1010,Revenue,Fines & Penalties,12408
FY13-14,,1010,Revenue,Fines & Penalties,78735
FY13-14,,1010,Revenue,Fines & Penalties,30689
FY13-14,,1010,Revenue,Service Charges,7430
FY13-14,,1010,Revenue,Service Charges,16700
FY13-14,,1010,Revenue,Service Charges,2500
FY13-14,,1010,Revenue,Service Charges,4400
FY13-14,,1010,Revenue,Service Charges,10000
FY13-14,,2417,Revenue,Service Charges,440900
FY13-14,,1010,Revenue,Property Tax,77222985
FY13-14,,1010,Revenue,Property Tax,6205662
FY13-14,,1010,Revenue,Property Tax,2138900
FY13-14,,1010,Revenue,Property Tax,1021841
FY13-14,,1010,Revenue,Property Tax,3260100
FY13-14,,1010,Revenue,Property Tax,1070187
FY13-14,,1010,Revenue,Property Tax,2237968
FY13-14,,1010,Revenue,Property Tax,49955
FY13-14,,1010,Revenue,Property Tax,421101
FY13-14,,1010,Revenue,Property Tax,31540717
FY13-14,,1010,Revenue,Property Tax,13438162
FY13-14,,1010,Revenue,Property Tax,5860422
FY13-14,,1010,Revenue,Sales Tax,35997761
FY13-14,,1010,Revenue,Sales Tax,2842100
FY13-14,,1010,Revenue,Sales Tax,10053139
FY13-14,,1010,Revenue,Business License Tax,59240000
FY13-14,,1010,Revenue,Utility Consumption Tax,50000000
FY13-14,,1010,Revenue,Real Estate Transfer Tax,40365000
FY13-14,,1010,Revenue,Transient Occupancy Tax,12620000
FY13-14,,1010,Revenue,Parking Tax,9235000
FY13-14,,1010,Revenue,Service Charges,2544358
FY13-14,,1010,Revenue,Service Charges,4849128
FY13-14,,1010,Revenue,Service Charges,4238750
FY13-14,,1010,Revenue,Licenses & Permits,185532
FY13-14,,1010,Revenue,Fines & Penalties,21241197
FY13-14,,1010,Revenue,Fines & Penalties,594163
FY13-14,,1010,Revenue,Interest Income,740482
FY13-14,,1010,Revenue,Service Charges,449000
FY13-14,,1010,Revenue,Service Charges,258749
FY13-14,,1010,Revenue,Service Charges,12159352
FY13-14,,1010,Revenue,Service Charges,250000
FY13-14,,1010,Revenue,Service Charges,409505
