budget_year,account_type,department,fund_code,account_category,amount
FY15-16,Expense,City Council,1010,,3000
FY15-16,Expense,City Council,1010,,15000
FY15-16,Expense,City Council,1010,,286449
FY15-16,Expense,City Council,1010,,500
FY15-16,Expense,City Council,1010,,41585
FY15-16,Expense,City Council,1010,,37460
FY15-16,Expense,City Council,1010,,3110
FY15-16,Expense,City Council,1010,,250
FY15-16,Expense,City Council,1010,,24474
FY15-16,Expense,City Council,1010,,7170
FY15-16,Expense,City Council,1010,,30000
FY15-16,Expense,City Council,1010,,35204
FY15-16,Expense,City Council,1010,,82400
FY15-16,Expense,City Council,1010,,26020
FY15-16,Expense,City Council,1010,,600
FY15-16,Expense,City Council,1010,,1400
FY15-16,Expense,City Council,1010,,2000
FY15-16,Expense,City Council,1010,,1700
FY15-16,Expense,City Council,1010,,9000
FY15-16,Expense,City Council,1010,,6600
FY15-16,Expense,City Council,1010,,400
FY15-16,Expense,City Council,1010,,360
FY15-16,Expense,City Council,1010,,350
FY15-16,Expense,City Council,1010,,38665
FY15-16,Expense,City Council,1010,,100
FY15-16,Expense,City Council,1010,,1500
FY15-16,Expense,City Council,1010,,1290
FY15-16,Expense,City Council,1010,,220
FY15-16,Expense,City Council,1010,,211728
FY15-16,Expense,City Council,1010,,200
FY15-16,Expense,City Council,1010,,1420
FY15-16,Expense,City Council,1010,,400
FY15-16,Expense,City Council,1010,,2910
FY15-16,Expense,City Council,1010,,82479
FY15-16,Expense,City Council,1010,,100
FY15-16,Expense,City Council,1010,,500
FY15-16,Expense,City Council,1010,,96083
FY15-16,Expense,City Council,1010,,300
FY15-16,Expense,City Council,1010,,38665
FY15-16,Expense,City Council,1010,,82479
FY15-16,Expense,City Council,1010,,100
FY15-16,Expense,City Council,1010,,500
FY15-16,Expense,City Council,1010,,2010
FY15-16,Expense,City Council,1010,,1000
FY15-16,Expense,City Council,1010,,750
FY15-16,Expense,City Council,1010,,211728
FY15-16,Expense,City Council,1010,,250
FY15-16,Expense,City Council,1010,,1730
FY15-16,Expense,City Council,1010,,1510
FY15-16,Expense,City Council,1010,,800
FY15-16,Expense,City Council,1010,,300
FY15-16,Expense,City Council,1010,,500
FY15-16,Expense,City Council,1010,,6600
FY15-16,Expense,City Council,1010,,96083
FY15-16,Expense,City Council,1010,,211728
FY15-16,Expense,City Council,1010,,100
FY15-16,Expense,City Council,1010,,750
FY15-16,Expense,City Council,1010,,96083
FY15-16,Expense,City Council,1010,,38665
FY15-16,Expense,City Council,1010,,82479
FY15-16,Expense,City Council,1010,,400
FY15-16,Expense,City Council,1010,,800
FY15-16,Expense,City Council,1010,,1000
FY15-16,Expense,City Council,1010,,290
FY15-16,Expense,City Council,1010,,250
FY15-16,Expense,City Council,1010,,900
FY15-16,Expense,City Council,1010,,400
FY15-16,Expense,City Council,1010,,100
FY15-16,Expense,City Council,1010,,1100
FY15-16,Expense,City Council,1010,,1020
FY15-16,Expense,City Council,1010,,1540
FY15-16,Expense,City Council,1010,,900
FY15-16,Expense,City Council,1010,,200
FY15-16,Expense,City Council,1010,,6600
FY15-16,Expense,City Council,1010,,1500
FY15-16,Expense,City Council,1010,,38665
FY15-16,Expense,City Council,1010,,82479
FY15-16,Expense,City Council,1010,,1000
FY15-16,Expense,City Council,1010,,1000
FY15-16,Expense,City Council,1010,,500
FY15-16,Expense,City Council,1010,,211728
FY15-16,Expense,City Council,1010,,400
FY15-16,Expense,City Council,1010,,1170
FY15-16,Expense,City Council,1010,,100
FY15-16,Expense,City Council,1010,,96083
FY15-16,Expense,City Council,1010,,1530
FY15-16,Expense,City Council,1010,,300
FY15-16,Expense,City Council,1010,,6600
FY15-16,Expense,City Council,1010,,1000
FY15-16,Expense,City Council,1010,,1250
FY15-16,Expense,City Council,1010,,750
FY15-16,Expense,City Council,1010,,600
FY15-16,Expense,City Council,1010,,3000
FY15-16,Expense,City Council,1010,,2740
FY15-16,Expense,City Council,1010,,10
FY15-16,Expense,City Council,1010,,490
FY15-16,Expense,City Council,1010,,96083
FY15-16,Expense,City Council,1010,,211728
FY15-16,Expense,City Council,1010,,82479
FY15-16,Expense,City Council,1010,,6600
FY15-16,Expense,City Council,1010,,300
FY15-16,Expense,City Council,1010,,230
FY15-16,Expense,City Council,1010,,550
FY15-16,Expense,City Council,1010,,1050
FY15-16,Expense,City Council,1010,,30
FY15-16,Expense,City Council,1010,,38665
FY15-16,Expense,City Council,1010,,211728
FY15-16,Expense,City Council,1010,,300
FY15-16,Expense,City Council,1010,,250
FY15-16,Expense,City Council,1010,,220
FY15-16,Expense,City Council,1010,,2460
FY15-16,Expense,City Council,1010,,590
FY15-16,Expense,City Council,1010,,400
FY15-16,Expense,City Council,1010,,200
FY15-16,Expense,City Council,1010,,1300
FY15-16,Expense,City Council,1010,,300
FY15-16,Expense,City Council,1010,,96083
FY15-16,Expense,City Council,1010,,82479
FY15-16,Expense,City Council,1010,,38665
FY15-16,Expense,City Council,1010,,6600
FY15-16,Expense,City Council,1010,,980
FY15-16,Expense,City Council,1010,,1950
FY15-16,Expense,City Council,1010,,800
FY15-16,Expense,City Council,1010,,82479
FY15-16,Expense,City Council,1010,,310
FY15-16,Expense,City Council,1010,,2240
FY15-16,Expense,City Council,1010,,1220
FY15-16,Expense,City Council,1010,,330
FY15-16,Expense,City Council,1010,,850
FY15-16,Expense,City Council,1010,,38665
FY15-16,Expense,City Council,1010,,96083
FY15-16,Expense,City Council,1010,,211728
FY15-16,Expense,City Council,1010,,1400
FY15-16,Expense,City Council,1010,,700
FY15-16,Expense,City Council,1010,,6600
FY15-16,Expense,City Council,1010,,2200
FY15-16,Expense,City Council,1010,,500
FY15-16,Expense,City Council,1010,,2330
FY15-16,Expense,City Council,1010,,6600
FY15-16,Expense,City Council,1010,,330
FY15-16,Expense,City Council,1010,,80
FY15-16,Expense,City Council,1010,,38665
FY15-16,Expense,City Council,1010,,300
FY15-16,Expense,City Council,1010,,211728
FY15-16,Expense,City Council,1010,,850
FY15-16,Expense,City Council,1010,,82479
FY15-16,Expense,City Council,1010,,1000
FY15-16,Expense,City Council,1010,,2260
FY15-16,Expense,City Council,1010,,96083
FY15-16,Expense,City Council,1010,,200
FY15-16,Expense,City Council,1010,,1090
FY15-16,Expense,City Council,1010,,260
FY15-16,Expense,City Council,1010,,350
FY15-16,Expense,City Council,1010,,700
FY15-16,Expense,Mayor,2216,,4200
FY15-16,Expense,Mayor,1010,,250
FY15-16,Expense,Mayor,2252,,15969
FY15-16,Expense,Mayor,1010,,2120
FY15-16,Expense,Mayor,1010,,1300
FY15-16,Expense,Mayor,1010,,8960
FY15-16,Expense,Mayor,1010,,9000
FY15-16,Expense,Mayor,1010,,247712
