budget_year,department,account_type,fund_code,account_category,amount
FY17-18,Finance,Revenue,4500,Interest Income,-15000.0
FY17-18,Human Services,Revenue,1780,Interfund Transfers,-15769122.0
FY17-18,Human Services,Revenue,2128,Grants & Subsidies,-6897523.0
FY17-18,Planning & Building,Revenue,2415,Service Charges,-2132847.0
FY17-18,Human Services,Revenue,2128,Interfund Transfers,-1587496.0
FY17-18,Human Services,Revenue,1780,Interfund Transfers,-1160478.0
FY17-18,Planning & Building,Revenue,2415,Service Charges,-1055870.0
FY17-18,Human Services,Revenue,2114,Grants & Subsidies,-922216.0
FY17-18,Human Services,Revenue,2114,Interfund Transfers,-592511.0
FY17-18,Planning & Building,Revenue,2415,Service Charges,-579129.0
FY17-18,Public Works,Revenue,1710,Service Charges,-462500.0
FY17-18,Planning & Building,Revenue,2415,Licenses & Permits,-377190.0
FY17-18,Human Services,Revenue,2114,Interfund Transfers,-375641.0
FY17-18,Transportation,Revenue,2415,Service Charges,-367785.0
FY17-18,Planning & Building,Revenue,2415,Licenses & Permits,-304550.0
FY17-18,Planning & Building,Revenue,2415,Service Charges,-278989.0
FY17-18,Planning & Building,Revenue,2415,Service Charges,-224330.0
FY17-18,Public Works,Revenue,2990,Grants & Subsidies,-210000.0
FY17-18,Finance,Revenue,1010,Business License Tax,-200000.0
FY17-18,Human Services,Revenue,2102,Grants & Subsidies,-195460.0
FY17-18,Finance,Revenue,1010,Business License Tax,-180000.0
FY17-18,Human Services,Revenue,2128,Interfund Transfers,-144103.0
FY17-18,Human Services,Revenue,2128,Interfund Transfers,-144103.0
FY17-18,Human Services,Revenue,2159,Grants & Subsidies,-143593.0
FY17-18,City Administrator,Revenue,1610,Grants & Subsidies,-139050.0
FY17-18,Human Services,Revenue,2128,Interfund Transfers,-133496.0
FY17-18,Economic & Workforce Development,Revenue,2195,Grants & Subsidies,-107827.0
FY17-18,Planning & Building,Revenue,2415,Licenses & Permits,-103734.0
FY17-18,Human Services,Revenue,2102,Interfund Transfers,-92133.0
FY17-18,Finance,Revenue,1200,Local Tax,-90412.0
FY17-18,Police,Revenue,2411,Service Charges,-84032.0
FY17-18,Planning & Building,Revenue,2415,Licenses & Permits,-77065.0
FY17-18,Public Works,Revenue,1710,Service Charges,-66900.0
FY17-18,Human Services,Revenue,2120,Interfund Transfers,-65037.0
FY17-18,Economic & Workforce Development,Revenue,2195,Grants & Subsidies,-63577.0
FY17-18,Economic & Workforce Development,Revenue,2195,Grants & Subsidies,-59450.0
FY17-18,Human Services,Revenue,2195,Interfund Transfers,-55286.0
FY17-18,Planning & Building,Revenue,2415,Licenses & Permits,-54737.0
FY17-18,Fire,Revenue,2160,Grants & Subsidies,-50000.0
FY17-18,Human Services,Revenue,2108,Interfund Transfers,-46028.0
FY17-18,Parks & Recreation,Revenue,1820,Interfund Transfers,-41847.0
FY17-18,Human Services,Revenue,2128,Interfund Transfers,-41636.0
FY17-18,Human Services,Revenue,2102,Interfund Transfers,-38679.0
FY17-18,Human Services,Revenue,2216,Service Charges,-31823.0
FY17-18,Planning & Building,Revenue,2415,Licenses & Permits,-31781.0
FY17-18,Human Services,Revenue,2195,Interfund Transfers,-22373.0
FY17-18,Human Services,Revenue,2108,Interfund Transfers,-20947.0
FY17-18,Human Services,Revenue,2128,Interfund Transfers,-20818.0
FY17-18,Police,Revenue,2995,Grants & Subsidies,-20000.0
FY17-18,Human Services,Revenue,2128,Interfund Transfers,-17905.0
FY17-18,Economic & Workforce Development,Revenue,2195,Grants & Subsidies,-11550.0
FY17-18,City Administrator,Revenue,2999,Grants & Subsidies,-10023.0
FY17-18,Finance,Revenue,7100,Transfers from Fund Balance,-9761.0
FY17-18,Human Services,Revenue,2213,Interfund Transfers,-6766.0
FY17-18,Human Services,Revenue,2120,Interfund Transfers,-6596.0
FY17-18,Human Services,Revenue,2160,Interfund Transfers,-6303.0
FY17-18,Planning & Building,Revenue,2415,Service Charges,-2048.0
FY17-18,Human Services,Revenue,2103,Interfund Transfers,-2006.0
FY17-18,Human Services,Revenue,2160,Interfund Transfers,-1683.0
FY17-18,Police,Revenue,2999,Interfund Transfers,-1560.0
FY17-18,Finance,Revenue,4550,Interest Income,-1000.0
FY17-18,Planning & Building,Revenue,2415,Service Charges,-542.0
FY17-18,Transportation,Revenue,2415,Service Charges,-507.0
FY17-18,Transportation,Revenue,2415,Licenses & Permits,-321.0
FY17-18,Transportation,Revenue,2415,Licenses & Permits,-321.0
FY17-18,Planning & Building,Revenue,2415,Service Charges,-312.0
FY17-18,Transportation,Revenue,2415,Licenses & Permits,-287.0
FY17-18,Planning & Building,Revenue,2415,Service Charges,-158.0
FY17-18,Planning & Building,Revenue,2415,Service Charges,-138.0
FY17-18,Planning & Building,Revenue,2415,Service Charges,-110.0
FY17-18,Finance,Revenue,1010,Fines & Penalties,-99.0
FY17-18,Planning & Building,Revenue,2415,Service Charges,-99.0
FY17-18,Finance,Revenue,2417,Service Charges,-68.0
FY17-18,Human Services,Revenue,2128,Interfund Transfers,-48.0
FY17-18,Planning & Building,Revenue,2415,Service Charges,-37.0
FY17-18,Planning & Building,Revenue,2415,Service Charges,-29.0
FY17-18,Human Services,Revenue,2128,Interfund Transfers,-16.0
FY17-18,Planning & Building,Revenue,2415,Service Charges,-16.0
FY17-18,Human Services,Revenue,2103,Grants & Subsidies,-10.0
FY17-18,Planning & Building,Revenue,2415,Service Charges,-10.0
FY17-18,Planning & Building,Revenue,2415,Service Charges,-5.0
FY17-18,Planning & Building,Revenue,2415,Service Charges,-4.0
FY17-18,Finance,Revenue,1010,Fines & Penalties,1.0
FY17-18,Parks & Recreation,Revenue,1820,Service Charges,1.0
FY17-18,Transportation,Revenue,2415,Fines & Penalties,6.0
FY17-18,Parks & Recreation,Revenue,3200,Fines & Penalties,7.0
FY17-18,Human Services,Revenue,2159,Interfund Transfers,9.0
FY17-18,Transportation,Revenue,1750,Service Charges,10.0
FY17-18,Police,Revenue,2411,Fines & Penalties,13.0
FY17-18,Human Services,Revenue,2152,Interfund Transfers,14.0
FY17-18,City Attorney,Revenue,1010,Fines & Penalties,15.0
FY17-18,Human Services,Revenue,2128,Interfund Transfers,16.0
FY17-18,Finance,Revenue,2415,Fines & Penalties,25.0
FY17-18,Finance,Revenue,3200,Fines & Penalties,25.0
FY17-18,Police,Revenue,1010,Licenses & Permits,25.0
FY17-18,Human Services,Revenue,2128,Interfund Transfers,32.0
FY17-18,City Attorney,Revenue,1010,Service Charges,40.0
FY17-18,Police,Revenue,1010,Fines & Penalties,45.0
FY17-18,Planning & Building,Revenue,2415,Service Charges,45.0
FY17-18,Finance,Revenue,2411,Fines & Penalties,50.0
FY17-18,Planning & Building,Revenue,2415,Service Charges,51.0
FY17-18,Public Library,Revenue,2241,Service Charges,56.0
FY17-18,Human Services,Revenue,2108,Interfund Transfers,46028.0
FY17-18,Police,Revenue,2411,Fines & Penalties,65.0
FY17-18,Non-Departmental,Revenue,1010,Interest Income,69.0
FY17-18,Transportation,Revenue,2230,Service Charges,74.0
FY17-18,Finance,Revenue,1010,Fines & Penalties,100.0
FY17-18,Public Works,Revenue,3100,Miscellaneous Revenue,100.0
FY17-18,Planning & Building,Revenue,2415,Fines & Penalties,124.0
FY17-18,Finance,Revenue,1010,Service Charges,150.0
FY17-18,Finance,Revenue,1010,Fines & Penalties,175.0
FY17-18,Finance,Revenue,1010,Fines & Penalties,175.0
FY17-18,Public Works,Revenue,2415,Service Charges,180.0
FY17-18,City Clerk,Revenue,1010,Service Charges,195.0
FY17-18,Police,Revenue,1010,Licenses & Permits,200.0
FY17-18,Parks & Recreation,Revenue,1820,Service Charges,213.0
FY17-18,City Administrator,Revenue,1010,Service Charges,220.0
FY17-18,Parks & Recreation,Revenue,1820,Service Charges,225.0
FY17-18,City Clerk,Revenue,1010,Service Charges,241.0
FY17-18,Planning & Building,Revenue,2415,Licenses & Permits,245.0
FY17-18,Finance,Revenue,2411,Fines & Penalties,250.0
FY17-18,Parks & Recreation,Revenue,1820,Service Charges,250.0
FY17-18,Transportation,Revenue,2415,Licenses & Permits,269.0
FY17-18,Parks & Recreation,Revenue,1820,Service Charges,306.0
FY17-18,Transportation,Revenue,2230,Service Charges,318.0
FY17-18,Transportation,Revenue,2230,Miscellaneous Revenue,350.0
FY17-18,Police,Revenue,1010,Licenses & Permits,364.0
FY17-18,Transportation,Revenue,2310,Service Charges,369.0
FY17-18,Planning & Building,Revenue,2415,Service Charges,393.0
FY17-18,Transportation,Revenue,2415,Service Charges,400.0
