budget_year,department,fund_code,account_type,account_category,amount
FY18,Fire,1010,Expense,Supplies,8027
FY18,Fire,1010,Expense,Capital Outlays,3375
FY18,Fire,1010,Expense,Personal Services,329428
FY18,Fire,1010,Expense,Personal Services,10150
FY18,Fire,1010,Expense,Personal Services,32000
FY18,Fire,1010,Expense,Personal Services,5428
FY18,Fire,1010,Expense,Personal Services,49336
FY18,Fire,1010,Expense,Personal Services,74005
FY18,Fire,1010,Expense,Personal Services,90912
FY18,Fire,1010,Expense,Personal Services,521
FY18,Fire,1010,Expense,Personal Services,2750
FY18,Fire,1010,Expense,Other Services and Charges,13780
FY18,Fire,1010,Expense,Other Services and Charges,968
FY18,Fire,1010,Expense,Other Services and Charges,10900
FY18,Fire,1010,Expense,Supplies,50000
FY18,Fire,1010,Expense,Supplies,2679
FY18,Fire,1010,Expense,Capital Outlays,72825
FY18,Fire,1010,Expense,Capital Outlays,101407
FY18,Fire,1010,Expense,Other Financing,80000
FY18,Fire,1010,Expense,Personal Services,1073524
FY18,Fire,1010,Expense,Personal Services,5075
FY18,Fire,1010,Expense,Personal Services,90590
FY18,Fire,1010,Expense,Personal Services,48607
FY18,Fire,1010,Expense,Personal Services,172676
FY18,Fire,1010,Expense,Personal Services,192336
FY18,Fire,1010,Expense,Personal Services,284678
FY18,Fire,1010,Expense,Personal Services,1629
FY18,Fire,1010,Expense,Other Services and Charges,310904
FY18,Fire,1010,Expense,Other Services and Charges,11788
FY18,Fire,1010,Expense,Other Services and Charges,308742
FY18,Fire,1010,Expense,Other Services and Charges,60063
FY18,Fire,1010,Expense,Other Services and Charges,903
FY18,Fire,1010,Expense,Other Services and Charges,10000
FY18,Fire,1010,Expense,Other Services and Charges,1072
FY18,Fire,1010,Expense,Other Services and Charges,24325
FY18,Fire,1010,Expense,Other Services and Charges,2679
FY18,Fire,1010,Expense,Other Services and Charges,3454
FY18,Fire,1010,Expense,Other Services and Charges,23575
FY18,Fire,1010,Expense,Other Services and Charges,9600
FY18,Fire,1010,Expense,Other Services and Charges,80371
FY18,Fire,1010,Expense,Other Services and Charges,75013
FY18,Fire,1010,Expense,Other Services and Charges,12859
FY18,Fire,1010,Expense,Other Services and Charges,322575
FY18,Fire,1010,Expense,Other Services and Charges,48976
FY18,Fire,1010,Expense,Other Services and Charges,12555
FY18,Fire,1010,Expense,Other Services and Charges,502692
FY18,Fire,1010,Revenue,State Grants,255742
FY18,Fire,1010,Expense,Supplies,20890
FY18,Fire,1010,Expense,Supplies,3322
FY18,Fire,1010,Expense,Capital Outlays,153700
FY18,Fire,1010,Expense,Other Financing,6606
FY18,Fire,1010,Expense,Personal Services,549425
FY18,Fire,1010,Expense,Personal Services,8500
FY18,Fire,1010,Expense,Personal Services,18200
FY18,Fire,1010,Expense,Personal Services,12314
FY18,Fire,1010,Expense,Personal Services,86338
FY18,Fire,1010,Expense,Personal Services,109254
FY18,Fire,1010,Expense,Personal Services,140085
FY18,Fire,1010,Expense,Personal Services,802
FY18,Fire,1010,Expense,Other Services and Charges,57599
FY18,Fire,1010,Expense,Other Services and Charges,10500
FY18,Fire,1010,Expense,Other Services and Charges,3845
FY18,Fire,1010,Expense,Other Services and Charges,1210
FY18,Fire,1010,Expense,Other Services and Charges,23999
FY18,Fire,1010,Revenue,Charges for Services,307443
FY18,Fire,4010,Expense,Capital Outlays,240375
FY18,Fire,4010,Expense,Capital Outlays,589678
FY18,Fire,4010,Expense,Capital Outlays,100000
FY18,Fire,4010,Revenue,Other Financing Sources,909511
FY18,Fire,4010,Revenue,Investment Income & Rentals,20542
FY18,Fire,1010,Expense,Supplies,161450
FY18,Fire,1010,Expense,Debt Service,50000
FY18,Fire,1010,Expense,Debt Service,3918
FY18,Fire,1010,Expense,Capital Outlays,136304
FY18,Fire,1010,Expense,Other Financing,569136
FY18,Fire,1010,Expense,Personal Services,12435031
FY18,Fire,1010,Expense,Personal Services,301709
FY18,Fire,1010,Expense,Personal Services,472152
FY18,Fire,1010,Expense,Personal Services,601449
FY18,Fire,1010,Expense,Personal Services,184345
FY18,Fire,1010,Expense,Personal Services,2133781
FY18,Fire,1010,Expense,Personal Services,2744781
FY18,Fire,1010,Expense,Personal Services,3390711
FY18,Fire,1010,Expense,Personal Services,19335
FY18,Fire,1010,Expense,Personal Services,58800
FY18,Fire,1010,Expense,Personal Services,14423
FY18,Fire,1010,Expense,Other Services and Charges,20670
FY18,Fire,1010,Expense,Other Services and Charges,68240
FY18,Fire,1010,Expense,Other Services and Charges,520
FY18,Fire,1010,Expense,Other Services and Charges,29469
FY18,Fire,1010,Expense,Other Services and Charges,115830
FY18,Fire,1010,Expense,Other Services and Charges,37065
FY18,Fire,1010,Revenue,Charges for Services,36414
FY18,Fire,1010,Expense,Supplies,28300
FY18,Fire,1010,Expense,Capital Outlays,9000
FY18,Fire,1010,Expense,Personal Services,83555
FY18,Fire,1010,Expense,Personal Services,5075
FY18,Fire,1010,Expense,Personal Services,61600
FY18,Fire,1010,Expense,Personal Services,2186
FY18,Fire,1010,Expense,Personal Services,12334
FY18,Fire,1010,Expense,Personal Services,29799
FY18,Fire,1010,Expense,Personal Services,35648
FY18,Fire,1010,Expense,Personal Services,210
FY18,Fire,1010,Expense,Personal Services,500
FY18,Fire,1010,Expense,Other Services and Charges,24500
FY18,Fire,1010,Expense,Other Services and Charges,7480
FY18,Fire,1010,Expense,Other Services and Charges,425
FY18,Fire,1010,Expense,Other Services and Charges,26712
FY18,Fire,1010,Revenue,Charges for Services,14000
FY18,Fire,1010,Expense,Personal Services,105000
FY18,Fire,1010,Expense,Personal Services,1523
FY18,Fire,1010,Expense,Personal Services,20759
FY18,Fire,1010,Expense,Personal Services,23867
FY18,Police,1010,Expense,Supplies,5150
FY18,Police,1010,Expense,Personal Services,671134
FY18,Police,1010,Expense,Personal Services,1000
FY18,Police,1010,Expense,Personal Services,36059
FY18,Police,1010,Expense,Personal Services,29699
FY18,Police,1010,Expense,Personal Services,92505
FY18,Police,1010,Expense,Personal Services,100594
FY18,Police,1010,Expense,Personal Services,172990
FY18,Police,1010,Expense,Personal Services,939
FY18,Police,1010,Expense,Personal Services,1080
FY18,Police,1010,Expense,Other Services and Charges,139000
FY18,Police,1010,Expense,Other Services and Charges,20613
FY18,Police,1010,Expense,Other Services and Charges,708501
FY18,Police,1010,Expense,Other Services and Charges,20016
FY18,Police,1010,Expense,Other Services and Charges,10850
FY18,Police,1010,Expense,Other Services and Charges,1162854
FY18,Police,4010,Expense,Capital Outlays,228000
FY18,Police,4010,Revenue,Other Financing Sources,228000
FY18,Police,2731,Expense,Personal Services,633245
FY18,Police,2731,Expense,Personal Services,9182
FY18,Police,2731,Expense,Personal Services,123340
FY18,Police,2731,Expense,Personal Services,115314
FY18,Police,2731,Expense,Personal Services,156852
FY18,Police,2731,Expense,Personal Services,886
FY18,Police,2731,Revenue,Other Financing Sources,1038819
FY18,Police,1010,Expense,Supplies,2000
FY18,Police,1010,Expense,Capital Outlays,20000
FY18,Police,1010,Expense,Personal Services,169247
FY18,Police,1010,Expense,Personal Services,18030
FY18,Police,1010,Expense,Personal Services,14326
FY18,Police,1010,Expense,Personal Services,37002
FY18,Police,1010,Expense,Personal Services,23420
FY18,Police,1010,Expense,Personal Services,45742
FY18,Police,1010,Expense,Personal Services,235
FY18,Police,1010,Expense,Other Services and Charges,33300
FY18,Police,1010,Expense,Other Services and Charges,4500
FY18,Police,1010,Expense,Other Services and Charges,3000
FY18,Police,1010,Expense,Other Services and Charges,57500
FY18,Police,1010,Expense,Other Services and Charges,24720
FY18,Police,1010,Expense,Other Services and Charges,5144
FY18,Police,1010,Expense,Personal Services,209363
FY18,Police,1010,Expense,Personal Services,23969
FY18,Police,1010,Expense,Personal Services,17850
FY18,Police,1010,Expense,Personal Services,49336
FY18,Police,1010,Expense,Personal Services,29181
FY18,Police,1010,Expense,Personal Services,56993
FY18,Police,1010,Expense,Personal Services,291
FY18,Police,2650,Expense,Supplies,10000
FY18,Police,2650,Expense,Capital Outlays,285000
FY18,Police,2650,Expense,Capital Outlays,15000
FY18,Police,2650,Expense,Personal Services,53999
FY18,Police,2650,Expense,Personal Services,4131
FY18,Police,2650,Expense,Personal Services,12334
FY18,Police,2650,Expense,Personal Services,6748
FY18,Police,2650,Expense,Personal Services,13179
FY18,Police,2650,Expense,Personal Services,75
FY18,Police,2650,Expense,Other Services and Charges,15000
FY18,Police,2650,Expense,Other Services and Charges,75000
FY18,Police,2650,Expense,Other Services and Charges,1812
FY18,Police,2650,Expense,Other Services and Charges,32500
FY18,Police,2650,Expense,Other Services and Charges,20000
FY18,Police,2650,Expense,Other Services and Charges,10000
FY18,Police,2650,Expense,Other Services and Charges,10000
FY18,Police,2650,Revenue,Other Revenues,5500
FY18,Police,2650,Revenue,Fines & Forfeitures,123000
FY18,Police,2650,Revenue,Charges for Services,2250
FY18,Police,2650,Revenue,Charges for Services,19000
FY18,Police,2650,Revenue,Charges for Services,39000
FY18,Police,2650,Revenue,Charges for Services,7500
FY18,Police,2650,Revenue,Charges for Services,46500
FY18,Police,2652,Expense,Capital Outlays,46000
FY18,Police,2652,Expense,Other Services and Charges,10000
FY18,Police,2652,Expense,Other Services and Charges,10000
FY18,Police,2652,Revenue,Federal Grants,66000
FY18,Police,2653,Expense,Capital Outlays,10000
FY18,Police,2653,Revenue,Federal Grants,13500
FY18,Police,1010,Expense,Supplies,164350
FY18,Police,1010,Expense,Capital Outlays,10195
FY18,Police,1010,Expense,Personal Services,1104655
FY18,Police,1010,Expense,Personal Services,1000
FY18,Police,1010,Expense,Personal Services,29174
FY18,Police,1010,Expense,Personal Services,16456
FY18,Police,1010,Expense,Personal Services,197344
FY18,Police,1010,Expense,Personal Services,206653
FY18,Police,1010,Expense,Personal Services,273550
FY18,Police,1010,Expense,Personal Services,1546
FY18,Police,1010,Expense,Other Services and Charges,20000
