budget_year,department,fund_code,account_type,account_category,amount
FY19,Adminitrative Services,1010,Expense,Personnel Services,55671
FY19,Adminitrative Services,1010,Expense,Personnel Services,4249
FY19,Adminitrative Services,1010,Expense,Personnel Services,10800
FY19,Adminitrative Services,1010,Expense,Personnel Services,6918
FY19,Adminitrative Services,1010,Expense,Personnel Services,12717
FY19,Adminitrative Services,1010,Expense,Personnel Services,84
FY19,Adminitrative Services,1010,Expense,Supplies,12000
FY19,Adminitrative Services,1010,Expense,Supplies,250
FY19,Adminitrative Services,1010,Expense,Other Services and Charges,5000
FY19,Adminitrative Services,1010,Expense,Other Services and Charges,5463
FY19,Adminitrative Services,1010,Expense,Other Services and Charges,1200
FY19,Adminitrative Services,1010,Expense,Other Services and Charges,100
FY19,Adminitrative Services,1010,Expense,Other Services and Charges,500
FY19,Adminitrative Services,1010,Expense,Other Services and Charges,250
FY19,Adminitrative Services,1010,Expense,Other Services and Charges,500
FY19,Adminitrative Services,1010,Expense,Other Services and Charges,500
FY19,Adminitrative Services,1010,Expense,Other Services and Charges,500
FY19,Adminitrative Services,1010,Expense,Other Services and Charges,260
FY19,Adminitrative Services,1010,Expense,Other Services and Charges,30450
FY19,Adminitrative Services,1010,Expense,Other Services and Charges,5000
FY19,Adminitrative Services,1010,Expense,Other Services and Charges,60905
FY19,Adminitrative Services,1010,Expense,Personnel Services,199923
FY19,Adminitrative Services,1010,Expense,Personnel Services,15289
FY19,Adminitrative Services,1010,Expense,Personnel Services,36000
FY19,Adminitrative Services,1010,Expense,Personnel Services,24690
FY19,Adminitrative Services,1010,Expense,Personnel Services,45381
FY19,Adminitrative Services,1010,Expense,Personnel Services,276
FY19,Adminitrative Services,1010,Expense,Supplies,4725
FY19,Adminitrative Services,1010,Expense,Supplies,100
FY19,Adminitrative Services,1010,Expense,Other Services and Charges,15000
FY19,Adminitrative Services,1010,Expense,Other Services and Charges,500
FY19,Adminitrative Services,1010,Expense,Other Services and Charges,8000
FY19,Adminitrative Services,1010,Expense,Other Services and Charges,1000
FY19,Adminitrative Services,1010,Expense,Other Services and Charges,1000
FY19,Adminitrative Services,1010,Expense,Other Services and Charges,2000
FY19,Adminitrative Services,1010,Expense,Other Services and Charges,1000
FY19,Adminitrative Services,1010,Expense,Other Services and Charges,1300
FY19,Adminitrative Services,1010,Expense,Other Services and Charges,6000
FY19,Adminitrative Services,1010,Expense,Other Services and Charges,8000
FY19,Adminitrative Services,1010,Expense,Personnel Services,68918
FY19,Adminitrative Services,1010,Expense,Personnel Services,5269
FY19,Adminitrative Services,1010,Expense,Personnel Services,14400
FY19,Adminitrative Services,1010,Expense,Personnel Services,8512
FY19,Adminitrative Services,1010,Expense,Personnel Services,15641
FY19,Adminitrative Services,1010,Expense,Personnel Services,96
FY19,Adminitrative Services,1010,Expense,Supplies,1000
FY19,Adminitrative Services,1010,Expense,Other Services and Charges,43000
FY19,Adminitrative Services,1010,Expense,Other Services and Charges,5000
FY19,Adminitrative Services,1010,Expense,Other Services and Charges,2500
FY19,Adminitrative Services,1010,Expense,Other Services and Charges,63786
FY19,Adminitrative Services,1010,Expense,Other Services and Charges,1000
FY19,Adminitrative Services,1553,Expense,Other Services and Charges,80000
