budget_year,department,account_type,fund_code,account_category,amount
FY21-22,Capital Improvement Projects,Expense,1010,Contract Services,252000
FY21-22,Capital Improvement Projects,Expense,1010,Services & Supplies,0
FY21-22,Capital Improvement Projects,Expense,1010,Contract Services,293887
FY21-22,Capital Improvement Projects,Expense,1010,Contract Services,0
FY21-22,Capital Improvement Projects,Expense,1030,Contract Services,0
FY21-22,Capital Improvement Projects,Revenue,2125,Grants & Subsidies,1500000
FY21-22,Capital Improvement Projects,Expense,2125,Contract Services,0
FY21-22,Capital Improvement Projects,Expense,2125,Contract Services,1500000
FY21-22,Capital Improvement Projects,Expense,2159,Capital Acquistions,250000
FY21-22,Capital Improvement Projects,Expense,2159,Contract Services,0
FY21-22,Capital Improvement Projects,Revenue,2159,Grants & Subsidies,1000000
FY21-22,Capital Improvement Projects,Expense,2159,Contract Services,1000000
FY21-22,Capital Improvement Projects,Expense,2211,Capital Acquistions,0
FY21-22,Capital Improvement Projects,Expense,2211,Capital Acquistions,750000
FY21-22,Capital Improvement Projects,Expense,2211,Contract Services,0
FY21-22,Capital Improvement Projects,Expense,2211,Contract Services,750000
FY21-22,Capital Improvement Projects,Expense,2211,Contract Services,1500000
FY21-22,Capital Improvement Projects,Expense,2211,Capital Acquistions,480000
FY21-22,Capital Improvement Projects,Expense,2211,Capital Acquistions,1395000
FY21-22,Capital Improvement Projects,Expense,2211,Capital Acquistions,0
FY21-22,Capital Improvement Projects,Expense,2211,Capital Acquistions,425000
FY21-22,Capital Improvement Projects,Expense,2211,Capital Acquistions,0
FY21-22,Capital Improvement Projects,Expense,2211,Capital Acquistions,0
FY21-22,Capital Improvement Projects,Expense,2211,Capital Acquistions,0
FY21-22,Capital Improvement Projects,Expense,2211,Capital Acquistions,0
FY21-22,Capital Improvement Projects,Expense,2211,Capital Acquistions,0
FY21-22,Capital Improvement Projects,Expense,2211,Capital Acquistions,0
FY21-22,Capital Improvement Projects,Expense,2211,Capital Acquistions,0
FY21-22,Capital Improvement Projects,Expense,2211,Capital Acquistions,0
FY21-22,Capital Improvement Projects,Expense,2211,Capital Acquistions,0
FY21-22,Capital Improvement Projects,Expense,2211,Contract Services,0
FY21-22,Capital Improvement Projects,Expense,2212,Capital Acquistions,264000
FY21-22,Capital Improvement Projects,Expense,2212,Capital Acquistions,0
FY21-22,Capital Improvement Projects,Expense,2212,Capital Acquistions,0
FY21-22,Capital Improvement Projects,Expense,2212,Capital Acquistions,0
FY21-22,Capital Improvement Projects,Expense,2212,Capital Acquistions,0
FY21-22,Capital Improvement Projects,Expense,2216,Capital Acquistions,0
FY21-22,Capital Improvement Projects,Expense,2216,Capital Acquistions,0
FY21-22,Capital Improvement Projects,Expense,2216,Capital Acquistions,0
FY21-22,Capital Improvement Projects,Expense,2216,Capital Acquistions,0
FY21-22,Capital Improvement Projects,Expense,2218,Capital Acquistions,0
FY21-22,Capital Improvement Projects,Expense,2218,Capital Acquistions,500000
FY21-22,Capital Improvement Projects,Expense,2218,Capital Acquistions,0
FY21-22,Capital Improvement Projects,Expense,2218,Capital Acquistions,0
FY21-22,Capital Improvement Projects,Expense,2218,Capital Acquistions,0
FY21-22,Capital Improvement Projects,Expense,2218,Capital Acquistions,0
FY21-22,Capital Improvement Projects,Expense,2218,Capital Acquistions,0
FY21-22,Capital Improvement Projects,Expense,2219,Capital Acquistions,790236
FY21-22,Capital Improvement Projects,Expense,2219,Capital Acquistions,0
FY21-22,Capital Improvement Projects,Expense,2230,Capital Acquistions,0
FY21-22,Capital Improvement Projects,Expense,2230,Capital Acquistions,0
FY21-22,Capital Improvement Projects,Expense,2232,Capital Acquistions,0
FY21-22,Capital Improvement Projects,Expense,2232,Capital Acquistions,0
FY21-22,Capital Improvement Projects,Expense,2244,Contract Services,775000
FY21-22,Capital Improvement Projects,Expense,2244,Contract Services,0
FY21-22,Capital Improvement Projects,Expense,2244,Contract Services,1179000
FY21-22,Capital Improvement Projects,Expense,2332,Contract Services,0
FY21-22,Capital Improvement Projects,Expense,2420,Contract Services,0
FY21-22,Capital Improvement Projects,Expense,2421,Contract Services,0
FY21-22,Capital Improvement Projects,Expense,2421,Contract Services,0
FY21-22,Capital Improvement Projects,Expense,2421,Capital Acquistions,0
FY21-22,Capital Improvement Projects,Expense,3100,Capital Acquistions,0
FY21-22,Capital Improvement Projects,Expense,3100,Contract Services,1000000
FY21-22,Capital Improvement Projects,Expense,3100,Capital Acquistions,0
FY21-22,Capital Improvement Projects,Expense,3100,Contract Services,3450570
