FundCode,FundDescription,OperatingUnit,OperatingUnitDescription,Agency,Agency Name,ProgramID,ProgramName,LineOfBusinessID,LOBName,Account,Character Class,Class Description,Account Description,Operating or Non,FY2016 Budget
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,010,Mayor and Council,0100101,MAYOR,01001,Mayors Office,51000004,51,Personnel Services,BUDGET-VACANCY DISCOUNT       ,#NAME?,-3598
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,010,Mayor and Council,0100101,MAYOR,01001,Mayors Office,51010001,51,Personnel Services,SALARIES AND WAGES            ,#NAME?,170007
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,010,Mayor and Council,0100101,MAYOR,01001,Mayors Office,51010004,51,Personnel Services,PART TIME & TEMPORARY WAGES   ,#NAME?,14000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,010,Mayor and Council,0100101,MAYOR,01001,Mayors Office,51070001,51,Personnel Services,HEALTH AND WELFARE INSURANCE  ,#NAME?,25052
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,010,Mayor and Council,0100101,MAYOR,01001,Mayors Office,51070003,51,Personnel Services,INDEMNITY ADMIN               ,#NAME?,12526
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,010,Mayor and Council,0100101,MAYOR,01001,Mayors Office,51070004,51,Personnel Services,RETIREMENT PENSION CONTRIB    ,#NAME?,9871
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,010,Mayor and Council,0100101,MAYOR,01001,Mayors Office,51130010,51,Personnel Services,MILEAGE REIMBURSEMENT         ,#NAME?,3750
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,010,Mayor and Council,0100101,MAYOR,01001,Mayors Office,51510004,51,Personnel Services,EMPLOYEE PARKING              ,#NAME?,1162
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,010,Mayor and Council,0100101,MAYOR,01001,Mayors Office,52130001,52,Professional Services,MEMBERSHIPS                   ,#NAME?,600
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,010,Mayor and Council,0100101,MAYOR,01001,Mayors Office,52280004,52,Professional Services,CHARGEBACK-IT                 ,#NAME?,18115
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,010,Mayor and Council,0100101,MAYOR,01001,Mayors Office,52280013,52,Professional Services,CHARGEBACK-PRINT SHOP         ,#NAME?,1224
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,010,Mayor and Council,0100101,MAYOR,01001,Mayors Office,52290010,52,Professional Services,CHARGEBACK-POSTAGE            ,#NAME?,1193
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,010,Mayor and Council,0100101,MAYOR,01001,Mayors Office,52370002,52,Professional Services,EMPLOYEE TRAVEL REIMBURSEMENT ,#NAME?,24000
