FundCode,FundDescription,OperatingUnit,OperatingUnitDescription,Agency,Agency Name,ProgramID,ProgramName,LineOfBusinessID,LOBName,Account,Character Class,Class Description,Account Description,Operating or Non,FY2017 Budget
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,010,Mayor and Council,0100101,MAYOR,01001,Mayors Office,51000004,51,Personal Services,BUDGET-VACANCY DISCOUNT,Operating,-4719
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,010,Mayor and Council,0100101,MAYOR,01001,Mayors Office,51010001,51,Personal Services,SALARIES AND WAGES,Operating,178428
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,010,Mayor and Council,0100101,MAYOR,01001,Mayors Office,51010004,51,Personal Services,PART TIME & TEMPORARY WAGES,Operating,14000
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,010,Mayor and Council,0100101,MAYOR,01001,Mayors Office,51070001,51,Personal Services,HEALTH AND WELFARE INSURANCE,Operating,26710
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,010,Mayor and Council,0100101,MAYOR,01001,Mayors Office,51070003,51,Personal Services,INDEMNITY ADMIN,Operating,12526
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,010,Mayor and Council,0100101,MAYOR,01001,Mayors Office,51070004,51,Personal Services,RETIREMENT PENSION CONTRIB,Operating,10359
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,010,Mayor and Council,0100101,MAYOR,01001,Mayors Office,51130010,51,Personal Services,MILEAGE REIMBURSEMENT,Operating,3750
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,010,Mayor and Council,0100101,MAYOR,01001,Mayors Office,51510004,51,Personal Services,EMPLOYEE PARKING,Operating,1162
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,010,Mayor and Council,0100101,MAYOR,01001,Mayors Office,52130001,52,Other Services,MEMBERSHIPS,Operating,600
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,010,Mayor and Council,0100101,MAYOR,01001,Mayors Office,52280004,52,Other Services,CHARGEBACK-IT,Operating,20598
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,010,Mayor and Council,0100101,MAYOR,01001,Mayors Office,52280007,52,Other Services,CHARGEBACK-RISK MANAGEMENT,Operating,1077
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,010,Mayor and Council,0100101,MAYOR,01001,Mayors Office,52280013,52,Other Services,CHARGEBACK-PRINT SHOP,Operating,896
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,010,Mayor and Council,0100101,MAYOR,01001,Mayors Office,52290010,52,Other Services,CHARGEBACK-POSTAGE,Operating,1193
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,010,Mayor and Council,0100101,MAYOR,01001,Mayors Office,52370002,52,Other Services,EMPLOYEE TRAVEL REIMBURSEMENT,Operating,24000
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,010,Mayor and Council,0100101,MAYOR,01001,Mayors Office,52890001,52,Other Services,OTHER SERVICES AND CHARGES,Operating,2008
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,010,Mayor and Council,0100101,MAYOR,01001,Mayors Office,53010001,53,Supplies,OFFICE SUPPLIES,Operating,1000
001,GENERAL FUND,0001,GENERAL OPERATIONS-UASN,010,Mayor and Council,0100101,MAYOR,01001,Mayors Office,53890004,53,Supplies,CLOTHING & OTHER,Operating,950
