BusinessUnit,FundCode,FundDescription,RevCategory,RevDetailNode, SumOfCurrentTotal 
OCITY,001,GENERAL FUND                  ,ADMINISTRATIVE CHARGES,Golf Administrative Payments," 78,023 "
OCITY,001,GENERAL FUND                  ,ADMINISTRATIVE CHARGES,Fleet Services Admin Payments," 78,911 "
OCITY,001,GENERAL FUND                  ,ADMINISTRATIVE CHARGES,Print Shop Administrative Payments," 112,945 "
OCITY,001,GENERAL FUND                  ,ADMINISTRATIVE CHARGES,Zoo Administrative Payments," 242,000 "
OCITY,001,GENERAL FUND                  ,ADMINISTRATIVE CHARGES,Convention & Tourism Admin Payments," 318,111 "
OCITY,001,GENERAL FUND                  ,ADMINISTRATIVE CHARGES,Parking Administrative Payments," 536,521 "
OCITY,001,GENERAL FUND                  ,ADMINISTRATIVE CHARGES,Banking Fee Payments," 644,026 "
OCITY,001,GENERAL FUND                  ,ADMINISTRATIVE CHARGES,Other Administrative Payments," 745,530 "
OCITY,001,GENERAL FUND                  ,ADMINISTRATIVE CHARGES,Risk Management Administrative Payments," 849,563 "
OCITY,001,GENERAL FUND                  ,ADMINISTRATIVE CHARGES,MAPS3 Administrative Payments," 858,375 "
OCITY,001,GENERAL FUND                  ,ADMINISTRATIVE CHARGES,Airport Administrative Payments," 872,587 "
OCITY,001,GENERAL FUND                  ,ADMINISTRATIVE CHARGES,Solid Waste Mgmt. Admin Payments," 913,617 "
OCITY,001,GENERAL FUND                  ,ADMINISTRATIVE CHARGES,Transit Administrative Payments," 962,828 "
OCITY,001,GENERAL FUND                  ,ADMINISTRATIVE CHARGES,Drainage Utility Administrative Payment," 1,090,416 "
OCITY,001,GENERAL FUND                  ,ADMINISTRATIVE CHARGES,IT Administrative Payments," 1,621,993 "
OCITY,001,GENERAL FUND                  ,ADMINISTRATIVE CHARGES,Airport Police Payments," 3,081,534 "
OCITY,001,GENERAL FUND                  ,ADMINISTRATIVE CHARGES,Water/Wastewater Admin Payments," 6,736,194 "
OCITY,001,GENERAL FUND                  ,FINES,Juvenile Fines," 215,620 "
OCITY,001,GENERAL FUND                  ,FINES,Criminal Court," 269,457 "
OCITY,001,GENERAL FUND                  ,FINES,Fines - Other," 270,191 "
OCITY,001,GENERAL FUND                  ,FINES,Jail Cost Recovery Program," 339,051 "
OCITY,001,GENERAL FUND                  ,FINES,"Court of Record, Jury Division"," 1,911,653 "
OCITY,001,GENERAL FUND                  ,FINES,Parking Fines," 2,108,131 "
OCITY,001,GENERAL FUND                  ,FINES,Traffic Fines," 8,118,554 "
OCITY,001,GENERAL FUND                  ,FINES,Court Fees," 9,765,845 "
OCITY,001,GENERAL FUND                  ,FRANCHISE FEES,Oklahoma Natural Gas," 547,233 "
OCITY,001,GENERAL FUND                  ,FRANCHISE FEES,Other Telephone," 128,286 "
OCITY,001,GENERAL FUND                  ,FRANCHISE FEES,Caddo Electric Coop.," 171,090 "
OCITY,001,GENERAL FUND                  ,FRANCHISE FEES,Cox Fibernet," 315,431 "
OCITY,001,GENERAL FUND                  ,FRANCHISE FEES,Southwestern Bell," 346,134 "
OCITY,001,GENERAL FUND                  ,FRANCHISE FEES,Tri-Gen," 427,607 "
OCITY,001,GENERAL FUND                  ,FRANCHISE FEES,Utility Fee - Solid Waste," 1,000,000 "
OCITY,001,GENERAL FUND                  ,FRANCHISE FEES,Oklahoma Electric Coop.," 1,225,995 "
OCITY,001,GENERAL FUND                  ,FRANCHISE FEES,Utility Fees - Wastewater," 1,700,191 "
OCITY,001,GENERAL FUND                  ,FRANCHISE FEES,AT&T VIDEO," 2,226,134 "
OCITY,001,GENERAL FUND                  ,FRANCHISE FEES,Utility Fees - Water," 2,400,000 "
OCITY,001,GENERAL FUND                  ,FRANCHISE FEES,Oklahoma Natural Gas," 3,899,893 "
OCITY,001,GENERAL FUND                  ,FRANCHISE FEES,Cox Cable," 6,814,568 "
OCITY,001,GENERAL FUND                  ,FRANCHISE FEES,Oklahoma Gas & Electric," 20,729,685 "
OCITY,001,GENERAL FUND                  ,FUND BALANCE,Fund Balance," 2,750,000 "
OCITY,001,GENERAL FUND                  ,INTEREST,Interest," 955,000 "
OCITY,001,GENERAL FUND                  ,"LICENSES, PERMITS AND FEES",Abandoned Building Registration," 10,000 "
OCITY,001,GENERAL FUND                  ,"LICENSES, PERMITS AND FEES",Work Zone Permits," 31,475 "
OCITY,001,GENERAL FUND                  ,"LICENSES, PERMITS AND FEES",Bike Share Program," 33,229 "
OCITY,001,GENERAL FUND                  ,"LICENSES, PERMITS AND FEES",Other Fees," 48,223 "
OCITY,001,GENERAL FUND                  ,"LICENSES, PERMITS AND FEES",Pre-Qualification Application Fee," 56,987 "
OCITY,001,GENERAL FUND                  ,"LICENSES, PERMITS AND FEES",Offsite Wagering Fee," 60,521 "
OCITY,001,GENERAL FUND                  ,"LICENSES, PERMITS AND FEES",Garage Sale Permits," 134,255 "
OCITY,001,GENERAL FUND                  ,"LICENSES, PERMITS AND FEES",Oil & Gas Well Inspections," 152,522 "
OCITY,001,GENERAL FUND                  ,"LICENSES, PERMITS AND FEES",Vending Stamps," 162,679 "
OCITY,001,GENERAL FUND                  ,"LICENSES, PERMITS AND FEES",Hunting and Fishing Permits," 174,013 "
OCITY,001,GENERAL FUND                  ,"LICENSES, PERMITS AND FEES",Boiler & Elevator Permits," 268,347 "
OCITY,001,GENERAL FUND                  ,"LICENSES, PERMITS AND FEES",Fire Prevention Permits," 290,341 "
OCITY,001,GENERAL FUND                  ,"LICENSES, PERMITS AND FEES",Sidewalk & Paving Fees," 540,538 "
OCITY,001,GENERAL FUND                  ,"LICENSES, PERMITS AND FEES",Mixed Bev./Bottle Club License," 608,149 "
OCITY,001,GENERAL FUND                  ,"LICENSES, PERMITS AND FEES",General Licenses," 844,158 "
OCITY,001,GENERAL FUND                  ,"LICENSES, PERMITS AND FEES",Refrig. & Forced Air Permits," 1,106,714 "
OCITY,001,GENERAL FUND                  ,"LICENSES, PERMITS AND FEES",Alarm Permits," 1,336,570 "
OCITY,001,GENERAL FUND                  ,"LICENSES, PERMITS AND FEES",Plumbing Permits," 1,597,679 "
OCITY,001,GENERAL FUND                  ,"LICENSES, PERMITS AND FEES",Electrical Wiring Permits," 1,646,190 "
OCITY,001,GENERAL FUND                  ,"LICENSES, PERMITS AND FEES",Building Permits," 5,436,780 "
OCITY,001,GENERAL FUND                  ,OTHER,Check Service Charge," 1,296 "
OCITY,001,GENERAL FUND                  ,OTHER,Wrecker Service Payments," 50,240 "
OCITY,001,GENERAL FUND                  ,OTHER,Royalties," 62,147 "
OCITY,001,GENERAL FUND                  ,OTHER,Sale of City Property," 100,000 "
OCITY,001,GENERAL FUND                  ,OTHER,Miscellaneous," 565,370 "
OCITY,001,GENERAL FUND                  ,OTHER,Leases," 2,050,000 "
OCITY,001,GENERAL FUND                  ,OTHER TAXES,Alcoholic Beverage Tax," 1,053,214 "
OCITY,001,GENERAL FUND                  ,OTHER TAXES,Motor Fuel Tax," 1,142,469 "
OCITY,001,GENERAL FUND                  ,OTHER TAXES,Commercial Vehicle Tax," 4,593,618 "
OCITY,001,GENERAL FUND                  ,OTHER TAXES,Excise Tax," 5,334,647 "
