FiscalYear,AccountType,FundCode,FundDescription,OperatingUnit,OperatingUnitDescription,ProgramID,ProgramName,LineOfBusinessID,LOBName,Account,Account Description,FY2015 Budget
FY14-15,Revenue,750,SPECIAL PURPOSE,1648,1 PERCENT FOR ART-CMTD,2407000,PLANNING SPECIAL PURPOSE,24070,Planning Special Purpose,54040049,CAPITALIZED PROFESSIONAL SRVC,200000
FY14-15,Expense,750,SPECIAL PURPOSE,1666,1 PERCENT FOR ART-RSTR,2407000,PLANNING SPECIAL PURPOSE,24070,Planning Special Purpose,54040049,CAPITALIZED PROFESSIONAL SRVC,500000
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112203,AIRPORTS FACILITY & LEASE ADMN,51122,Airport Property Mgt & Dev,51000013,BUDGET-SALARY RESERVE,14000
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112201,AIRPORTS ARC & ENG PLANNING,51122,Airport Property Mgt & Dev,51000013,BUDGET-SALARY RESERVE,39845
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112404,AIRPORTS FUEL,51124,Airport Maintenance,53040007,FUEL,161000
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112404,AIRPORTS FUEL,51124,Airport Maintenance,51000004,BUDGET-VACANCY DISCOUNT,-8182
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112110,AIRPORTS BUSINESS SERVICES,51121,Airport Administration,51000004,BUDGET-VACANCY DISCOUNT,-14866
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112503,OPERATIONS GENERAL AVIATION,51125,Airport General Aviation,52100001,LICENSES,100
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112503,OPERATIONS GENERAL AVIATION,51125,Airport General Aviation,52130001,MEMBERSHIPS,500
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112503,OPERATIONS GENERAL AVIATION,51125,Airport General Aviation,52340016,MACHINERY AND EQUIPMENT MTCE,600
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112503,OPERATIONS GENERAL AVIATION,51125,Airport General Aviation,52400007,OTHER EQUIPMENT RENTAL,1000
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112503,OPERATIONS GENERAL AVIATION,51125,Airport General Aviation,52890001,OTHER SERVICES AND CHARGES,2000
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112503,OPERATIONS GENERAL AVIATION,51125,Airport General Aviation,53010001,OFFICE SUPPLIES,1000
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112503,OPERATIONS GENERAL AVIATION,51125,Airport General Aviation,53010013,NON-CAPITAL OFFICE MACHINES,600
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112503,OPERATIONS GENERAL AVIATION,51125,Airport General Aviation,53040001,JANITOR SUPPLIES,400
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112503,OPERATIONS GENERAL AVIATION,51125,Airport General Aviation,53040013,REPAIR & MAINTENANCE PARTS,20000
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112503,OPERATIONS GENERAL AVIATION,51125,Airport General Aviation,53040022,GROUNDS IMPROVEMENT,4000
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112503,OPERATIONS GENERAL AVIATION,51125,Airport General Aviation,53040025,SMALL TOOLS & MINOR EQUIP,2000
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112503,OPERATIONS GENERAL AVIATION,51125,Airport General Aviation,53040031,OTHER EQUIPMENT,4000
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112503,OPERATIONS GENERAL AVIATION,51125,Airport General Aviation,53130025,LANDSCAPING,2220
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112503,OPERATIONS GENERAL AVIATION,51125,Airport General Aviation,53890004,CLOTHING & OTHER,4000
FY14-15,Expense,511,AIRPORTS,800,AIRPORTS CITY OPERATIONS,5112503,OPERATIONS GENERAL AVIATION,51125,Airport General Aviation,53890022,OTHER SUPPLIES,11000
