Fiscal Year,Account Type,Department,Division,ORG_NAME,Org Description,Fund Code,Fund Description,Account Category,Account Code,Account Description,Amount
FY19,Expense,Adminitrative Services,Admin Services Support,Administration,1000 - Administration,1010,General Fund Operating,Personnel Services,7020,Full Time Employees,55671
FY19,Expense,Adminitrative Services,Admin Services Support,Administration,1000 - Administration,1010,General Fund Operating,Personnel Services,7105,Employers FICA,4249
FY19,Expense,Adminitrative Services,Admin Services Support,Administration,1000 - Administration,1010,General Fund Operating,Personnel Services,7110,Hospitalization Insurance,10800
FY19,Expense,Adminitrative Services,Admin Services Support,Administration,1000 - Administration,1010,General Fund Operating,Personnel Services,7115,Retiree Health Care-OPEB,6918
FY19,Expense,Adminitrative Services,Admin Services Support,Administration,1000 - Administration,1010,General Fund Operating,Personnel Services,7120,Retirement Fund Contribution,12717
FY19,Expense,Adminitrative Services,Admin Services Support,Administration,1000 - Administration,1010,General Fund Operating,Personnel Services,7135,Unemployment Compensation,84
FY19,Expense,Adminitrative Services,Admin Services Support,Administration,1000 - Administration,1010,General Fund Operating,Supplies,7520,Supplies,12000
FY19,Expense,Adminitrative Services,Admin Services Support,Administration,1000 - Administration,1010,General Fund Operating,Supplies,7910,Subscriptions and Publications,250
FY19,Expense,Adminitrative Services,Admin Services Support,Administration,1000 - Administration,1010,General Fund Operating,Other Services and Charges,8010,Contractual Services,5000
FY19,Expense,Adminitrative Services,Admin Services Support,Administration,1000 - Administration,1010,General Fund Operating,Other Services and Charges,8450,Claims,5463
FY19,Expense,Adminitrative Services,Admin Services Support,Administration,1000 - Administration,1010,General Fund Operating,Other Services and Charges,8500,Telephone,1200
FY19,Expense,Adminitrative Services,Admin Services Support,Administration,1000 - Administration,1010,General Fund Operating,Other Services and Charges,8510,Postage,100
FY19,Expense,Adminitrative Services,Admin Services Support,Administration,1000 - Administration,1010,General Fund Operating,Other Services and Charges,8800,Community Promotion,500
FY19,Expense,Adminitrative Services,Admin Services Support,Administration,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9000,Printing & Publishing,250
FY19,Expense,Adminitrative Services,Admin Services Support,Administration,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9110,Other Travel & Training,500
FY19,Expense,Adminitrative Services,Admin Services Support,Administration,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9130,Local Business Expense,500
FY19,Expense,Adminitrative Services,Admin Services Support,Administration,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9150,Memberships,500
FY19,Expense,Adminitrative Services,Admin Services Support,Administration,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9410,Equipment Rentals or Lease,260
FY19,Expense,Adminitrative Services,Admin Services Support,Administration,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9430,Buildings Rentals or Lease-Facility Mgmt,30450
FY19,Expense,Adminitrative Services,Admin Services Support,Administration,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9470,Employee Parking,5000
FY19,Expense,Adminitrative Services,Admin Services Support,Administration,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9480,Computer Services-from IT,60905
FY19,Expense,Adminitrative Services,Admin Services Support,Diversity & Incl-Op,1020 - Diversity & Incl-Op,1010,General Fund Operating,Personnel Services,7020,Full Time Employees,199923
FY19,Expense,Adminitrative Services,Admin Services Support,Diversity & Incl-Op,1020 - Diversity & Incl-Op,1010,General Fund Operating,Personnel Services,7105,Employers FICA,15289
FY19,Expense,Adminitrative Services,Admin Services Support,Diversity & Incl-Op,1020 - Diversity & Incl-Op,1010,General Fund Operating,Personnel Services,7110,Hospitalization Insurance,36000
FY19,Expense,Adminitrative Services,Admin Services Support,Diversity & Incl-Op,1020 - Diversity & Incl-Op,1010,General Fund Operating,Personnel Services,7115,Retiree Health Care-OPEB,24690
FY19,Expense,Adminitrative Services,Admin Services Support,Diversity & Incl-Op,1020 - Diversity & Incl-Op,1010,General Fund Operating,Personnel Services,7120,Retirement Fund Contribution,45381
FY19,Expense,Adminitrative Services,Admin Services Support,Diversity & Incl-Op,1020 - Diversity & Incl-Op,1010,General Fund Operating,Personnel Services,7135,Unemployment Compensation,276
FY19,Expense,Adminitrative Services,Admin Services Support,Diversity & Incl-Op,1020 - Diversity & Incl-Op,1010,General Fund Operating,Supplies,7520,Supplies,4725
FY19,Expense,Adminitrative Services,Admin Services Support,Diversity & Incl-Op,1020 - Diversity & Incl-Op,1010,General Fund Operating,Supplies,7910,Subscriptions and Publications,100
FY19,Expense,Adminitrative Services,Admin Services Support,Diversity & Incl-Op,1020 - Diversity & Incl-Op,1010,General Fund Operating,Other Services and Charges,8010,Contractual Services,15000
FY19,Expense,Adminitrative Services,Admin Services Support,Diversity & Incl-Op,1020 - Diversity & Incl-Op,1010,General Fund Operating,Other Services and Charges,8510,Postage,500
FY19,Expense,Adminitrative Services,Admin Services Support,Diversity & Incl-Op,1020 - Diversity & Incl-Op,1010,General Fund Operating,Other Services and Charges,8800,Community Promotion,8000
FY19,Expense,Adminitrative Services,Admin Services Support,Diversity & Incl-Op,1020 - Diversity & Incl-Op,1010,General Fund Operating,Other Services and Charges,9000,Printing & Publishing,1000
FY19,Expense,Adminitrative Services,Admin Services Support,Diversity & Incl-Op,1020 - Diversity & Incl-Op,1010,General Fund Operating,Other Services and Charges,9100,Professional Development,1000
FY19,Expense,Adminitrative Services,Admin Services Support,Diversity & Incl-Op,1020 - Diversity & Incl-Op,1010,General Fund Operating,Other Services and Charges,9110,Other Travel & Training,2000
