Fiscal Year,Account Type,Department,Division,Fund Description,Account Category,Account Description,Amount
FY20,Expense,Fire,Fire,General Fund Operating,Supplies,Supplies,3264
FY20,Expense,Fire,Fire,General Fund Operating,Capital Outlays,Equipment,4250
FY20,Expense,Fire,Fire,General Fund Operating,Personnel Services,Full Time Employees,344496
FY20,Expense,Fire,Fire,General Fund Operating,Personnel Services,Acting Assignment,10150
FY20,Expense,Fire,Fire,General Fund Operating,Personnel Services,Time & One-half,51950
FY20,Expense,Fire,Fire,General Fund Operating,Personnel Services,Employers FICA,5892
FY20,Expense,Fire,Fire,General Fund Operating,Personnel Services,Hospitalization Insurance,61584
FY20,Expense,Fire,Fire,General Fund Operating,Personnel Services,Retiree Health Care-OPEB,54516
FY20,Expense,Fire,Fire,General Fund Operating,Personnel Services,Retirement Fund Contribution,105091
FY20,Expense,Fire,Fire,General Fund Operating,Personnel Services,Unemployment Compensation,579
FY20,Expense,Fire,Fire,General Fund Operating,Other Services and Charges,Other Travel & Training,9900
FY20,Expense,Fire,Fire,General Fund Operating,Other Services and Charges,Memberships,1408
FY20,Expense,Fire,Fire,General Fund Operating,Other Services and Charges,Fleet Management Equipment Charges,10569
FY20,Expense,Fire,Fire,General Fund Operating,Supplies,Supplies,79100
FY20,Expense,Fire,Fire,General Fund Operating,Supplies,Subscriptions and Publications,2787
FY20,Expense,Fire,Fire,General Fund Operating,Capital Outlays,Building Additions,73917
FY20,Expense,Fire,Fire,General Fund Operating,Capital Outlays,Equipment,294155
FY20,Expense,Fire,Fire,General Fund Operating,Other Financing,Operating Trans-Misc,80000
FY20,Expense,Fire,Fire,General Fund Operating,Personnel Services,Full Time Employees,1296033
FY20,Expense,Fire,Fire,General Fund Operating,Personnel Services,Acting Assignment,5228
FY20,Expense,Fire,Fire,General Fund Operating,Personnel Services,Temporary Noncontract Employees,17500
FY20,Expense,Fire,Fire,General Fund Operating,Personnel Services,Time & One-half,166995
FY20,Expense,Fire,Fire,General Fund Operating,Personnel Services,Employers FICA,51041
FY20,Expense,Fire,Fire,General Fund Operating,Personnel Services,Hospitalization Insurance,238644
FY20,Expense,Fire,Fire,General Fund Operating,Personnel Services,Retiree Health Care-OPEB,155481
FY20,Expense,Fire,Fire,General Fund Operating,Personnel Services,Retirement Fund Contribution,351455
FY20,Expense,Fire,Fire,General Fund Operating,Personnel Services,Unemployment Compensation,2053
