Fiscal Year,Account Type,Department,Division,Org Code,Org Description,Fund Code,Fund Description,Account Category,Account Code,Account Description,Amount
FY17,Revenue,Enterprise Services,Water,1000,1000 - Administration,5910,Water Operations,Other Financing Sources,6991,Operating Transfers-Subsidy,2201742
FY17,Revenue,Community Services,Cemetery,1000,1000 - Administration,5020,Cemetery Operating,Other Financing Sources,6995,Operating Transfers-Misc,32653
FY17,Revenue,Design & Development,Code Compliance,1000,1000 - Administration,1010,General Fund Operating,Other Revenues,6901,Miscellaneous Other Revenue,87
FY17,Revenue,Treasury,Treasurer,1000,1000 - Administration,1010,General Fund Operating,Other Revenues,6921,Bad Check Fees,7000
FY17,Expense,Enterprise Services,Parking,1000,1000 - Administration,5140,Parking Operating,Personal Services,7020,Full Time Employees,729697
FY17,Expense,Facilities & Fleet Management,Facilities Management,1000,1000 - Administration,6310,Facilities Mgmt-Operating,Personal Services,7020,Full Time Employees,526012
FY17,Expense,Retirement Activities,City Retirement System Office,1000,1000 - Administration,7050,City Retirement System Office,Personal Services,7020,Full Time Employees,307827
FY17,Expense,District Court,61st District Court,1000,1000 - Administration,7400,61st District Court,Personal Services,7020,Full Time Employees,4386192
FY17,Expense,Fiscal Services,Income Tax,1000,1000 - Administration,1010,General Fund Operating,Personal Services,7025,Acting Assignment,3322
FY17,Expense,Public Services,Streets,1000,1000 - Administration,2020,Major Streets,Personal Services,7025,Acting Assignment,3500
FY17,Expense,Public Services,Streets,1000,1000 - Administration,2030,Local Streets,Personal Services,7025,Acting Assignment,2000
FY17,Expense,Facilities & Fleet Management,Fleet Management,1000,1000 - Administration,6610,Motor Equipment-Operating,Personal Services,7055,Time & One-half,5000
FY17,Expense,Enterprise Services,Water,1000,1000 - Administration,5910,Water Operations,Personal Services,7105,Employers FICA,52134
FY17,Expense,Public Services,Streets,1000,1000 - Administration,2030,Local Streets,Other Services and Charges,9410,Equipment Rentals or Lease,49323
FY17,Expense,Adminitrative Services,Admin Services Support,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9410,Equipment Rentals or Lease,100
FY17,Expense,Fiscal Services,Income Tax,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9430,Buildings Rentals or Lease-Facility Mgmt,83246
FY17,Revenue,Enterprise Services,Environmental Services,1000,1000 - Administration,5900,Sewer Disposal Operations,Charges for Services,6285,Industrial Discharge Authorization,24800
FY17,Revenue,Public Services,Streets,1000,1000 - Administration,2030,Local Streets,Charges for Services,6421,Sales-General,1000
FY17,Revenue,Enterprise Services,Water,1000,1000 - Administration,5910,Water Operations,Charges for Services,6435,Wyoming Water Sales,3141
FY17,Revenue,Facilities & Fleet Management,Fleet Management,1000,1000 - Administration,6610,Motor Equipment-Operating,Investment Income & Rentals,6673,Rentals-Equipment,6609401
FY17,Revenue,Design & Development,Economic Development,1000,1000 - Administration,2530,DNR Properties,Other Revenues,6731,Property Sales,47500
FY17,Revenue,Comptroller,Comptroller,1000,1000 - Administration,1010,General Fund Operating,Other Revenues,6761,Reimbursements,40
FY17,Expense,Public Services,Streets,1000,1000 - Administration,2030,Local Streets,Other Services and Charges,9470,Employee Parking,1030
FY17,Expense,Enterprise Services,Street Lighting,1000,1000 - Administration,1010,General Fund Operating,Personal Services,7055,Time & One-half,88000
FY17,Expense,Enterprise Services,Environmental Services,1000,1000 - Administration,5900,Sewer Disposal Operations,Other Services and Charges,9470,Employee Parking,8885
