Fiscal Year,Account Type,Department,Division,Fund Description,Account Category,Account Description,Amount,,ORG_NAME,ORG_DESC,FUND,ACCT_CODE
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Personnel Services,Full Time Employees,55671,,Administration,1000 - Administration,1010,7020
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Personnel Services,Employers FICA,4249,,Administration,1000 - Administration,1010,7105
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Personnel Services,Hospitalization Insurance,10800,,Administration,1000 - Administration,1010,7110
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Personnel Services,Retiree Health Care-OPEB,6918,,Administration,1000 - Administration,1010,7115
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Personnel Services,Retirement Fund Contribution,12717,,Administration,1000 - Administration,1010,7120
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Personnel Services,Unemployment Compensation,84,,Administration,1000 - Administration,1010,7135
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Supplies,Supplies,12000,,Administration,1000 - Administration,1010,7520
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Supplies,Subscriptions and Publications,250,,Administration,1000 - Administration,1010,7910
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Other Services and Charges,Contractual Services,5000,,Administration,1000 - Administration,1010,8010
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Other Services and Charges,Claims,5463,,Administration,1000 - Administration,1010,8450
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Other Services and Charges,Telephone,1200,,Administration,1000 - Administration,1010,8500
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Other Services and Charges,Postage,100,,Administration,1000 - Administration,1010,8510
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Other Services and Charges,Community Promotion,500,,Administration,1000 - Administration,1010,8800
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Other Services and Charges,Printing & Publishing,250,,Administration,1000 - Administration,1010,9000
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Other Services and Charges,Other Travel & Training,500,,Administration,1000 - Administration,1010,9110
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Other Services and Charges,Local Business Expense,500,,Administration,1000 - Administration,1010,9130
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Other Services and Charges,Memberships,500,,Administration,1000 - Administration,1010,9150
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Other Services and Charges,Equipment Rentals or Lease,260,,Administration,1000 - Administration,1010,9410
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Other Services and Charges,Buildings Rentals or Lease-Facility Mgmt,30450,,Administration,1000 - Administration,1010,9430
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Other Services and Charges,Employee Parking,5000,,Administration,1000 - Administration,1010,9470
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Other Services and Charges,Computer Services-from IT,60905,,Administration,1000 - Administration,1010,9480
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Personnel Services,Full Time Employees,199923,,Diversity & Incl-Op,1020 - Diversity & Incl-Op,1010,7020
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Personnel Services,Employers FICA,15289,,Diversity & Incl-Op,1020 - Diversity & Incl-Op,1010,7105
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Personnel Services,Hospitalization Insurance,36000,,Diversity & Incl-Op,1020 - Diversity & Incl-Op,1010,7110
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Personnel Services,Retiree Health Care-OPEB,24690,,Diversity & Incl-Op,1020 - Diversity & Incl-Op,1010,7115
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Personnel Services,Retirement Fund Contribution,45381,,Diversity & Incl-Op,1020 - Diversity & Incl-Op,1010,7120
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Personnel Services,Unemployment Compensation,276,,Diversity & Incl-Op,1020 - Diversity & Incl-Op,1010,7135
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Supplies,Supplies,4725,,Diversity & Incl-Op,1020 - Diversity & Incl-Op,1010,7520
