Fund,Oper Unit,Dept,Agency,Agency Name,Account,Character Class,Class Description,Descr,Sum Transaction Amt,Ledger,Operating or Non,Year
001,0001,4200732,420,Police,52130001,52,Professional Services,MEMBERSHIPS,"2,660.00",ACTUALS,,"2,015"
001,0001,5500310,550,Parks,52070004,52,Professional Services,"WATER, SEWER & REFUSE","325,532.52",ACTUALS,,"2,015"
399,3001,3990204,399,Utilities,52340016,52,Professional Services,MACHINERY AND EQUIPMENT MTCE,"1,035.52",ACTUALS,,"2,015"
001,0001,3500209,350,General Services,51040001,51,Personnel Services,EMPLOYER'S FICA EXPENSE,876.16,ACTUALS,,"2,015"
001,0001,3300110,330,Public Works,52280007,52,Professional Services,CHARGEBACK-RISK MANAGEMENT,"1,261,674.00",ACTUALS,,"2,015"
001,0001,5800401,580,Development Services,53010001,53,Materials and Supplies,OFFICE SUPPLIES,"12,953.08",ACTUALS,,"2,015"
001,0001,3300110,330,Public Works,51010016,51,Personnel Services,VACATION,"111,102.40",ACTUALS,,"2,015"
001,0001,3100301,310,City Auditor,51040001,51,Personnel Services,EMPLOYER'S FICA EXPENSE,"2,536.09",ACTUALS,,"2,015"
399,3001,3990505,399,Utilities,51070001,51,Personnel Services,HEALTH AND WELFARE INSURANCE,"227,931.80",ACTUALS,,"2,015"
001,0001,2800601,280,Finance,51070002,51,Personnel Services,HMO ADMIN,44.82,ACTUALS,,"2,015"
001,0001,2400507,240,Planning,52130001,52,Professional Services,MEMBERSHIPS,"1,821.25",ACTUALS,,"2,015"
001,0001,0700602,070,Municipal Counselor,51070003,51,Personnel Services,INDEMNITY ADMIN,208.44,ACTUALS,,"2,015"
003,2147,3305003,330,Public Works,54040001,54,Capital Purchase,ARCHITECT & ENGINEERING,"32,775.41",ACTUALS,,"2,015"
330,0075,3300110,330,Public Works,51010001,51,Personnel Services,SALARIES AND WAGES,"65,661.73",ACTUALS,,"2,015"
001,0001,4200110,420,Police,51130001,51,Personnel Services,UNIFORM ALLOWANCE,"5,556.00",ACTUALS,,"2,015"
020,0100,4200732,420,Police,51040001,51,Personnel Services,EMPLOYER'S FICA EXPENSE,"55,538.45",ACTUALS,,"2,015"
700,1750,0400402,040,City Manager,51130010,51,Personnel Services,MILEAGE REIMBURSEMENT,499.65,ACTUALS,,"2,015"
001,0001,0400503,040,City Manager,51010016,51,Personnel Services,VACATION,"7,075.61",ACTUALS,,"2,015"
715,1778,0406109,040,City Manager,54040025,54,Capital Purchase,ADMIN PAYMENTS TO PUB WORKS,"115,559.27",ACTUALS,,"2,015"
350,0455,3500313,350,General Services,51070002,51,Personnel Services,HMO ADMIN,4.12,ACTUALS,,"2,015"
001,0001,5500518,550,Parks,52340013,52,Professional Services,NONTARGET REPAIR LABOR,44.00,ACTUALS,,"2,015"
250,0460,2501303,250,Information Technology,51070003,51,Personnel Services,INDEMNITY ADMIN,155.05,ACTUALS,,"2,015"
017,0503,4200841,420,Police,53100001,53,Materials and Supplies,EDUCATIONAL & TRAINING,"27,658.75",ACTUALS,,"2,015"
001,0001,4500402,450,Fire,53040001,53,Materials and Supplies,JANITOR SUPPLIES,"121,332.30",ACTUALS,,"2,015"
285,0465,2800110,280,Finance,51010007,51,Personnel Services,OVERTIME WAGES,0.00,ACTUALS,,"2,015"
001,0001,1900203,190,City Clerk,52049001,52,Professional Services,EMPLOYEE TRAINING,"2,320.00",ACTUALS,,"2,015"
003,2060,3305501,330,Public Works,54040025,54,Capital Purchase,ADMIN PAYMENTS TO PUB WORKS,"1,201.09",ACTUALS,,"2,015"
399,3001,3990402,399,Utilities,51010013,51,Personnel Services,SICK LEAVE,"197,738.06",ACTUALS,,"2,015"
065,5150,5200105,520,Public Transportation,51010013,51,Personnel Services,SICK LEAVE,"12,755.60",ACTUALS,,"2,015"
003,2107,3305005,330,Public Works,54040023,54,Capital Purchase,UTILITY RELOCATES,"2,383.00",ACTUALS,,"2,015"
001,0001,1000201,100,Municipal Court,51070002,51,Personnel Services,HMO ADMIN,20.40,ACTUALS,,"2,015"
399,3501,3990202,399,Utilities,51010004,51,Personnel Services,PART TIME & TEMPORARY WAGES,"11,144.85",ACTUALS,,"2,015"
001,0001,3300302,330,Public Works,51010010,51,Personnel Services,ACCRUED LEAVE PAYOUT,"6,452.83",ACTUALS,,"2,015"
330,0075,3301101,330,Public Works,53890004,53,Materials and Supplies,CLOTHING & OTHER,"5,698.54",ACTUALS,,"2,015"
060,0329,9801004,980,Non Departmental,59010210,59,Transfers,TSF TO PPA BID/INTEREST OP,498.96,ACTUALS,,"2,015"
001,0001,4200109,420,Police,52340028,52,Professional Services,CUSTODIAL SERVICE,"3,098.00",ACTUALS,,"2,015"
030,0150,4500401,450,Fire,51010013,51,Personnel Services,SICK LEAVE,"2,653.16",ACTUALS,,"2,015"
001,0001,5800501,580,Development Services,51010016,51,Personnel Services,VACATION,"55,165.46",ACTUALS,,"2,015"
399,3501,3990204,399,Utilities,51070004,51,Personnel Services,RETIREMENT PENSION CONTRIB,"73,493.61",ACTUALS,,"2,015"
399,3501,3990203,399,Utilities,53040013,53,Materials and Supplies,REPAIR & MAINTENANCE PARTS,"17,096.31",ACTUALS,,"2,015"
001,0001,0700101,070,Municipal Counselor,51070003,51,Personnel Services,INDEMNITY ADMIN,216.22,ACTUALS,,"2,015"
019,6700,3303500,330,Public Works,54040001,54,Capital Purchase,ARCHITECT & ENGINEERING,"1,270,557.95",ACTUALS,,"2,015"
019,6140,2408055,240,Planning,52550709,52,Professional Services,SUPPORTIVE SERVICE,"925,614.63",ACTUALS,,"2,015"
060,0332,9801002,980,Non Departmental,59010210,59,Transfers,TSF TO PPA BID/INTEREST OP,455.37,ACTUALS,,"2,015"
250,0460,2501302,250,Information Technology,52340039,52,Professional Services,COPIER MAINTENANCE AND OVERAGE,807.12,ACTUALS,,"2,015"
001,0001,2800501,280,Finance,53010001,53,Materials and Supplies,OFFICE SUPPLIES,"2,578.93",ACTUALS,,"2,015"
250,0460,2501307,250,Information Technology,52010063,52,Professional Services,ITC NETWORK COMPONENTS,"74,399.25",ACTUALS,,"2,015"
350,0455,3500312,350,General Services,52340016,52,Professional Services,MACHINERY AND EQUIPMENT MTCE,"3,279.20",ACTUALS,,"2,015"
399,3501,3990110,399,Utilities,52280022,52,Professional Services,CHARGEBACK FUEL,"27,260.76",ACTUALS,,"2,015"
001,0001,3300501,330,Public Works,52400007,52,Professional Services,OTHER EQUIPMENT RENTAL,"4,716.27",ACTUALS,,"2,015"
330,0075,3300601,330,Public Works,53040031,53,Materials and Supplies,OTHER EQUIPMENT,99.99,ACTUALS,,"2,015"
285,0465,2800701,280,Finance,53010001,53,Materials and Supplies,OFFICE SUPPLIES,"6,843.35",ACTUALS,,"2,015"
019,6970,4509000,450,Fire,53040025,53,Materials and Supplies,SMALL TOOLS & MINOR EQUIP,42.23,ACTUALS,,"2,015"
750,1602,5807000,580,Development Services,53890004,53,Materials and Supplies,CLOTHING & OTHER,"1,372.68",ACTUALS,,"2,015"
070,0350,4200842,420,Police,52280013,52,Professional Services,CHARGEBACK-PRINT SHOP,"1,119.00",ACTUALS,,"2,015"
001,0001,2400206,240,Planning,52550532,52,Professional Services,OKC METRO ALLIANCE,"10,000.00",ACTUALS,,"2,015"
001,0001,4200105,420,Police,53010007,53,Materials and Supplies,COMPUTER SUPPLIES,613.02,ACTUALS,,"2,015"
001,0001,5500516,550,Parks,53160008,53,Materials and Supplies,SAFETY EQUIPMENT & SUPPLIES,682.66,ACTUALS,,"2,015"
019,6140,2408030,240,Planning,52550896,52,Professional Services,RON WALTERS HOMES,"11,706.00",ACTUALS,,"2,015"
030,0150,4500201,450,Fire,51130010,51,Personnel Services,MILEAGE REIMBURSEMENT,508.69,ACTUALS,,"2,015"
001,0001,1000602,100,Municipal Court,51510004,51,Personnel Services,EMPLOYEE PARKING,"1,065.75",ACTUALS,,"2,015"
003,2030,3305302,330,Public Works,52044025,52,Professional Services,NON-CAPITAL ADMIN COST,"6,246.62",ACTUALS,,"2,015"
399,3501,3990403,399,Utilities,52890028,52,Professional Services,1 PERCENT FOR ART SERVICES,48.25,ACTUALS,,"2,015"
001,0001,5500517,550,Parks,53890002,53,Materials and Supplies,PURCHASE_DISCOUNT,-0.20,ACTUALS,,"2,015"
001,0001,2800504,280,Finance,51070001,51,Personnel Services,HEALTH AND WELFARE INSURANCE,"206,283.74",ACTUALS,,"2,015"
066,5100,5200330,520,Public Transportation,51010016,51,Personnel Services,VACATION,"14,586.55",ACTUALS,,"2,015"
001,0001,4200621,420,Police,52340004,52,Professional Services,COMPUTER MAINTENANCE,"14,277.60",ACTUALS,,"2,015"
001,0001,4200105,420,Police,51130001,51,Personnel Services,UNIFORM ALLOWANCE,"1,742.00",ACTUALS,,"2,015"
001,0001,1900201,190,City Clerk,52250001,52,Professional Services,ADVERTISING,"92,047.37",ACTUALS,,"2,015"
511,0800,5112106,511,Airport,51010007,51,Personnel Services,OVERTIME WAGES,877.49,ACTUALS,,"2,015"
001,0001,5800402,580,Development Services,52010058,52,Professional Services,ITC MICROSOFT LICENSING,"3,522.00",ACTUALS,,"2,015"
511,0800,5112106,511,Airport,51040001,51,Personnel Services,EMPLOYER'S FICA EXPENSE,"11,264.47",ACTUALS,,"2,015"
001,0001,5500413,550,Parks,51070003,51,Personnel Services,INDEMNITY ADMIN,308.71,ACTUALS,,"2,015"
750,1625,5507204,550,Parks,52040046,52,Professional Services,PROFESSIONAL SERVICES-OTHER,0.00,ACTUALS,,"2,015"
399,3001,3990303,399,Utilities,53010007,53,Materials and Supplies,COMPUTER SUPPLIES,"4,479.41",ACTUALS,,"2,015"
003,2127,3305601,330,Public Works,53010016,53,Materials and Supplies,NON-CAPITAL FURNITURE & FIXTUR,"91,561.38",ACTUALS,,"2,015"
065,5150,5200220,520,Public Transportation,51070003,51,Personnel Services,INDEMNITY ADMIN,93.24,ACTUALS,,"2,015"
001,0001,2800504,280,Finance,52340034,52,Professional Services,OTHER REPAIRS AND MAINTENANCE,37.85,ACTUALS,,"2,015"
022,0121,4200731,420,Police,53010007,53,Materials and Supplies,COMPUTER SUPPLIES,"128,267.48",ACTUALS,,"2,015"
001,0001,5500208,550,Parks,51070001,51,Personnel Services,HEALTH AND WELFARE INSURANCE,"17,128.89",ACTUALS,,"2,015"
019,6830,3309200,330,Public Works,52010028,52,Professional Services,MISCELLANEOUS SRVCS CONTRACTS,0.00,ACTUALS,,"2,015"
001,0001,4200108,420,Police,51070002,51,Personnel Services,HMO ADMIN,119.55,ACTUALS,,"2,015"
001,0001,0400301,040,City Manager,51130010,51,Personnel Services,MILEAGE REIMBURSEMENT,613.18,ACTUALS,,"2,015"
030,0150,4500302,450,Fire,51010001,51,Personnel Services,SALARIES AND WAGES,"327,441.64",ACTUALS,,"2,015"
750,1661,5502031,550,Parks,52010028,52,Professional Services,MISCELLANEOUS SRVCS CONTRACTS,"1,956.00",ACTUALS,,"2,015"
001,0001,4200101,420,Police,52290016,52,Professional Services,CHARGEBACK-COLOR COPIES,"6,625.35",ACTUALS,,"2,015"
001,0001,4200101,420,Police,53010001,53,Materials and Supplies,OFFICE SUPPLIES,"4,277.46",ACTUALS,,"2,015"
001,0001,4200621,420,Police,52340028,52,Professional Services,CUSTODIAL SERVICE,"28,270.68",ACTUALS,,"2,015"
001,0001,4200109,420,Police,53040031,53,Materials and Supplies,OTHER EQUIPMENT,"4,614.31",ACTUALS,,"2,015"
750,1674,0404401,040,City Manager,52040046,52,Professional Services,PROFESSIONAL SERVICES-OTHER,835.00,ACTUALS,,"2,015"
001,0001,3300902,330,Public Works,52044025,52,Professional Services,NON-CAPITAL ADMIN COST,611.94,ACTUALS,,"2,015"
