FundCode,FundDescription,OperatingUnit,OperatingUnitDescription,ProgramID,ProgramName,LineOfBusinessID,LOBName,Account,RevenueAccountDescription,FY2016 Budget
750,SPECIAL PURPOSE               ,1657,1 Percent Art - Assigned      ,9999999,Revenue,99999,Revenue,44100000,CARRYOVER                     ,20.000
750,SPECIAL PURPOSE               ,1648,1 PERCENT FOR ART-CMTD        ,9999999,Revenue,99999,Revenue,44100000,CARRYOVER                     ,8670.000
750,SPECIAL PURPOSE               ,1666,1 PERCENT FOR ART-RSTR        ,9999999,Revenue,99999,Revenue,44100002,RESERVE FOR PRIOR YEAR ENCUMBR,625.000
750,SPECIAL PURPOSE               ,1666,1 PERCENT FOR ART-RSTR        ,9999999,Revenue,99999,Revenue,44100000,CARRYOVER                     ,2275525.000
750,SPECIAL PURPOSE               ,1666,1 PERCENT FOR ART-RSTR        ,9999999,Revenue,99999,Revenue,45600168,TSF FM BOND FUNDS             ,163859.000
511,AIRPORTS                      ,0800,AIRPORTS CITY OPERATIONS      ,9999999,Revenue,99999,Revenue,44250000,INTEREST-NON OPERATING        ,15822.000
511,AIRPORTS                      ,0800,AIRPORTS CITY OPERATIONS      ,9999999,Revenue,99999,Revenue,45600043,TSF FM AIRPORT TST-200        ,17350675.000
750,SPECIAL PURPOSE               ,1602,ANIMAL SHELTER-RSTR           ,9999999,Revenue,99999,Revenue,44100000,CARRYOVER                     ,144120.000
750,SPECIAL PURPOSE               ,1602,ANIMAL SHELTER-RSTR           ,9999999,Revenue,99999,Revenue,43900002,DONATIONS-OPERATING           ,86920.000
750,SPECIAL PURPOSE               ,1602,ANIMAL SHELTER-RSTR           ,9999999,Revenue,99999,Revenue,44100002,RESERVE FOR PRIOR YEAR ENCUMBR,11790.000
750,SPECIAL PURPOSE               ,1647,ANML WLFR STERILIZATION-CMTD  ,9999999,Revenue,99999,Revenue,43900011,DONATIONS-SPAY AND NEUTER     ,207502.000
750,SPECIAL PURPOSE               ,1647,ANML WLFR STERILIZATION-CMTD  ,9999999,Revenue,99999,Revenue,44100000,CARRYOVER                     ,20365.000
750,SPECIAL PURPOSE               ,1647,ANML WLFR STERILIZATION-CMTD  ,9999999,Revenue,99999,Revenue,44100002,RESERVE FOR PRIOR YEAR ENCUMBR,7202.000
750,SPECIAL PURPOSE               ,1674,ASA_SOFTBALL_HOF-RESTR        ,9999999,Revenue,99999,Revenue,44100000,CARRYOVER                     ,3458727.000
750,SPECIAL PURPOSE               ,1674,ASA_SOFTBALL_HOF-RESTR        ,9999999,Revenue,99999,Revenue,44100002,RESERVE FOR PRIOR YEAR ENCUMBR,1166618.000
750,SPECIAL PURPOSE               ,1674,ASA_SOFTBALL_HOF-RESTR        ,9999999,Revenue,99999,Revenue,43365000,DONATIONS - SPECIAL PURPOSE   ,1700000.000
022,ASSET FORFEITURE              ,0122,ASSET FORF DEPT OF TREAS-RSTR ,9999999,Revenue,99999,Revenue,41105018,GOV REST INTEREST INC         ,534.000
022,ASSET FORFEITURE              ,0122,ASSET FORF DEPT OF TREAS-RSTR ,9999999,Revenue,99999,Revenue,41000002,DEPT OF TREASURY EQUIPMENT    ,51743.000
750,SPECIAL PURPOSE               ,1651,BICENTENIAL PARK-RSTR         ,9999999,Revenue,99999,Revenue,44100000,CARRYOVER                     ,827.000
750,SPECIAL PURPOSE               ,1661,BLUFF CREEK PARK IMPROV-RSTR  ,9999999,Revenue,99999,Revenue,44100000,CARRYOVER                     ,1104.000
039,CAPITAL IMPROVEMENT           ,0175,CAPITAL IMPROVEMENT-ASGN      ,9999999,Revenue,99999,Revenue,45600074,TSF FM MFA/CAP IMP-702        ,645000.000
039,CAPITAL IMPROVEMENT           ,0175,CAPITAL IMPROVEMENT-ASGN      ,9999999,Revenue,99999,Revenue,44100000,CARRYOVER                     ,24168841.000
039,CAPITAL IMPROVEMENT           ,0175,CAPITAL IMPROVEMENT-ASGN      ,9999999,Revenue,99999,Revenue,44100002,RESERVE FOR PRIOR YEAR ENCUMBR,8838901.000
039,CAPITAL IMPROVEMENT           ,0175,CAPITAL IMPROVEMENT-ASGN      ,9999999,Revenue,99999,Revenue,44200015,MISCELLANEOUS REVENUE         ,168500.000
039,CAPITAL IMPROVEMENT           ,0175,CAPITAL IMPROVEMENT-ASGN      ,9999999,Revenue,99999,Revenue,41100018,INTEREST-GOV                  ,176500.000
039,CAPITAL IMPROVEMENT           ,0175,CAPITAL IMPROVEMENT-ASGN      ,9999999,Revenue,99999,Revenue,45600000,TSF FM GEN FUND-0001          ,3750000.000
039,CAPITAL IMPROVEMENT           ,0175,CAPITAL IMPROVEMENT-ASGN      ,9999999,Revenue,99999,Revenue,45600065,TSF FM IS/IT-14M              ,1293080.000
039,CAPITAL IMPROVEMENT           ,0175,CAPITAL IMPROVEMENT-ASGN      ,9999999,Revenue,99999,Revenue,45600077,TSF FM MFA/GEN PURP-701       ,1500000.000
060,SPECIAL DISTRICTS (BID)       ,0330,CAPITOL HILL BID-RSTR         ,9999999,Revenue,99999,Revenue,41100018,INTEREST-GOV                  ,100.000
060,SPECIAL DISTRICTS (BID)       ,0330,CAPITOL HILL BID-RSTR         ,9999999,Revenue,99999,Revenue,42200009,BID LATE PENALTY              ,5000.000
060,SPECIAL DISTRICTS (BID)       ,0330,CAPITOL HILL BID-RSTR         ,9999999,Revenue,99999,Revenue,42200000,BID ADMIN CHARGE              ,1900.000
060,SPECIAL DISTRICTS (BID)       ,0330,CAPITOL HILL BID-RSTR         ,9999999,Revenue,99999,Revenue,42200001,BID ASSESSMENT                ,68000.000
750,SPECIAL PURPOSE               ,1660,CAPITOL HILL LIBRARY-RSTR     ,9999999,Revenue,99999,Revenue,44100000,CARRYOVER                     ,798.000
750,SPECIAL PURPOSE               ,1660,CAPITOL HILL LIBRARY-RSTR     ,9999999,Revenue,99999,Revenue,44100002,RESERVE FOR PRIOR YEAR ENCUMBR,254995.000
750,SPECIAL PURPOSE               ,1660,CAPITOL HILL LIBRARY-RSTR     ,9999999,Revenue,99999,Revenue,43900002,DONATIONS-OPERATING           ,1129696.000
701,CITY/SCHOOLS USE TAX          ,1770,CITY/SCHOOL USE TAX-ASGN      ,9999999,Revenue,99999,Revenue,44100000,CARRYOVER                     ,2395126.000
701,CITY/SCHOOLS USE TAX          ,1770,CITY/SCHOOL USE TAX-ASGN      ,9999999,Revenue,99999,Revenue,44100002,RESERVE FOR PRIOR YEAR ENCUMBR,65954.000
701,CITY/SCHOOLS USE TAX          ,1770,CITY/SCHOOL USE TAX-ASGN      ,9999999,Revenue,99999,Revenue,41100018,INTEREST-GOV                  ,15689.000
701,CITY/SCHOOLS USE TAX          ,1770,CITY/SCHOOL USE TAX-ASGN      ,9999999,Revenue,99999,Revenue,45150010,MISC REV NON-OPERATING        ,370000.000
700,CITY/SCHOOLS SALES TAX        ,1750,CITY/SCHOOLS SALES TAX-RSTR   ,9999999,Revenue,99999,Revenue,44100000,CARRYOVER                     ,680569.000
700,CITY/SCHOOLS SALES TAX        ,1750,CITY/SCHOOLS SALES TAX-RSTR   ,9999999,Revenue,99999,Revenue,41105018,GOV REST INTEREST INC         ,13401.000
750,SPECIAL PURPOSE               ,1649,COMMUNITY FOUNDATION-ASGN     ,9999999,Revenue,99999,Revenue,44100002,RESERVE FOR PRIOR YEAR ENCUMBR,1.000
750,SPECIAL PURPOSE               ,1649,COMMUNITY FOUNDATION-ASGN     ,9999999,Revenue,99999,Revenue,44100000,CARRYOVER                     ,615.000
750,SPECIAL PURPOSE               ,1650,COMPASS ROSE-RSTR             ,9999999,Revenue,99999,Revenue,44100000,CARRYOVER                     ,1890.000
760,HOTEL MOTEL TAX SPEC REVENUE  ,1901,CONV & TOURISM OP-RSTR        ,9999999,Revenue,99999,Revenue,41105018,GOV REST INTEREST INC         ,19206.000
760,HOTEL MOTEL TAX SPEC REVENUE  ,1901,CONV & TOURISM OP-RSTR        ,9999999,Revenue,99999,Revenue,44100000,CARRYOVER                     ,24985.000
760,HOTEL MOTEL TAX SPEC REVENUE  ,1901,CONV & TOURISM OP-RSTR        ,9999999,Revenue,99999,Revenue,45600091,TSF FM OCPPA-GEN PURP         ,5155625.000
760,HOTEL MOTEL TAX SPEC REVENUE  ,1901,CONV & TOURISM OP-RSTR        ,9999999,Revenue,99999,Revenue,45600192,TSF FM HOTEL MOTEL TAX CONTROL,5155625.000
017,COURT ADMIN & TRAINING        ,0501,COURTS ADMIN & TRAN-RSTR      ,9999999,Revenue,99999,Revenue,44100000,CARRYOVER                     ,9178.000
017,COURT ADMIN & TRAINING        ,0501,COURTS ADMIN & TRAN-RSTR      ,9999999,Revenue,99999,Revenue,40700000,POLICE FEES-AFIS FUND STATE   ,537749.000
017,COURT ADMIN & TRAINING        ,0501,COURTS ADMIN & TRAN-RSTR      ,9999999,Revenue,99999,Revenue,40710000,FEES-OBN DRUG ED FEE          ,1025.000
017,COURT ADMIN & TRAINING        ,0501,COURTS ADMIN & TRAN-RSTR      ,9999999,Revenue,99999,Revenue,40750000,POLICE FEES-CLEET FUND STATE  ,765140.000
017,COURT ADMIN & TRAINING        ,0501,COURTS ADMIN & TRAN-RSTR      ,9999999,Revenue,99999,Revenue,40750002,POLICE FEES-COURTS ADMIN      ,48096.000
017,COURT ADMIN & TRAINING        ,0501,COURTS ADMIN & TRAN-RSTR      ,9999999,Revenue,99999,Revenue,40750003,POLICE FEES-COURTS TRAIN      ,7654.000
017,COURT ADMIN & TRAINING        ,0501,COURTS ADMIN & TRAN-RSTR      ,9999999,Revenue,99999,Revenue,40800000,POLICE FEES-FORNSC FD STATE   ,519221.000
017,COURT ADMIN & TRAINING        ,0501,COURTS ADMIN & TRAN-RSTR      ,9999999,Revenue,99999,Revenue,40900007,FEES-VICTIMS COMPENSATION     ,23723.000
017,COURT ADMIN & TRAINING        ,0501,COURTS ADMIN & TRAN-RSTR      ,9999999,Revenue,99999,Revenue,41105018,GOV REST INTEREST INC         ,6089.000
039,CAPITAL IMPROVEMENT           ,0179,COURTS FACILITY CAPITAL-ASGN  ,9999999,Revenue,99999,Revenue,45600000,TSF FM GEN FUND-0001          ,426725.000
039,CAPITAL IMPROVEMENT           ,0179,COURTS FACILITY CAPITAL-ASGN  ,9999999,Revenue,99999,Revenue,44100000,CARRYOVER                     ,2558275.000
039,CAPITAL IMPROVEMENT           ,0179,COURTS FACILITY CAPITAL-ASGN  ,9999999,Revenue,99999,Revenue,41100018,INTEREST-GOV                  ,15000.000
021,DEBT SERVICE                  ,0250,DEBT SERVICE-RSTR             ,9999999,Revenue,99999,Revenue,40500000,CURRENT AD VALOREM TAX        ,81967299.000
021,DEBT SERVICE                  ,0250,DEBT SERVICE-RSTR             ,9999999,Revenue,99999,Revenue,41100018,INTEREST-GOV                  ,300000.000
021,DEBT SERVICE                  ,0250,DEBT SERVICE-RSTR             ,9999999,Revenue,99999,Revenue,45800600,PREMIUM ON SALE OF GO BONDS   ,5000000.000
021,DEBT SERVICE                  ,0250,DEBT SERVICE-RSTR             ,9999999,Revenue,99999,Revenue,44100000,CARRYOVER                     ,19626157.000
019,GRANTS MANAGEMENT             ,6970,DEPT OF HOMELAND SECURITY-RSTR,9999999,Revenue,99999,Revenue,43050003,FEMA GRANT REVENUE            ,301480.000
019,GRANTS MANAGEMENT             ,6970,DEPT OF HOMELAND SECURITY-RSTR,9999999,Revenue,99999,Revenue,43160000,DEPT HOMELAND SEC-GRANT REV   ,363000.000
019,GRANTS MANAGEMENT             ,6140,DEPT OF HSG & URB DEVEL-RSTR  ,9999999,Revenue,99999,Revenue,42750045,HUD MISC GRANTS               ,8568002.000
019,GRANTS MANAGEMENT             ,6140,DEPT OF HSG & URB DEVEL-RSTR  ,9999999,Revenue,99999,Revenue,42750045,HUD MISC GRANTS               ,3913550.000
019,GRANTS MANAGEMENT             ,6140,DEPT OF HSG & URB DEVEL-RSTR  ,9999999,Revenue,99999,Revenue,42750033,HOME GRANT REVENUE            ,1370081.000
019,GRANTS MANAGEMENT             ,6140,DEPT OF HSG & URB DEVEL-RSTR  ,9999999,Revenue,99999,Revenue,42750081,NSP FEDERAL GRANT REVENUE     ,607666.000
019,GRANTS MANAGEMENT             ,6140,DEPT OF HSG & URB DEVEL-RSTR  ,9999999,Revenue,99999,Revenue,42750082,NSP STATE GRANT REVENUE       ,515500.000
