"Account.Description","LOBName","ProgramName","OperatingUnitDescription","FundDescription","Total"
"ACCRUED LEAVE PAYOUT","Fire Administration","FIRE BUSINESS SERVICES","GENERAL OPERATIONS-UASN","GENERAL FUND",7514
"ACCRUED LEAVE PAYOUT","Fire Administration","FIRE EXECUTIVE LEADERSHIP","GENERAL OPERATIONS-UASN","GENERAL FUND",22850
"ACCRUED LEAVE PAYOUT","Fire Operations","EMERGENCY MEDICAL SERVICES","FIRE SALES TAX-RSTR","FIRE",108728
"ACCRUED LEAVE PAYOUT","Fire Operations","EMERGENCY MEDICAL SERVICES","GENERAL OPERATIONS-UASN","GENERAL FUND",976411
"ACCRUED LEAVE PAYOUT","Fire Operations","FIRE SUPRESSION OPERATIONS","FIRE SALES TAX-RSTR","FIRE",38375
"ACCRUED LEAVE PAYOUT","Fire Operations","FIRE SUPRESSION OPERATIONS","GENERAL OPERATIONS-UASN","GENERAL FUND",241235
"ACCRUED LEAVE PAYOUT","Fire Operations","OPERATIONS TRAINING","FIRE SALES TAX-RSTR","FIRE",41008
"ACCRUED LEAVE PAYOUT","Fire Operations","OPERATIONS TRAINING","GENERAL OPERATIONS-UASN","GENERAL FUND",335438
"ACCRUED LEAVE PAYOUT","Fire Prevention","FIRE INVESTIGATIONS","GENERAL OPERATIONS-UASN","GENERAL FUND",16378
"ACCRUED LEAVE PAYOUT","Fire Prevention","PREVENTION INSPECTION AND CODE","GENERAL OPERATIONS-UASN","GENERAL FUND",14086
"ACCRUED LEAVE PAYOUT","Fire Prevention","PUBLIC SAFETY EDUCATION","FIRE SALES TAX-RSTR","FIRE",80417
"ACCRUED LEAVE PAYOUT","Fire Prevention","PUBLIC SAFETY EDUCATION","GENERAL OPERATIONS-UASN","GENERAL FUND",1195
"ACCRUED LEAVE PAYOUT","Police Operational","POLICE PATROL","GENERAL OPERATIONS-UASN","GENERAL FUND",1051042
"ACCRUED LEAVE PAYOUT","Support Services","FIRE DISPATCH","FIRE SALES TAX-RSTR","FIRE",6472
"ACCRUED LEAVE PAYOUT","Support Services","FIRE DISPATCH","GENERAL OPERATIONS-UASN","GENERAL FUND",19790
"ACCRUED LEAVE PAYOUT","Support Services","FIRE MAINTENANCE SERVICES","GENERAL OPERATIONS-UASN","GENERAL FUND",1195
"ADMIN PAYMENTS TO PUB WORKS","GO Bond Fire New","FIRE NEW","FIRE STATION-RSTR","SPECIAL PURPOSE",4733
"ADMIN PAYMENTS TO PUB WORKS","GO Bond Street Resurfacing","STREET WIDENING","GOB PRTCN CALIPER DEV-RSTR","SPECIAL PURPOSE",540
"ADMIN PAYMENTS TO PUB WORKS","MAPS 3 Capital","Police MAPS 3 Capital","MAPS 3 USE TAX CAP PROJ-CMTD","MAPS3 USE TAX",570625
"ADMIN PAYMENTS TO PUB WORKS","Parks Trust Activity","Park Improvements","PARKS O&G ROYALTIES-ASGN","SPECIAL PURPOSE",4864
"ADVERTISING","Audit Services","AUDIT SERVICES","GENERAL OPERATIONS-UASN","GENERAL FUND",1000
"ADVERTISING","Business Improvement District","CAPITOL HILL BID","CAPITOL HILL BID-RSTR","SPECIAL DISTRICTS (BID)",1000
"ADVERTISING","Business Improvement District","STOCKYARDS BID","STOCKYARDS BID-DIST 7-RSTR","SPECIAL DISTRICTS (BID)",1000
"ADVERTISING","Business Improvement District","UNDERGROUND SID","UG SPEC IMP DIST(SID)-RSTR","SPECIAL DISTRICTS (BID)",2170
"ADVERTISING","Business Improvement District","WESTERN AVE BID","WESTERN AVENUE BID-RSTR","SPECIAL DISTRICTS (BID)",1000
"ADVERTISING","Code Enforcement","CODE INSPECTIONS","GENERAL OPERATIONS-UASN","GENERAL FUND",4000
"ADVERTISING","Code Enforcement","NUISANCE ABATEMENT","GENERAL OPERATIONS-UASN","GENERAL FUND",4000
"ADVERTISING","Court Services","COURT CASE SUPPORT","COURTS ADMIN & TRAN-RSTR","COURT ADMIN & TRAINING",250
"ADVERTISING","Court Services","COURT CASE SUPPORT","GENERAL OPERATIONS-UASN","GENERAL FUND",607
"ADVERTISING","Drainage Administration","STRMWTR  PUBLIC OUTREACH","DRAINAGE CITY OPERATIONS","STORMWATER DRAINAGE",55000
"ADVERTISING","Engineering","PROJECT MANAGEMENT","GENERAL OPERATIONS-UASN","GENERAL FUND",4000
"ADVERTISING","Finanacial Planning and Mgmt","FINANCIAL PLANNING","GENERAL OPERATIONS-UASN","GENERAL FUND",500
"ADVERTISING","Municipal Counselor Admin","MUN COUN BUSINESS SERVICES","GENERAL OPERATIONS-UASN","GENERAL FUND",200
"ADVERTISING","Official City Records","CLERK INFORMATION","GENERAL OPERATIONS-UASN","GENERAL FUND",86400
"ADVERTISING","Parks Administration","PARKS BUSINESS SERVICES","GENERAL OPERATIONS-UASN","GENERAL FUND",1500
"ADVERTISING","Parks Administration","PARKS EXECUTIVE LEADERSHIP","GENERAL OPERATIONS-UASN","GENERAL FUND",40383
"ADVERTISING","Parks Civic Center","PERFORMANCE SUPPORT","GENERAL OPERATIONS-UASN","GENERAL FUND",500
"ADVERTISING","Parks Specl Purpose Recreation","PARKS SPECL PURPOSE RECREATION","GEN PARK-DONATIONS-RSTR","SPECIAL PURPOSE",1404
"ADVERTISING","Personnel Administration","HR BUSINESS SERVICES","GENERAL OPERATIONS-UASN","GENERAL FUND",504
"ADVERTISING","Public Works Administration","PUB WORKS BUSINESS SERVICES","GENERAL OPERATIONS-UASN","GENERAL FUND",1000
"ADVERTISING","UTILITIES ADMIN LOB","UTILITIES BUSINESS SERVICES","WASTEWATER CITY OPERATIONS","WATER UTILITIES",200
"ADVERTISING","UTILITIES ADMIN LOB","UTILITIES BUSINESS SERVICES","WATER CITY OPERATIONS","WATER UTILITIES",1000
"ADVERTISING","UTILITIES LINE MAINT LOB","UTILITIES WATER LINE MAINT","WATER CITY OPERATIONS","WATER UTILITIES",1000
"ADVERTISING","UTILITIES SOLID WASTE LOB","UTILITIES SW QUAL CONTROL SUPP","SOLID WASTE CASH ACCOUNT","SOLID WASTE MANAGEMENT",1000
"ADVERTISING","UTILITIES WASTEWATER QUAL LOB","UTILITIES IND WASTE PRETREAT","WASTEWATER CITY OPERATIONS","WATER UTILITIES",1000
"ADVERTISING","UTILITIES WASTEWATER QUAL LOB","UTILITIES WASTEWATER TREATMENT","WASTEWATER CITY OPERATIONS","WATER UTILITIES",150
"ANIMAL-FOOD","Animal Welfare","ANIMAL SHELTER","GENERAL OPERATIONS-UASN","GENERAL FUND",25000
"ANIMAL-FOOD","Police Investigations","POLICE SPECIAL INVESTIGATIONS","STATE ASSET FORF-RSTR","ASSET FORFEITURE",40000
"ANIMAL-FOOD","Police Operational","POLICE PATROL","GENERAL OPERATIONS-UASN","GENERAL FUND",5000
"ANIMAL-SUPPLIES","Dev Svcs Special Purpose","AWD-DISASTER RECOVERY DEV SVCS","ANIMAL SHELTER-RSTR","SPECIAL PURPOSE",2000
"ANIMAL-SUPPLIES","Dev Svcs Special Purpose","DEV SVCS SPECIAL PURPOSE","ANIMAL SHELTER-RSTR","SPECIAL PURPOSE",15000
"ANIMAL-SUPPLIES","Dev Svcs Special Purpose","DEV SVCS SPECIAL PURPOSE","ANML WLFR STERILIZATION-CMTD","SPECIAL PURPOSE",7000
"ANIMAL-SUPPLIES","Parks Horticulture & Gardens","MARTIN NATURE PARK","GENERAL OPERATIONS-UASN","GENERAL FUND",2200
"ARCHITECT & ENGINEERING","CIP-City Manager","CIP-CITY MANAGER","CAPITAL IMPROVEMENT-ASGN","CAPITAL IMPROVEMENT",171696
"ARCHITECT & ENGINEERING","CIP-General Services","CIP-GENERAL SERVICES","CAPITAL IMPROVEMENT-ASGN","CAPITAL IMPROVEMENT",118343
"ARCHITECT & ENGINEERING","CIP-Non-Departmental","CIP-NONDEPARTMENTAL","CAPITAL IMPROVEMENT-ASGN","CAPITAL IMPROVEMENT",100
"ARCHITECT & ENGINEERING","CIP-Parks &Recreation","CIP-PARKS &  RECREATION","CAPITAL IMPROVEMENT-ASGN","CAPITAL IMPROVEMENT",12000
"ARCHITECT & ENGINEERING","GO Bond City Buildings","LIBRARY BUILDING RENOVATE","CAPITOL HILL LIBRARY-RSTR","SPECIAL PURPOSE",653793
"ARCHITECT & ENGINEERING","GO Bond Drainage New","DRAINAGE IMPROVEMENTS","DRAINAGE CAPITAL ACCOUNT","STORMWATER DRAINAGE",30531
"ARCHITECT & ENGINEERING","GO Bond Economic Development","Economic Development","CAPITAL IMPROVEMENT-ASGN","CAPITAL IMPROVEMENT",90000
"ARCHITECT & ENGINEERING","GO Bond Street Resurfacing","STREET CONSTRUCTION","STREET & ALLEY CAP-RSTR","STREET & ALLEY",11264
"ARCHITECT & ENGINEERING","GO Bond Street Resurfacing","STREET RESURFACING","STREETS IMPRVMNT CAPITAL-ASGN","CAPITAL IMPROVEMENT",100000
"ARCHITECT & ENGINEERING","GO Bond Street Resurfacing","STREET WIDENING","STREET & ALLEY CAP-RSTR","STREET & ALLEY",7652
"ARCHITECT & ENGINEERING","MAPS 3 Capital","Police MAPS 3 Capital","MAPS 3 USE TAX CAP PROJ-CMTD","MAPS3 USE TAX",1455745
"ARCHITECT & ENGINEERING","Parks Special Purpose","PARKS SPECIAL PURPOSE","GEN PARK-DONATIONS-RSTR","SPECIAL PURPOSE",275
"ARCHITECT & ENGINEERING","Public Works - CIP","CIP-PUBLIC WORKS","CAPITAL IMPROVEMENT-ASGN","CAPITAL IMPROVEMENT",222030
"ARCHITECT & ENGINEERING","Street & Drainage Maint","DRAINAGE","DRAINAGE CAPITAL ACCOUNT","STORMWATER DRAINAGE",48364
"ART","Parks Special Purpose","PARKS SPECIAL PURPOSE","COMPASS ROSE-RSTR","SPECIAL PURPOSE",1911
"ASPHALT ROAD MATERIALS","GO Bond Street Resurfacing","STREET RESURFACING","CAPITAL IMPROVEMENT-ASGN","CAPITAL IMPROVEMENT",379391
"ASPHALT ROAD MATERIALS","Street & Drainage Maint","STREETS","GENERAL OPERATIONS-UASN","GENERAL FUND",699104
"AUDITS(CITY'S OP ACCOUNTS)","Non-Departmental - Operating","NON-DEPARTMENTAL - OPERATING","GENERAL OPERATIONS-UASN","GENERAL FUND",320825
"BOND ISSUE COSTS","Debt Service GO Bonds","DEBT SERVICE GO BONDS","DEBT SERVICE-RSTR","DEBT SERVICE",300000
"BOND ISSUE COSTS","Non-Departmental - Operating","NON-DEPARTMENTAL - OPERATING","GENERAL OPERATIONS-UASN","GENERAL FUND",10000
"BOTTLED GAS","Police Investigations","POLICE INVESTIGATIONS SUPPORT","GENERAL OPERATIONS-UASN","GENERAL FUND",500
"BOTTLED GAS","UTILITIES WASTEWATER QUAL LOB","UTILITIES IND WASTE PRETREAT","WASTEWATER CITY OPERATIONS","WATER UTILITIES",3950
"BOTTLED GAS","UTILITIES WASTEWATER QUAL LOB","UTILITIES LIFT STATION","WASTEWATER CITY OPERATIONS","WATER UTILITIES",150
"BOTTLED GAS","UTILITIES WASTEWATER QUAL LOB","UTILITIES WASTEWATER TREATMENT","WASTEWATER CITY OPERATIONS","WATER UTILITIES",200
"BREATHING AIR EQUIP","Support Services","FIRE MAINTENANCE SERVICES","FIRE SALES TAX-RSTR","FIRE",30000
"BUDGET-CAPITAL OUTLAY","ARENA-NBA IMPROVEMENTS","SPORTS FACILITIES TAX","SPRTS FAC USE TAX-ASGN","SPORTS FACILITIES USE TAX",678747
"BUDGET-CAPITAL OUTLAY","CIP-General Services","CIP-GENERAL SERVICES","CAPITAL IMPROVEMENT-ASGN","CAPITAL IMPROVEMENT",70085
"BUDGET-CAPITAL OUTLAY","CIP-Information Technology","CIP-INFORMATION TECHNOLOGY","CAPITAL IMPROVEMENT-ASGN","CAPITAL IMPROVEMENT",5946
"BUDGET-CAPITAL OUTLAY","CIP-Non-Departmental","CIP-NONDEPARTMENTAL","CAPITAL IMPROVEMENT-ASGN","CAPITAL IMPROVEMENT",500
"BUDGET-CAPITAL OUTLAY","CIP-Police","CIP-POLICE","CAPITAL IMPROVEMENT-ASGN","CAPITAL IMPROVEMENT",235943
"BUDGET-CAPITAL OUTLAY","City Managers Office","CITY MANAGER'S OFFICE","MAPS3 SALES TAX-RSTR","MAPS3 SALES TAX",206659407
"BUDGET-CAPITAL OUTLAY","General Service Grants","GENERAL SERVICES GRANTS","DEPT OF TRANS-RSTR","GRANTS MANAGEMENT",153366
"BUDGET-CAPITAL OUTLAY","GO Bond City Buildings","LIBRARY BUILDING RENOVATE","LIBRARY CONST-RSTR","SPECIAL PURPOSE",102680
"BUDGET-CAPITAL OUTLAY","MAPS Projects","MAPS ARENA","MAPS CAPITAL PROJECTS-RSTR","METROPOLITAN PROJECTS TAX",539438
"BUDGET-CAPITAL OUTLAY","Parks Administration","PARKS EXECUTIVE LEADERSHIP","CAPITAL IMPROVEMENT-ASGN","CAPITAL IMPROVEMENT",206228
"BUDGET-CAPITAL OUTLAY","Pol/Fire Capital - City Mgr","POL/FIRE CAPITAL - CITY MGR","P/F EQUIP SALES TAX-RSTR","POLICE/FIRE EQUIP SALES TAX",2002219
"BUDGET-CAPITAL OUTLAY","Pol/Fire Capital - Police","POL/FIRE CAPITAL - POLICE","P/F EQUIP SALES TAX-RSTR","POLICE/FIRE EQUIP SALES TAX",1275528
"BUDGET-CAPITAL OUTLAY","Police City Schools Use Tax","Police City Schools Use Tax","CITY/SCHOOL USE TAX-ASGN","CITY/SCHOOLS USE TAX",204307
"BUDGET-CAPITAL OUTLAY","Police Investigations","POLICE SPECIAL INVESTIGATIONS","DEPT OF HOMELAND SECURITY-RSTR","GRANTS MANAGEMENT",466140
"BUDGET-CAPITAL OUTLAY","Police Operational","POLICE PATROL","DEPT OF JUSTICE-RSTR","GRANTS MANAGEMENT",693479
"BUDGET-CAPITAL OUTLAY","Police Operational","POLICE YOUTH SERVICES","STATE & LOCAL GRANTS-RSTR","GRANTS MANAGEMENT",367545
"BUDGET-CAPITAL OUTLAY","Police Sales Tax Capital","POLICE SALES TAX CAPITAL","POLICE CAPITAL-RSTR","POLICE",864967
"BUDGET-CAPITAL OUTLAY","Public Safety Sales Tax - Fire","POL/FIRE CAPITAL - FIRE","P/F EQUIP SALES TAX-RSTR","POLICE/FIRE EQUIP SALES TAX",126999
"BUDGET-CONTINGENCY","Airport Administration","AIRPORTS EXEC LEADERSHIP","AIRPORTS CITY OPERATIONS","AIRPORTS",336882
"BUDGET-CONTINGENCY","CIP-City Manager","PRINT SHOP CIP","CAPITAL IMPROVEMENT-ASGN","CAPITAL IMPROVEMENT",37480
"BUDGET-CONTINGENCY","CIP-Information Technology","CIP-INFORMATION TECHNOLOGY","CAPITAL IMPROVEMENT-ASGN","CAPITAL IMPROVEMENT",2106511
"BUDGET-CONTINGENCY","CIP-Non-Departmental","CIP-NONDEPARTMENTAL","CAPITAL IMPROVEMENT-ASGN","CAPITAL IMPROVEMENT",2977762
"BUDGET-CONTINGENCY","City Manager MAPS Office","MAPS3","MAPS3 USE TAX-CMTD","MAPS3 USE TAX",733950
"BUDGET-CONTINGENCY","City Manager MAPS Office","OCMAPS SCHOOL CONSTRUCTION","CITY/SCHOOLS SALES TAX-RSTR","CITY/SCHOOLS SALES TAX",27600
"BUDGET-CONTINGENCY","Convention & Tourism","CONVENTION & TOURISM","CONV & TOURISM OP-RSTR","HOTEL MOTEL TAX SPEC REVENUE",117636
"BUDGET-CONTINGENCY","Convention & Tourism","CONVENTION & TOURISM","EVENT SPNSRSHP/PROMO-RSTR","HOTEL MOTEL TAX SPEC REVENUE",23874
"BUDGET-CONTINGENCY","Court Services","COURT CASE SUPPORT","COURTS ADMIN & TRAN-RSTR","COURT ADMIN & TRAINING",118481
"BUDGET-CONTINGENCY","Fire Operations","FIRE SUPRESSION OPERATIONS","FIRE SALES TAX-RSTR","FIRE",100000
"BUDGET-CONTINGENCY","General Services Admin","GEN SERVICES BUSINESS SERVICES","FLEET SERVICES","FLEET SERVICES",181753
"BUDGET-CONTINGENCY","GO Bond Street Resurfacing","STREET LISTED CONTROL ACCOUNT","STREET & ALLEY CAP-RSTR","STREET & ALLEY",8002
"BUDGET-CONTINGENCY","Information Technology Admin","IT BUSINESS SERVICES","INFORMATION TECHNOLOGY","INFORMATION TECHNOLOGY",470000
"BUDGET-CONTINGENCY","Library Assets","LIBRARY ASSETS","MAPS USE CAP RPLCMNT-CMTD","MAPS OPERATIONS",349405
"BUDGET-CONTINGENCY","Non-Departmental - Operating","NON-DEPARTMENTAL - CONTINGENCY","GENERAL OPERATIONS-UASN","GENERAL FUND",8314783
"BUDGET-CONTINGENCY","Non-Departmental - Operating","NON-DEPARTMENTAL - OPERATING","MED SERVICE PROG-CMTD","MEDICAL SERVICE PROGRAM",100000
"BUDGET-CONTINGENCY","Non-Departmental - Operating","NON-DEPT ECONOMIC DEVELOPMENT","ECON DEVEL-ASGN","SPECIAL PURPOSE",1007501
"BUDGET-CONTINGENCY","Parking","ON STREET PARKING METER","PARKING","PARKING",5324
"BUDGET-CONTINGENCY","Parks Administration","PARKS BUSINESS SERVICES","GENERAL OPERATIONS-UASN","GENERAL FUND",4060
"BUDGET-CONTINGENCY","Pol/Fire Capital - Non-Dept","POL/FIRE CAPITAL - NON-DEPT","P/F EQUIP SALES TAX-RSTR","POLICE/FIRE EQUIP SALES TAX",1800000
"BUDGET-CONTINGENCY","Police Chiefs Office","POLICE BUSINESS SERVICES","GENERAL OPERATIONS-UASN","GENERAL FUND",35814
"BUDGET-CONTINGENCY","Police Chiefs Office","POLICE BUSINESS SERVICES","POLICE SALES TAX-RSTR","POLICE",301
"BUDGET-CONTINGENCY","Police Chiefs Office","POLICE EMERGENCY MANAGEMENT","GENERAL OPERATIONS-UASN","GENERAL FUND",688
"BUDGET-CONTINGENCY","Police Chiefs Office","POLICE EMERGENCY MANAGEMENT","POLICE SALES TAX-RSTR","POLICE",153
"BUDGET-CONTINGENCY","Police Chiefs Office","POLICE EXEC LEADERSHIP","GENERAL OPERATIONS-UASN","GENERAL FUND",1891
"BUDGET-CONTINGENCY","Police Chiefs Office","POLICE EXEC LEADERSHIP","POLICE SALES TAX-RSTR","POLICE",1188153
"BUDGET-CONTINGENCY","Police Chiefs Office","POLICE EXEC LEADERSHIP","STATE ASSET FORF-RSTR","ASSET FORFEITURE",100000
"BUDGET-CONTINGENCY","Police Chiefs Office","POLICE HUMAN RESOURCES","POLICE SALES TAX-RSTR","POLICE",7403
"BUDGET-CONTINGENCY","Police Chiefs Office","POLICE PROFESSIONAL STANDARDS","GENERAL OPERATIONS-UASN","GENERAL FUND",344
"BUDGET-CONTINGENCY","Police Chiefs Office","POLICE PROFESSIONAL STANDARDS","POLICE SALES TAX-RSTR","POLICE",77
"BUDGET-CONTINGENCY","Police Chiefs Office","POLICE PUBLIC INFORMATION","POLICE SALES TAX-RSTR","POLICE",2534
"BUDGET-CONTINGENCY","Police Investigations","POLICE INVESTIGATIONS","GENERAL OPERATIONS-UASN","GENERAL FUND",5054
"BUDGET-CONTINGENCY","Police Investigations","POLICE INVESTIGATIONS","POLICE SALES TAX-RSTR","POLICE",2945
"BUDGET-CONTINGENCY","Police Investigations","POLICE INVESTIGATIONS","STATE ASSET FORF-RSTR","ASSET FORFEITURE",30000
"BUDGET-CONTINGENCY","Police Investigations","POLICE INVESTIGATIONS SUPPORT","FED ASSET FORF-RSTR","ASSET FORFEITURE",105000
"BUDGET-CONTINGENCY","Police Investigations","POLICE INVESTIGATIONS SUPPORT","GENERAL OPERATIONS-UASN","GENERAL FUND",825
"BUDGET-CONTINGENCY","Police Investigations","POLICE INVESTIGATIONS SUPPORT","POLICE SALES TAX-RSTR","POLICE",312611
"BUDGET-CONTINGENCY","Police Investigations","POLICE SPECIAL INVESTIGATIONS","ASSET FORF DEPT OF TREAS-RSTR","ASSET FORFEITURE",52000
"BUDGET-CONTINGENCY","Police Investigations","POLICE SPECIAL INVESTIGATIONS","GENERAL OPERATIONS-UASN","GENERAL FUND",3747
"BUDGET-CONTINGENCY","Police Investigations","POLICE SPECIAL INVESTIGATIONS","POLICE SALES TAX-RSTR","POLICE",2295
"BUDGET-CONTINGENCY","Police Investigations","POLICE SPECIAL INVESTIGATIONS","STATE ASSET FORF-RSTR","ASSET FORFEITURE",170000
"BUDGET-CONTINGENCY","Police Operational","POLICE PATROL","GENERAL OPERATIONS-UASN","GENERAL FUND",40223
"BUDGET-CONTINGENCY","Police Operational","POLICE PATROL","POLICE SALES TAX-RSTR","POLICE",672047
"BUDGET-CONTINGENCY","Police Operational","POLICE PATROL","STATE ASSET FORF-RSTR","ASSET FORFEITURE",50000
"BUDGET-CONTINGENCY","Police Operational","POLICE TRAFFIC SAFETY","GENERAL OPERATIONS-UASN","GENERAL FUND",2132
"BUDGET-CONTINGENCY","Police Operational","POLICE TRAFFIC SAFETY","POLICE SALES TAX-RSTR","POLICE",74444
"BUDGET-CONTINGENCY","Police Operational","POLICE YOUTH SERVICES","GENERAL OPERATIONS-UASN","GENERAL FUND",2200
"BUDGET-CONTINGENCY","Police Operational","POLICE YOUTH SERVICES","POLICE SALES TAX-RSTR","POLICE",489
"BUDGET-CONTINGENCY","Police Public Safety Support","POLICE 911 COMMUNICATIONS","EMER MGMT E-911-CMTD","EMERGENCY MANAGEMENT",273961
"BUDGET-CONTINGENCY","Police Public Safety Support","POLICE 911 COMMUNICATIONS","POLICE SALES TAX-RSTR","POLICE",11537
"BUDGET-CONTINGENCY","Police Public Safety Support","POLICE INMATE PROCESSING","GENERAL OPERATIONS-UASN","GENERAL FUND",2521
"BUDGET-CONTINGENCY","Police Public Safety Support","POLICE INMATE PROCESSING","POLICE SALES TAX-RSTR","POLICE",1636
"BUDGET-CONTINGENCY","Police Public Safety Support","POLICE PERMIT SERVICES","GENERAL OPERATIONS-UASN","GENERAL FUND",344
"BUDGET-CONTINGENCY","Police Public Safety Support","POLICE PERMIT SERVICES","POLICE SALES TAX-RSTR","POLICE",2220
"BUDGET-CONTINGENCY","Police Public Safety Support","POLICE RECORDS MANAGEMENT","GENERAL OPERATIONS-UASN","GENERAL FUND",1891
"BUDGET-CONTINGENCY","Police Public Safety Support","POLICE RECORDS MANAGEMENT","POLICE SALES TAX-RSTR","POLICE",7798
"BUDGET-CONTINGENCY","Police Public Safety Support","POLICE TRAINING","ENFRCMT & TRN-POLICE-RSTR","COURT ADMIN & TRAINING",7000
