"FundDescription","OperatingUnitDescription","ProgramName","LOBName","Account.Description","Total"
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRFIELD OPERATIONS COMMERCIAL","Airport Commercial Aviation","BUDGET-VACANCY DISCOUNT",-11048
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRFIELD OPERATIONS COMMERCIAL","Airport Commercial Aviation","CLOTHING & OTHER",3350
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRFIELD OPERATIONS COMMERCIAL","Airport Commercial Aviation","HEALTH AND WELFARE INSURANCE",92744
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRFIELD OPERATIONS COMMERCIAL","Airport Commercial Aviation","MACHINERY AND EQUIPMENT MTCE",300
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRFIELD OPERATIONS COMMERCIAL","Airport Commercial Aviation","MEMBERSHIPS",211
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRFIELD OPERATIONS COMMERCIAL","Airport Commercial Aviation","NON-CAPITAL FURNITURE & FIXTUR",2000
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRFIELD OPERATIONS COMMERCIAL","Airport Commercial Aviation","OFFICE SUPPLIES",800
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRFIELD OPERATIONS COMMERCIAL","Airport Commercial Aviation","OTHER EQUIPMENT",200
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRFIELD OPERATIONS COMMERCIAL","Airport Commercial Aviation","OTHER EQUIPMENT RENTAL",460
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRFIELD OPERATIONS COMMERCIAL","Airport Commercial Aviation","OTHER SERVICES AND CHARGES",20
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRFIELD OPERATIONS COMMERCIAL","Airport Commercial Aviation","OVERTIME WAGES",1300
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRFIELD OPERATIONS COMMERCIAL","Airport Commercial Aviation","REPAIR & MAINTENANCE PARTS",400
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRFIELD OPERATIONS COMMERCIAL","Airport Commercial Aviation","RETIREMENT PENSION CONTRIB",31859
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRFIELD OPERATIONS COMMERCIAL","Airport Commercial Aviation","SALARIES AND WAGES",520468
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRFIELD OPERATIONS COMMERCIAL","Airport Commercial Aviation","SMALL TOOLS & MINOR EQUIP",500
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS ARC & ENG PLANNING","Airport Property Mgt & Dev","BUDGET-SALARY RESERVE",39845
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS ARC & ENG PLANNING","Airport Property Mgt & Dev","BUDGET-VACANCY DISCOUNT",-11244
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS ARC & ENG PLANNING","Airport Property Mgt & Dev","CLOTHING & OTHER",625
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS ARC & ENG PLANNING","Airport Property Mgt & Dev","HEALTH AND WELFARE INSURANCE",81151
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS ARC & ENG PLANNING","Airport Property Mgt & Dev","RETIREMENT PENSION CONTRIB",32013
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS ARC & ENG PLANNING","Airport Property Mgt & Dev","SALARIES AND WAGES",530181
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS BUILDING MAINTENANCE","Airport Maintenance","BUDGET-VACANCY DISCOUNT",-20669
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS BUILDING MAINTENANCE","Airport Maintenance","BUILDING MAINTENANCE",5000
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS BUILDING MAINTENANCE","Airport Maintenance","CLOTHING & OTHER",11000
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS BUILDING MAINTENANCE","Airport Maintenance","GRAPHICS SUPPLIES",500
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS BUILDING MAINTENANCE","Airport Maintenance","HEALTH AND WELFARE INSURANCE",208674
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS BUILDING MAINTENANCE","Airport Maintenance","JANITOR SUPPLIES",1000
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS BUILDING MAINTENANCE","Airport Maintenance","LICENSES",1000
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS BUILDING MAINTENANCE","Airport Maintenance","MACHINERY AND EQUIPMENT MTCE",5000
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS BUILDING MAINTENANCE","Airport Maintenance","MEMBERSHIPS",1000
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS BUILDING MAINTENANCE","Airport Maintenance","MISCELLANEOUS SRVCS CONTRACTS",500
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS BUILDING MAINTENANCE","Airport Maintenance","NATURAL GAS",160000
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS BUILDING MAINTENANCE","Airport Maintenance","NON-CAPITAL FURNITURE & FIXTUR",200
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS BUILDING MAINTENANCE","Airport Maintenance","NON-CAPITAL OFFICE MACHINES",250
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS BUILDING MAINTENANCE","Airport Maintenance","OFFICE SUPPLIES",500
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS BUILDING MAINTENANCE","Airport Maintenance","OTHER EQUIPMENT",1000
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS BUILDING MAINTENANCE","Airport Maintenance","OTHER EQUIPMENT RENTAL",200
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS BUILDING MAINTENANCE","Airport Maintenance","OTHER SERVICES AND CHARGES",10000
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS BUILDING MAINTENANCE","Airport Maintenance","OTHER SUPPLIES",5000
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS BUILDING MAINTENANCE","Airport Maintenance","OVERTIME WAGES",15000
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS BUILDING MAINTENANCE","Airport Maintenance","PART TIME & TEMPORARY WAGES",8000
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS BUILDING MAINTENANCE","Airport Maintenance","REPAIR & MAINTENANCE PARTS",100000
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS BUILDING MAINTENANCE","Airport Maintenance","RETIREMENT PENSION CONTRIB",58839
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS BUILDING MAINTENANCE","Airport Maintenance","SALARIES AND WAGES",974459
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS BUILDING MAINTENANCE","Airport Maintenance","SMALL TOOLS & MINOR EQUIP",5000
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS BUSINESS SERVICES","Airport Administration","BUDGET-VACANCY DISCOUNT",-14866
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS BUSINESS SERVICES","Airport Administration","CHARGEBACK-ADMIN SRVCS",885868
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS BUSINESS SERVICES","Airport Administration","CHARGEBACK-IT",402123
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS BUSINESS SERVICES","Airport Administration","CHARGEBACK-PRINT SHOP",2499
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS BUSINESS SERVICES","Airport Administration","CHARGEBACK-RISK MANAGEMENT",1267412
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS BUSINESS SERVICES","Airport Administration","HEALTH AND WELFARE INSURANCE",115930
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS BUSINESS SERVICES","Airport Administration","PART TIME & TEMPORARY WAGES",25500
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS BUSINESS SERVICES","Airport Administration","RETIREMENT PENSION CONTRIB",42326
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS BUSINESS SERVICES","Airport Administration","SALARIES AND WAGES",700988
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS CONSTRUCTION","Airport Property Mgt & Dev","BUDGET-VACANCY DISCOUNT",-10683
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS CONSTRUCTION","Airport Property Mgt & Dev","HEALTH AND WELFARE INSURANCE",69558
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS CONSTRUCTION","Airport Property Mgt & Dev","RETIREMENT PENSION CONTRIB",30412
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS CONSTRUCTION","Airport Property Mgt & Dev","SALARIES AND WAGES",503667
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS EQUIP MAINTENANCE","Airport Maintenance","BUDGET-SALARY RESERVE",91000
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS EQUIP MAINTENANCE","Airport Maintenance","BUDGET-VACANCY DISCOUNT",-9793
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS EQUIP MAINTENANCE","Airport Maintenance","GRAPHICS SUPPLIES",100
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS EQUIP MAINTENANCE","Airport Maintenance","HEALTH AND WELFARE INSURANCE",92744
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS EQUIP MAINTENANCE","Airport Maintenance","LICENSES",100
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS EQUIP MAINTENANCE","Airport Maintenance","MACHINERY AND EQUIPMENT MTCE",7000
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS EQUIP MAINTENANCE","Airport Maintenance","OFFICE SUPPLIES",1000
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS EQUIP MAINTENANCE","Airport Maintenance","OTHER EQUIPMENT",13000
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS EQUIP MAINTENANCE","Airport Maintenance","OTHER EQUIPMENT RENTAL",500
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS EQUIP MAINTENANCE","Airport Maintenance","OTHER REPAIRS AND MAINTENANCE",5000
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS EQUIP MAINTENANCE","Airport Maintenance","OTHER SERVICES AND CHARGES",3000
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS EQUIP MAINTENANCE","Airport Maintenance","OTHER SUPPLIES",1500
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS EQUIP MAINTENANCE","Airport Maintenance","OVERTIME WAGES",1000
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS EQUIP MAINTENANCE","Airport Maintenance","REPAIR & MAINTENANCE PARTS",100000
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS EQUIP MAINTENANCE","Airport Maintenance","RETIREMENT PENSION CONTRIB",27883
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS EQUIP MAINTENANCE","Airport Maintenance","SALARIES AND WAGES",461782
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS EQUIP MAINTENANCE","Airport Maintenance","SMALL TOOLS & MINOR EQUIP",3000
"AIRPORTS","AIRPORTS CITY OPERATIONS","AIRPORTS EQUIP MAINTENANCE","Airport Maintenance","TOOL ALLOWANCE",1700
