FundCode,FundDescription,OperatingUnit,OperatingUnitDescription,ProgramID,ProgramName,LineOfBusinessID,LOBName,Account,Account Description, FY2014 Adopted Budget , Amendments , FY2014 Amended Budget 
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0100101,MAYOR,01001,Mayors Office,51000004,BUDGET-VACANCY DISCOUNT       ," (3,420)", -   ," (3,420)"
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0100101,MAYOR,01001,Mayors Office,51010001,SALARIES AND WAGES            ," 156,432 ", -   ," 156,432 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0100101,MAYOR,01001,Mayors Office,51010004,PART TIME & TEMPORARY WAGES   ," 14,000 ", -   ," 14,000 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0100101,MAYOR,01001,Mayors Office,51070001,HEALTH AND WELFARE INSURANCE  ," 22,748 ", -   ," 22,748 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0100101,MAYOR,01001,Mayors Office,51070003,INDEMNITY ADMIN               ," 11,040 ", -   ," 11,040 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0100101,MAYOR,01001,Mayors Office,51070004,RETIREMENT PENSION CONTRIB    ," 14,532 ", -   ," 14,532 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0100101,MAYOR,01001,Mayors Office,51130010,MILEAGE REIMBURSEMENT         ," 3,750 ", -   ," 3,750 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0100101,MAYOR,01001,Mayors Office,52130001,MEMBERSHIPS                   , 600 , -   , 600 
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0100101,MAYOR,01001,Mayors Office,52280004,CHARGEBACK-IT                 ," 13,305 ", -   ," 13,305 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0100101,MAYOR,01001,Mayors Office,52280013,CHARGEBACK-PRINT SHOP         ," 1,773 ", -   ," 1,773 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0100101,MAYOR,01001,Mayors Office,52290010,CHARGEBACK-POSTAGE            ," 1,193 ", -   ," 1,193 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0100101,MAYOR,01001,Mayors Office,52370002,EMPLOYEE TRAVEL REIMBURSEMENT ," 24,000 ", -   ," 24,000 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0100101,MAYOR,01001,Mayors Office,52890001,OTHER SERVICES AND CHARGES    ," 2,008 ", -   ," 2,008 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0100101,MAYOR,01001,Mayors Office,53010001,OFFICE SUPPLIES               ," 1,000 ", -   ," 1,000 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0100101,MAYOR,01001,Mayors Office,53890004,CLOTHING & OTHER              , 950 , -   , 950 
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0100201,CITY COUNCIL,01002,Council Support,51000004,BUDGET-VACANCY DISCOUNT       ," (6,533)", -   ," (6,533)"
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0100201,CITY COUNCIL,01002,Council Support,51010001,SALARIES AND WAGES            ," 298,888 ", -   ," 298,888 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0100201,CITY COUNCIL,01002,Council Support,51010004,PART TIME & TEMPORARY WAGES   ," 96,000 ", -   ," 96,000 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0100201,CITY COUNCIL,01002,Council Support,51070001,HEALTH AND WELFARE INSURANCE  ," 45,496 ", -   ," 45,496 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0100201,CITY COUNCIL,01002,Council Support,51070003,INDEMNITY ADMIN               ," 88,320 ", -   ," 88,320 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0100201,CITY COUNCIL,01002,Council Support,51070004,RETIREMENT PENSION CONTRIB    ," 27,765 ", -   ," 27,765 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0100201,CITY COUNCIL,01002,Council Support,51130010,MILEAGE REIMBURSEMENT         ," 2,800 ", -   ," 2,800 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0100201,CITY COUNCIL,01002,Council Support,51510004,EMPLOYEE PARKING              , 700 , -   , 700 
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0100201,CITY COUNCIL,01002,Council Support,51510016,MILEAGE REIMBURSEMENT NP      ," 5,000 ", -   ," 5,000 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0100201,CITY COUNCIL,01002,Council Support,52049001,EMPLOYEE TRAINING             ," 9,197 ", -   ," 9,197 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0100201,CITY COUNCIL,01002,Council Support,52070010,TELEPHONE                     ," 3,500 ", -   ," 3,500 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0100201,CITY COUNCIL,01002,Council Support,52130001,MEMBERSHIPS                   , 250 , -   , 250 
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0100201,CITY COUNCIL,01002,Council Support,52130004,SUBSCRIPTIONS                 , 500 , -   , 500 
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0100201,CITY COUNCIL,01002,Council Support,52280004,CHARGEBACK-IT                 ," 29,972 ", -   ," 29,972 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0100201,CITY COUNCIL,01002,Council Support,52280013,CHARGEBACK-PRINT SHOP         ," 4,362 ", -   ," 4,362 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0100201,CITY COUNCIL,01002,Council Support,52290010,CHARGEBACK-POSTAGE            ," 2,100 ", -   ," 2,100 "
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0100201,CITY COUNCIL,01002,Council Support,52310001,PRINTING & BINDING            , 100 , -   , 100 
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,0100201,CITY COUNCIL,01002,Council Support,52310004,POSTAGE                       , 300 , -   , 300 
