FundCode,FundDescription,OperatingUnit,OperatingUnitDescription,ProgramID,ProgramName,LineOfBusinessID,LOBName,Account,Account Description,FY2015 Budget
750,SPECIAL PURPOSE,1648,1 PERCENT FOR ART-CMTD,2407000,PLANNING SPECIAL PURPOSE,24070,Planning Special Purpose,54040049,CAPITALIZED PROFESSIONAL SRVC,200000
750,SPECIAL PURPOSE,1666,1 PERCENT FOR ART-RSTR,2407000,PLANNING SPECIAL PURPOSE,24070,Planning Special Purpose,54040049,CAPITALIZED PROFESSIONAL SRVC,500000
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112203,AIRPORTS FACILITY & LEASE ADMN,51122,Airport Property Mgt & Dev,51000013,BUDGET-SALARY RESERVE,14000
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112201,AIRPORTS ARC & ENG PLANNING,51122,Airport Property Mgt & Dev,51000013,BUDGET-SALARY RESERVE,39845
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112404,AIRPORTS FUEL,51124,Airport Maintenance,53040007,FUEL,161000
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112404,AIRPORTS FUEL,51124,Airport Maintenance,51000004,BUDGET-VACANCY DISCOUNT,-8182
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112110,AIRPORTS BUSINESS SERVICES,51121,Airport Administration,51000004,BUDGET-VACANCY DISCOUNT,-14866
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112503,OPERATIONS GENERAL AVIATION,51125,Airport General Aviation,52100001,LICENSES,100
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112503,OPERATIONS GENERAL AVIATION,51125,Airport General Aviation,52130001,MEMBERSHIPS,500
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112503,OPERATIONS GENERAL AVIATION,51125,Airport General Aviation,52340016,MACHINERY AND EQUIPMENT MTCE,600
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112503,OPERATIONS GENERAL AVIATION,51125,Airport General Aviation,52400007,OTHER EQUIPMENT RENTAL,1000
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112503,OPERATIONS GENERAL AVIATION,51125,Airport General Aviation,52890001,OTHER SERVICES AND CHARGES,2000
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112503,OPERATIONS GENERAL AVIATION,51125,Airport General Aviation,53010001,OFFICE SUPPLIES,1000
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112503,OPERATIONS GENERAL AVIATION,51125,Airport General Aviation,53010013,NON-CAPITAL OFFICE MACHINES,600
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112503,OPERATIONS GENERAL AVIATION,51125,Airport General Aviation,53040001,JANITOR SUPPLIES,400
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112503,OPERATIONS GENERAL AVIATION,51125,Airport General Aviation,53040013,REPAIR & MAINTENANCE PARTS,20000
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112503,OPERATIONS GENERAL AVIATION,51125,Airport General Aviation,53040022,GROUNDS IMPROVEMENT,4000
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112503,OPERATIONS GENERAL AVIATION,51125,Airport General Aviation,53040025,SMALL TOOLS & MINOR EQUIP,2000
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112503,OPERATIONS GENERAL AVIATION,51125,Airport General Aviation,53040031,OTHER EQUIPMENT,4000
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112503,OPERATIONS GENERAL AVIATION,51125,Airport General Aviation,53130025,LANDSCAPING,2220
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112503,OPERATIONS GENERAL AVIATION,51125,Airport General Aviation,53890004,CLOTHING & OTHER,4000
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112503,OPERATIONS GENERAL AVIATION,51125,Airport General Aviation,53890022,OTHER SUPPLIES,11000
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112101,AIRPORTS EXEC LEADERSHIP,51121,Airport Administration,52370002,EMPLOYEE TRAVEL REIMBURSEMENT,5000
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112101,AIRPORTS EXEC LEADERSHIP,51121,Airport Administration,52049001,EMPLOYEE TRAINING,4360
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112101,AIRPORTS EXEC LEADERSHIP,51121,Airport Administration,51000013,BUDGET-SALARY RESERVE,13715
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112402,AIRPORTS EQUIP MAINTENANCE,51124,Airport Maintenance,51000013,BUDGET-SALARY RESERVE,91000
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112104,AIRPORTS TECHNOLOGY,51121,Airport Administration,51000013,BUDGET-SALARY RESERVE,29300
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112101,AIRPORTS EXEC LEADERSHIP,51121,Airport Administration,51000013,BUDGET-SALARY RESERVE,15000
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112502,GROUNDS GENERAL AVIATION,51125,Airport General Aviation,51070004,RETIREMENT PENSION CONTRIB,8672
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112502,GROUNDS GENERAL AVIATION,51125,Airport General Aviation,51010001,SALARIES AND WAGES,143625
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112502,GROUNDS GENERAL AVIATION,51125,Airport General Aviation,51070001,HEALTH AND WELFARE INSURANCE,34779
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112101,AIRPORTS EXEC LEADERSHIP,51121,Airport Administration,51000004,BUDGET-VACANCY DISCOUNT,-16300
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112106,AIRPORTS PUBLIC INFORMATION,51121,Airport Administration,51000004,BUDGET-VACANCY DISCOUNT,-3268
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112110,AIRPORTS BUSINESS SERVICES,51121,Airport Administration,51070004,RETIREMENT PENSION CONTRIB,42326
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112110,AIRPORTS BUSINESS SERVICES,51121,Airport Administration,51010001,SALARIES AND WAGES,700988
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112110,AIRPORTS BUSINESS SERVICES,51121,Airport Administration,51070001,HEALTH AND WELFARE INSURANCE,115930
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112203,AIRPORTS FACILITY & LEASE ADMN,51122,Airport Property Mgt & Dev,51000004,BUDGET-VACANCY DISCOUNT,-11457
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112201,AIRPORTS ARC & ENG PLANNING,51122,Airport Property Mgt & Dev,51000004,BUDGET-VACANCY DISCOUNT,-11244
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112202,AIRPORTS CONSTRUCTION,51122,Airport Property Mgt & Dev,51000004,BUDGET-VACANCY DISCOUNT,-3742
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112202,AIRPORTS CONSTRUCTION,51122,Airport Property Mgt & Dev,51000004,BUDGET-VACANCY DISCOUNT,-6941
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112301,AIRPORTS SAFETY SECURITY INSP,51123,Airport Commercial Aviation,51000004,BUDGET-VACANCY DISCOUNT,-2532
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112302,AIRFIELD OPERATIONS COMMERCIAL,51123,Airport Commercial Aviation,51000004,BUDGET-VACANCY DISCOUNT,-11048
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112303,RUNWAYS & TAXIWAYS COMMERCIAL,51123,Airport Commercial Aviation,51000004,BUDGET-VACANCY DISCOUNT,-16058
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112401,AIRPORTS BUILDING MAINTENANCE,51124,Airport Maintenance,51000004,BUDGET-VACANCY DISCOUNT,-20669
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112402,AIRPORTS EQUIP MAINTENANCE,51124,Airport Maintenance,51000004,BUDGET-VACANCY DISCOUNT,-9793
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112403,AIRPORTS GROUNDS MAINTENANCE,51124,Airport Maintenance,51000004,BUDGET-VACANCY DISCOUNT,-12816
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112502,GROUNDS GENERAL AVIATION,51125,Airport General Aviation,51000004,BUDGET-VACANCY DISCOUNT,-3045
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112503,OPERATIONS GENERAL AVIATION,51125,Airport General Aviation,51000004,BUDGET-VACANCY DISCOUNT,-7900
511,AIRPORTS,0800,AIRPORTS CITY OPERATIONS,5112110,AIRPORTS BUSINESS SERVICES,51121,Airport Administration,52280007,CHARGEBACK-RISK MANAGEMENT,1267412
