Fiscal Year,Account Type,Department,Division,Fund Description,Account Category,Account Description,Amount
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Personnel Services,Full Time Employees,311446
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Personnel Services,Full Time Employees,55671
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Personnel Services,Employers FICA,23809
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Personnel Services,Employers FICA,4249
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Personnel Services,Hospitalization Insurance,64800
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Personnel Services,Hospitalization Insurance,10800
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Personnel Services,Retiree Health Care-OPEB,38839
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Personnel Services,Retiree Health Care-OPEB,6918
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Personnel Services,Retirement Fund Contribution,71412
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Personnel Services,Retirement Fund Contribution,12717
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Personnel Services,Unemployment Compensation,436
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Personnel Services,Unemployment Compensation,84
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Supplies,Supplies,30000
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Supplies,Supplies,12000
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Supplies,Subscriptions and Publications,250
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Other Services and Charges,Contractual Services,332000
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Other Services and Charges,Contractual Services,5000
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Other Services and Charges,Claims,5463
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Other Services and Charges,Telephone,1500
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Other Services and Charges,Telephone,1200
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Other Services and Charges,Employee Phone Reimbursement,600
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Other Services and Charges,Postage,1000
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Other Services and Charges,Postage,100
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Other Services and Charges,Community Promotion,500
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Other Services and Charges,Printing & Publishing,250
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Other Services and Charges,Other Travel & Training,8000
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Other Services and Charges,Other Travel & Training,500
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Other Services and Charges,Local Business Expense,500
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Other Services and Charges,Memberships,1500
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Other Services and Charges,Memberships,500
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Other Services and Charges,Equipment Rentals or Lease,260
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Other Services and Charges,Buildings Rentals or Lease-Facility Mgmt,30450
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Other Services and Charges,Employee Parking,14940
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Other Services and Charges,Employee Parking,5000
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Other Services and Charges,Computer Services-from IT,292661
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Other Services and Charges,Computer Services-from IT,60905
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Other Services and Charges,Contractual Services,74000
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Other Services and Charges,Tuition Reimbursement-Scholarsh,55000
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Other Services and Charges,Buildings Rentals or Lease-Facility Mgmt,33246
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Personnel Services,Full Time Employees,199923
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Personnel Services,Employers FICA,15289
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Personnel Services,Hospitalization Insurance,36000
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Personnel Services,Retiree Health Care-OPEB,24690
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Personnel Services,Retirement Fund Contribution,45381
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Personnel Services,Unemployment Compensation,276
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Supplies,Supplies,4725
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Supplies,Subscriptions and Publications,100
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Other Services and Charges,Contractual Services,15000
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Other Services and Charges,Postage,500
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Other Services and Charges,Community Promotion,8000
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Other Services and Charges,Printing & Publishing,1000
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Other Services and Charges,Professional Development,1000
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Other Services and Charges,Other Travel & Training,2000
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Other Services and Charges,Local Business Expense,1000
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Other Services and Charges,Memberships,1300
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Other Services and Charges,Equipment Rentals or Lease,6000
FY19,Expense,Adminitrative Services,Admin Services Support,General Fund Operating,Other Services and Charges,Employee Parking,8000
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Personnel Services,Full Time Employees,130390
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Personnel Services,Employers FICA,9969
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Personnel Services,Hospitalization Insurance,27360
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Personnel Services,Retiree Health Care-OPEB,16184
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Personnel Services,Retirement Fund Contribution,29775
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Personnel Services,Unemployment Compensation,180
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Other Services and Charges,Contractual Services,1500
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Other Services and Charges,Employee Phone Reimbursement,870
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Other Services and Charges,Employee Parking,5364
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Personnel Services,Full Time Employees,328462
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Personnel Services,Employers FICA,25118
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Personnel Services,Hospitalization Insurance,72000
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Personnel Services,Retiree Health Care-OPEB,40622
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Personnel Services,Retirement Fund Contribution,74662
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Personnel Services,Unemployment Compensation,451
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Other Services and Charges,Contractual Services,42220
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Other Services and Charges,Contract Employees-Temporary Services,40000
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Other Services and Charges,Telephone,2400
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Other Services and Charges,Advertising - Any Media,15000
FY19,Expense,Adminitrative Services,Human Resources,General Fund Operating,Other Services and Charges,Employee Parking,8940
FY19,Expense,Adminitrative Services,Human Resources,Health Insurance,Personnel Services,Full Time Employees,174904
FY19,Expense,Adminitrative Services,Human Resources,Health Insurance,Personnel Services,Employers FICA,13365
FY19,Expense,Adminitrative Services,Human Resources,Health Insurance,Personnel Services,Hospitalization Insurance,33840
FY19,Expense,Adminitrative Services,Human Resources,Health Insurance,Personnel Services,Retiree Health Care-OPEB,21749
FY19,Expense,Adminitrative Services,Human Resources,Health Insurance,Personnel Services,Retirement Fund Contribution,39984
FY19,Expense,Adminitrative Services,Human Resources,Health Insurance,Personnel Services,Unemployment Compensation,240
FY19,Expense,Adminitrative Services,Human Resources,Health Insurance,Other Services and Charges,Contractual Services,881737
FY19,Expense,Adminitrative Services,Human Resources,Health Insurance,Other Services and Charges,Health Insurance Claims,26355529
FY19,Expense,Adminitrative Services,Human Resources,Health Insurance,Other Services and Charges,Wellness Plan,100000
FY19,Expense,Adminitrative Services,Human Resources,Health Insurance,Other Services and Charges,Claims,35154
