Budget type,DEPARTMENT_NAME,DIVISION_NAME,ORG_NAME,ORG_DESC,FUND,FUND_NAME,ACCT_TYPE,ACCT_CAT,ACCT_CODE,ACCT_DESCR,AMOUNT
FY20,Fire,Fire,Fire Training,3000 - Fire Training,1010,General Fund Operating,Expense,Supplies,7520,Supplies,3264
FY20,Fire,Fire,Fire Training,3000 - Fire Training,1010,General Fund Operating,Expense,Capital Outlays,9760,Equipment,4250
FY20,Fire,Fire,Fire Training,3000 - Fire Training,1010,General Fund Operating,Expense,Personnel Services,7020,Full Time Employees,344496
FY20,Fire,Fire,Fire Training,3000 - Fire Training,1010,General Fund Operating,Expense,Personnel Services,7025,Acting Assignment,10150
FY20,Fire,Fire,Fire Training,3000 - Fire Training,1010,General Fund Operating,Expense,Personnel Services,7055,Time & One-half,51950
FY20,Fire,Fire,Fire Training,3000 - Fire Training,1010,General Fund Operating,Expense,Personnel Services,7105,Employers FICA,5892
FY20,Fire,Fire,Fire Training,3000 - Fire Training,1010,General Fund Operating,Expense,Personnel Services,7110,Hospitalization Insurance,61584
FY20,Fire,Fire,Fire Training,3000 - Fire Training,1010,General Fund Operating,Expense,Personnel Services,7115,Retiree Health Care-OPEB,54516
FY20,Fire,Fire,Fire Training,3000 - Fire Training,1010,General Fund Operating,Expense,Personnel Services,7120,Retirement Fund Contribution,105091
FY20,Fire,Fire,Fire Training,3000 - Fire Training,1010,General Fund Operating,Expense,Personnel Services,7135,Unemployment Compensation,579
FY20,Fire,Fire,Fire Training,3000 - Fire Training,1010,General Fund Operating,Expense,Other Services and Charges,9110,Other Travel & Training,9900
FY20,Fire,Fire,Fire Training,3000 - Fire Training,1010,General Fund Operating,Expense,Other Services and Charges,9150,Memberships,1408
FY20,Fire,Fire,Fire Training,3000 - Fire Training,1010,General Fund Operating,Expense,Other Services and Charges,9440,Fleet Management Equipment Charges,10569
FY20,Fire,Fire,Administration,1000 - Administration,1010,General Fund Operating,Expense,Supplies,7520,Supplies,79100
FY20,Fire,Fire,Administration,1000 - Administration,1010,General Fund Operating,Expense,Supplies,7910,Subscriptions and Publications,2787
FY20,Fire,Fire,Administration,1000 - Administration,1010,General Fund Operating,Expense,Capital Outlays,9755,Building Additions,73917
FY20,Fire,Fire,Administration,1000 - Administration,1010,General Fund Operating,Expense,Capital Outlays,9760,Equipment,294155
FY20,Fire,Fire,Administration,1000 - Administration,1010,General Fund Operating,Expense,Other Financing,9955,Operating Trans-Misc,80000
FY20,Fire,Fire,Administration,1000 - Administration,1010,General Fund Operating,Expense,Personnel Services,7020,Full Time Employees,1296033
FY20,Fire,Fire,Administration,1000 - Administration,1010,General Fund Operating,Expense,Personnel Services,7025,Acting Assignment,5228
FY20,Fire,Fire,Administration,1000 - Administration,1010,General Fund Operating,Expense,Personnel Services,7040,Temporary Noncontract Employees,17500
FY20,Fire,Fire,Administration,1000 - Administration,1010,General Fund Operating,Expense,Personnel Services,7055,Time & One-half,166995
FY20,Fire,Fire,Administration,1000 - Administration,1010,General Fund Operating,Expense,Personnel Services,7105,Employers FICA,51041
FY20,Fire,Fire,Administration,1000 - Administration,1010,General Fund Operating,Expense,Personnel Services,7110,Hospitalization Insurance,238644
FY20,Fire,Fire,Administration,1000 - Administration,1010,General Fund Operating,Expense,Personnel Services,7115,Retiree Health Care-OPEB,155481
FY20,Fire,Fire,Administration,1000 - Administration,1010,General Fund Operating,Expense,Personnel Services,7120,Retirement Fund Contribution,351455
FY20,Fire,Fire,Administration,1000 - Administration,1010,General Fund Operating,Expense,Personnel Services,7135,Unemployment Compensation,2053
FY20,Fire,Fire,Administration,1000 - Administration,1010,General Fund Operating,Expense,Other Services and Charges,8010,Contractual Services,484750
FY20,Fire,Fire,Administration,1000 - Administration,1010,General Fund Operating,Expense,Other Services and Charges,8011,Contract Employees-Temporary Services,22500
FY20,Fire,Fire,Administration,1000 - Administration,1010,General Fund Operating,Expense,Other Services and Charges,8400,Insurance Premiums,13032
FY20,Fire,Fire,Administration,1000 - Administration,1010,General Fund Operating,Expense,Other Services and Charges,8450,Claims,395112
FY20,Fire,Fire,Administration,1000 - Administration,1010,General Fund Operating,Expense,Other Services and Charges,8500,Telephone,61264
FY20,Fire,Fire,Administration,1000 - Administration,1010,General Fund Operating,Expense,Other Services and Charges,8505,Employee Phone Reimbursement,940
FY20,Fire,Fire,Administration,1000 - Administration,1010,General Fund Operating,Expense,Other Services and Charges,8510,Postage,10404
FY20,Fire,Fire,Administration,1000 - Administration,1010,General Fund Operating,Expense,Other Services and Charges,9000,Printing & Publishing,1115
FY20,Fire,Fire,Administration,1000 - Administration,1010,General Fund Operating,Expense,Other Services and Charges,9110,Other Travel & Training,52525
FY20,Fire,Fire,Administration,1000 - Administration,1010,General Fund Operating,Expense,Other Services and Charges,9130,Local Business Expense,2787
FY20,Fire,Fire,Administration,1000 - Administration,1010,General Fund Operating,Expense,Other Services and Charges,9150,Memberships,4954
FY20,Fire,Fire,Administration,1000 - Administration,1010,General Fund Operating,Expense,Other Services and Charges,9180,Water,24528
FY20,Fire,Fire,Administration,1000 - Administration,1010,General Fund Operating,Expense,Other Services and Charges,9190,Refuse Collection Charges,9988
FY20,Fire,Fire,Administration,1000 - Administration,1010,General Fund Operating,Expense,Other Services and Charges,9200,Electricity,83618
FY20,Fire,Fire,Administration,1000 - Administration,1010,General Fund Operating,Expense,Other Services and Charges,9210,Natural Gas,78043
FY20,Fire,Fire,Administration,1000 - Administration,1010,General Fund Operating,Expense,Other Services and Charges,9220,Steam,13379
FY20,Fire,Fire,Administration,1000 - Administration,1010,General Fund Operating,Expense,Other Services and Charges,9340,Maintenance Service,450000
FY20,Fire,Fire,Administration,1000 - Administration,1010,General Fund Operating,Expense,Other Services and Charges,9410,Equipment Rentals or Lease,772600
FY20,Fire,Fire,Administration,1000 - Administration,1010,General Fund Operating,Expense,Other Services and Charges,9440,Fleet Management Equipment Charges,52932
FY20,Fire,Fire,Administration,1000 - Administration,1010,General Fund Operating,Expense,Other Services and Charges,9450,311 Call Center Services,21044
FY20,Fire,Fire,Administration,1000 - Administration,1010,General Fund Operating,Expense,Other Services and Charges,9470,Employee Parking,500
FY20,Fire,Fire,Administration,1000 - Administration,1010,General Fund Operating,Expense,Other Services and Charges,9480,Computer Services-from IT,583232
FY20,Fire,Fire,Administration,1000 - Administration,1010,General Fund Operating,Revenue,State Grants,5744,Fire Protect-State Owned Build,555330
FY20,Fire,Fire,Fire Prevention,5000 - Fire Prevention,1010,General Fund Operating,Expense,Supplies,7520,Supplies,36346
FY20,Fire,Fire,Fire Prevention,5000 - Fire Prevention,1010,General Fund Operating,Expense,Supplies,7910,Subscriptions and Publications,3456
FY20,Fire,Fire,Fire Prevention,5000 - Fire Prevention,1010,General Fund Operating,Expense,Capital Outlays,9760,Equipment,236885
FY20,Fire,Fire,Fire Prevention,5000 - Fire Prevention,1010,General Fund Operating,Expense,Other Financing,9954,Operating Trans-Dev Center,6241
FY20,Fire,Fire,Fire Prevention,5000 - Fire Prevention,1010,General Fund Operating,Expense,Personnel Services,7020,Full Time Employees,561096
FY20,Fire,Fire,Fire Prevention,5000 - Fire Prevention,1010,General Fund Operating,Expense,Personnel Services,7025,Acting Assignment,3000
FY20,Fire,Fire,Fire Prevention,5000 - Fire Prevention,1010,General Fund Operating,Expense,Personnel Services,7055,Time & One-half,30000
FY20,Fire,Fire,Fire Prevention,5000 - Fire Prevention,1010,General Fund Operating,Expense,Personnel Services,7105,Employers FICA,12755
FY20,Fire,Fire,Fire Prevention,5000 - Fire Prevention,1010,General Fund Operating,Expense,Personnel Services,7110,Hospitalization Insurance,104688
FY20,Fire,Fire,Fire Prevention,5000 - Fire Prevention,1010,General Fund Operating,Expense,Personnel Services,7115,Retiree Health Care-OPEB,76413
FY20,Fire,Fire,Fire Prevention,5000 - Fire Prevention,1010,General Fund Operating,Expense,Personnel Services,7120,Retirement Fund Contribution,151778
FY20,Fire,Fire,Fire Prevention,5000 - Fire Prevention,1010,General Fund Operating,Expense,Personnel Services,7135,Unemployment Compensation,850
FY20,Fire,Fire,Fire Prevention,5000 - Fire Prevention,1010,General Fund Operating,Expense,Other Services and Charges,8010,Contractual Services,18000
FY20,Fire,Fire,Fire Prevention,5000 - Fire Prevention,1010,General Fund Operating,Expense,Other Services and Charges,8011,Contract Employees-Temporary Services,48000
FY20,Fire,Fire,Fire Prevention,5000 - Fire Prevention,1010,General Fund Operating,Expense,Other Services and Charges,8510,Postage,12340
FY20,Fire,Fire,Fire Prevention,5000 - Fire Prevention,1010,General Fund Operating,Expense,Other Services and Charges,9110,Other Travel & Training,8057
FY20,Fire,Fire,Fire Prevention,5000 - Fire Prevention,1010,General Fund Operating,Expense,Other Services and Charges,9150,Memberships,1265
FY20,Fire,Fire,Fire Prevention,5000 - Fire Prevention,1010,General Fund Operating,Expense,Other Services and Charges,9440,Fleet Management Equipment Charges,23782
FY20,Fire,Fire,Fire Prevention,5000 - Fire Prevention,1010,General Fund Operating,Revenue,Charges for Services,6260,Service Fees-General,322030
FY20,Fire,Fire,Capital Projects,9000 - Capital Projects,4010,Capital Improvement,Expense,Capital Outlays,9760,Equipment,266863
FY20,Fire,Fire,Capital Projects,9000 - Capital Projects,4010,Capital Improvement,Expense,Capital Outlays,9880,Construction In Progress,200000
FY20,Fire,Fire,Capital Projects,9000 - Capital Projects,4010,Capital Improvement,Revenue,Other Financing Sources,6993,Operating Transfers-Capital Projects,466863
FY20,Fire,Fire,Fire Suppression,2000 - Fire Suppression,1010,General Fund Operating,Expense,Supplies,7520,Supplies,150690
FY20,Fire,Fire,Fire Suppression,2000 - Fire Suppression,1010,General Fund Operating,Expense,Debt Service,9910,Principal,55000
FY20,Fire,Fire,Fire Suppression,2000 - Fire Suppression,1010,General Fund Operating,Expense,Debt Service,9930,Paying Agent Fees,858
FY20,Fire,Fire,Fire Suppression,2000 - Fire Suppression,1010,General Fund Operating,Expense,Capital Outlays,9760,Equipment,244910
FY20,Fire,Fire,Fire Suppression,2000 - Fire Suppression,1010,General Fund Operating,Expense,Personnel Services,7020,Full Time Employees,12953807
FY20,Fire,Fire,Fire Suppression,2000 - Fire Suppression,1010,General Fund Operating,Expense,Personnel Services,7025,Acting Assignment,310820
FY20,Fire,Fire,Fire Suppression,2000 - Fire Suppression,1010,General Fund Operating,Expense,Personnel Services,7050,Regular Hourly Rate,512035
