budget_year,department,fund_code,account_type,account_category,amount
FY20,Fire,1010,Expense,Supplies,3264
FY20,Fire,1010,Expense,Capital Outlays,4250
FY20,Fire,1010,Expense,Personnel Services,344496
FY20,Fire,1010,Expense,Personnel Services,10150
FY20,Fire,1010,Expense,Personnel Services,51950
FY20,Fire,1010,Expense,Personnel Services,5892
FY20,Fire,1010,Expense,Personnel Services,61584
FY20,Fire,1010,Expense,Personnel Services,54516
FY20,Fire,1010,Expense,Personnel Services,105091
FY20,Fire,1010,Expense,Personnel Services,579
FY20,Fire,1010,Expense,Other Services and Charges,9900
FY20,Fire,1010,Expense,Other Services and Charges,1408
FY20,Fire,1010,Expense,Other Services and Charges,10569
FY20,Fire,1010,Expense,Supplies,79100
FY20,Fire,1010,Expense,Supplies,2787
FY20,Fire,1010,Expense,Capital Outlays,73917
FY20,Fire,1010,Expense,Capital Outlays,294155
FY20,Fire,1010,Expense,Other Financing,80000
FY20,Fire,1010,Expense,Personnel Services,1296033
FY20,Fire,1010,Expense,Personnel Services,5228
FY20,Fire,1010,Expense,Personnel Services,17500
FY20,Fire,1010,Expense,Personnel Services,166995
FY20,Fire,1010,Expense,Personnel Services,51041
FY20,Fire,1010,Expense,Personnel Services,238644
FY20,Fire,1010,Expense,Personnel Services,155481
FY20,Fire,1010,Expense,Personnel Services,351455
FY20,Fire,1010,Expense,Personnel Services,2053
FY20,Fire,1010,Expense,Other Services and Charges,484750
FY20,Fire,1010,Expense,Other Services and Charges,22500
FY20,Fire,1010,Expense,Other Services and Charges,13032
FY20,Fire,1010,Expense,Other Services and Charges,395112
FY20,Fire,1010,Expense,Other Services and Charges,61264
FY20,Fire,1010,Expense,Other Services and Charges,940
FY20,Fire,1010,Expense,Other Services and Charges,10404
FY20,Fire,1010,Expense,Other Services and Charges,1115
FY20,Fire,1010,Expense,Other Services and Charges,52525
FY20,Fire,1010,Expense,Other Services and Charges,2787
FY20,Fire,1010,Expense,Other Services and Charges,4954
FY20,Fire,1010,Expense,Other Services and Charges,24528
FY20,Fire,1010,Expense,Other Services and Charges,9988
FY20,Fire,1010,Expense,Other Services and Charges,83618
FY20,Fire,1010,Expense,Other Services and Charges,78043
FY20,Fire,1010,Expense,Other Services and Charges,13379
FY20,Fire,1010,Expense,Other Services and Charges,450000
FY20,Fire,1010,Expense,Other Services and Charges,772600
FY20,Fire,1010,Expense,Other Services and Charges,52932
FY20,Fire,1010,Expense,Other Services and Charges,21044
FY20,Fire,1010,Expense,Other Services and Charges,500
FY20,Fire,1010,Expense,Other Services and Charges,583232
FY20,Fire,1010,Revenue,State Grants,555330
FY20,Fire,1010,Expense,Supplies,36346
FY20,Fire,1010,Expense,Supplies,3456
FY20,Fire,1010,Expense,Capital Outlays,236885
FY20,Fire,1010,Expense,Other Financing,6241
FY20,Fire,1010,Expense,Personnel Services,561096
FY20,Fire,1010,Expense,Personnel Services,3000
FY20,Fire,1010,Expense,Personnel Services,30000
FY20,Fire,1010,Expense,Personnel Services,12755
FY20,Fire,1010,Expense,Personnel Services,104688
FY20,Fire,1010,Expense,Personnel Services,76413
FY20,Fire,1010,Expense,Personnel Services,151778
FY20,Fire,1010,Expense,Personnel Services,850
FY20,Fire,1010,Expense,Other Services and Charges,18000
FY20,Fire,1010,Expense,Other Services and Charges,48000
FY20,Fire,1010,Expense,Other Services and Charges,12340
FY20,Fire,1010,Expense,Other Services and Charges,8057
FY20,Fire,1010,Expense,Other Services and Charges,1265
FY20,Fire,1010,Expense,Other Services and Charges,23782
FY20,Fire,1010,Revenue,Charges for Services,322030
FY20,Fire,4010,Expense,Capital Outlays,266863
FY20,Fire,4010,Expense,Capital Outlays,200000
FY20,Fire,4010,Revenue,Other Financing Sources,466863
FY20,Fire,1010,Expense,Supplies,150690
FY20,Fire,1010,Expense,Debt Service,55000
FY20,Fire,1010,Expense,Debt Service,858
FY20,Fire,1010,Expense,Capital Outlays,244910
FY20,Fire,1010,Expense,Personnel Services,12953807
FY20,Fire,1010,Expense,Personnel Services,310820
FY20,Fire,1010,Expense,Personnel Services,512035
FY20,Fire,1010,Expense,Personnel Services,714355
FY20,Fire,1010,Expense,Personnel Services,210987
FY20,Fire,1010,Expense,Personnel Services,2648112
FY20,Fire,1010,Expense,Personnel Services,1989364
FY20,Fire,1010,Expense,Personnel Services,3837861
FY20,Fire,1010,Expense,Personnel Services,20582
FY20,Fire,1010,Expense,Personnel Services,62950
FY20,Fire,1010,Expense,Personnel Services,12000
FY20,Fire,1010,Expense,Other Services and Charges,45400
FY20,Fire,1010,Expense,Other Services and Charges,99868
FY20,Fire,1010,Expense,Other Services and Charges,585
FY20,Fire,1010,Expense,Other Services and Charges,30660
FY20,Fire,1010,Expense,Other Services and Charges,119264
FY20,Fire,1010,Expense,Other Services and Charges,44882
FY20,Fire,1010,Revenue,Charges for Services,37885
FY20,Fire,1010,Expense,Supplies,30600
FY20,Fire,1010,Expense,Capital Outlays,19800
FY20,Fire,1010,Expense,Personnel Services,87756
FY20,Fire,1010,Expense,Personnel Services,5075
FY20,Fire,1010,Expense,Personnel Services,56700
FY20,Fire,1010,Expense,Personnel Services,2175
FY20,Fire,1010,Expense,Personnel Services,15396
FY20,Fire,1010,Expense,Personnel Services,20123
FY20,Fire,1010,Expense,Personnel Services,38451
FY20,Fire,1010,Expense,Personnel Services,207
FY20,Fire,1010,Expense,Personnel Services,500
FY20,Fire,1010,Expense,Other Services and Charges,1850
FY20,Fire,1010,Expense,Other Services and Charges,29650
FY20,Fire,1010,Expense,Other Services and Charges,835
FY20,Fire,1010,Expense,Other Services and Charges,17607
FY20,Fire,1010,Revenue,Charges for Services,10000
FY20,Fire,1010,Expense,Personnel Services,80000
FY20,Fire,1010,Expense,Personnel Services,1160
FY20,Fire,1010,Expense,Personnel Services,10728
FY20,Fire,1010,Expense,Personnel Services,20480
FY20,Fire,1010,Expense,Personnel Services,112
FY20,Fire,1010,Expense,Other Services and Charges,50000
FY20,Police,1010,Expense,Supplies,5350
FY20,Police,1010,Expense,Personnel Services,806436
FY20,Police,1010,Expense,Personnel Services,1040
FY20,Police,1010,Expense,Personnel Services,39847
FY20,Police,1010,Expense,Personnel Services,56914
FY20,Police,1010,Expense,Personnel Services,130872
FY20,Police,1010,Expense,Personnel Services,76789
FY20,Police,1010,Expense,Personnel Services,195638
FY20,Police,1010,Expense,Personnel Services,1131
FY20,Police,1010,Expense,Other Services and Charges,174000
FY20,Police,1010,Expense,Other Services and Charges,6480
FY20,Police,1010,Expense,Other Services and Charges,22257
FY20,Police,1010,Expense,Other Services and Charges,830979
FY20,Police,1010,Expense,Other Services and Charges,9944
FY20,Police,1010,Expense,Other Services and Charges,21639
FY20,Police,1010,Expense,Other Services and Charges,16873
FY20,Police,1010,Expense,Other Services and Charges,1187573
FY20,Police,1010,Expense,Supplies,3900
FY20,Police,1010,Expense,Capital Outlays,20000
FY20,Police,1010,Expense,Personnel Services,166084
FY20,Police,1010,Expense,Personnel Services,548
FY20,Police,1010,Expense,Personnel Services,12748
