budget_year,department,fund_code,account_type,account_category,amount
FY14-15,,1010,Revenue,Property Tax,81603137
FY14-15,,1010,Revenue,Property Tax,6329775
FY14-15,,1010,Revenue,Property Tax,2181678
FY14-15,,1010,Revenue,Property Tax,1042278
FY14-15,,1010,Revenue,Property Tax,2325302
FY14-15,,1010,Revenue,Property Tax,1091591
FY14-15,,1010,Revenue,Property Tax,2282727
FY14-15,,1010,Revenue,Property Tax,50954
FY14-15,,1200,Revenue,Property Tax,188312
FY14-15,,1010,Revenue,Property Tax,41714
FY14-15,,1010,Revenue,Property Tax,32171531
FY14-15,,1010,Revenue,Property Tax,13727682
FY14-15,,1010,Revenue,Property Tax,5997631
FY14-15,,1200,Revenue,Local Tax,42897251
FY14-15,,1200,Revenue,Local Tax,5110131
FY14-15,,1200,Revenue,Local Tax,4097340
FY14-15,,1200,Revenue,Local Tax,646864
FY14-15,,1200,Revenue,Local Tax,2684487
FY14-15,,1200,Revenue,Local Tax,-64643
FY14-15,,1200,Revenue,Local Tax,2102100
FY14-15,,2251,Revenue,Local Tax,15059351
FY14-15,,1010,Revenue,Sales Tax,37077904
FY14-15,,2212,Revenue,Sales Tax,1103350
FY14-15,,2211,Revenue,Sales Tax,9704439
FY14-15,,2213,Revenue,Sales Tax,942497
FY14-15,,1010,Revenue,Sales Tax,2927363
FY14-15,,1010,Revenue,Sales Tax,10354733
FY14-15,,2230,Revenue,Gas Tax,5921392
FY14-15,,2231,Revenue,Miscellaneous Revenue,4965455
FY14-15,,1010,Revenue,Business License Tax,60616020
FY14-15,,1010,Revenue,Utility Consumption Tax,50000000
FY14-15,,1010,Revenue,Real Estate Transfer Tax,53000000
FY14-15,,1010,Revenue,Transient Occupancy Tax,14883000
FY14-15,,2419,Revenue,Transient Occupancy Tax,138904
FY14-15,,2419,Revenue,Transient Occupancy Tax,111362
FY14-15,,2419,Revenue,Transient Occupancy Tax,248669
FY14-15,,2419,Revenue,Transient Occupancy Tax,498935
FY14-15,,2419,Revenue,Transient Occupancy Tax,498935
FY14-15,,2419,Revenue,Transient Occupancy Tax,498935
FY14-15,,2419,Revenue,Transient Occupancy Tax,1995742
FY14-15,,2310,Revenue,Local Tax,18970646
FY14-15,,1010,Revenue,Parking Tax,8178000
FY14-15,,2251,Revenue,Parking Tax,3632900
FY14-15,,5130,Revenue,Local Tax,134420
FY14-15,,2412,Revenue,Local Tax,1915232
FY14-15,,2321,Revenue,Local Tax,1973871
FY14-15,,2412,Revenue,Local Tax,4542
FY14-15,,2250,Revenue,Local Tax,1523744
