budget_year,department,fund_code,account_type,account_category,amount
FY14-15,,1010,Revenue,Licenses & Permits,329207
FY14-15,,1010,Revenue,Licenses & Permits,229500
FY14-15,,1010,Revenue,Licenses & Permits,305988
FY14-15,,1010,Revenue,Licenses & Permits,3968
FY14-15,,1010,Revenue,Service Charges,3766
FY14-15,,1610,Revenue,Grants & Subsidies,1783129
FY14-15,,1610,Revenue,Grants & Subsidies,5266355
FY14-15,,1610,Revenue,Grants & Subsidies,1851874
FY14-15,,1010,Revenue,Service Charges,56000
FY14-15,,1010,Revenue,Service Charges,37029
FY14-15,,1010,Revenue,Service Charges,925053
FY14-15,,1770,Revenue,Service Charges,435630
FY14-15,,1770,Revenue,Transfers from Fund Balance,114260
FY14-15,,4400,Revenue,Service Charges,2400
FY14-15,,5650,Revenue,Service Charges,100000
FY14-15,,5610,Revenue,Service Charges,200000
FY14-15,,5610,Revenue,Service Charges,150000
FY14-15,,1010,Revenue,Service Charges,79002
FY14-15,,2195,Revenue,Grants & Subsidies,1323656
FY14-15,,2195,Revenue,Grants & Subsidies,233045
FY14-15,,2195,Revenue,Grants & Subsidies,1631554
FY14-15,,2195,Revenue,Grants & Subsidies,1890681
FY14-15,,5671,Revenue,Service Charges,500000
FY14-15,,1010,Revenue,Service Charges,20609
FY14-15,,1010,Revenue,Transfers from Fund Balance,31738
FY14-15,,2195,Revenue,Service Charges,352000
FY14-15,,2195,Revenue,Service Charges,100000
FY14-15,,1010,Revenue,Service Charges,22450
FY14-15,,2419,Revenue,Transient Occupancy Tax,214451
FY14-15,,2419,Revenue,Transient Occupancy Tax,60000
FY14-15,,2419,Revenue,Transient Occupancy Tax,95930
FY14-15,,1010,Revenue,Service Charges,3300
FY14-15,,1010,Revenue,Service Charges,4700
FY14-15,,1010,Revenue,Service Charges,14000
FY14-15,,2190,Revenue,Grants & Subsidies,10280
FY14-15,,1010,Revenue,Service Charges,8142
FY14-15,,1010,Revenue,Service Charges,229509
FY14-15,,7130,Revenue,Miscellaneous Revenue,118450
FY14-15,,7130,Revenue,Transfers from Fund Balance,114286
FY14-15,,2251,Revenue,Transfers from Fund Balance,3887462
FY14-15,,2251,Revenue,Interfund Transfers,2798134
FY14-15,,5510,Revenue,Transfers from Fund Balance,1000000
FY14-15,,4500,Revenue,Internal Service Funds,425838
FY14-15,,4550,Revenue,Internal Service Funds,777965
FY14-15,,1010,Revenue,Licenses & Permits,76381
FY14-15,,1010,Revenue,Service Charges,3036
FY14-15,,1010,Revenue,Service Charges,142100
FY14-15,,1010,Revenue,Fines & Penalties,10000
FY14-15,,1010,Revenue,Service Charges,5600
FY14-15,,1010,Revenue,Service Charges,12000
FY14-15,,1700,Revenue,Service Charges,2104076
FY14-15,,1700,Revenue,Service Charges,141217
FY14-15,,1700,Revenue,Service Charges,151656
FY14-15,,1010,Revenue,Service Charges,16400
FY14-15,,1010,Revenue,Fines & Penalties,116129
FY14-15,,1010,Revenue,Fines & Penalties,12408
FY14-15,,1010,Revenue,Fines & Penalties,78735
FY14-15,,1010,Revenue,Fines & Penalties,30689
FY14-15,,1010,Revenue,Service Charges,7430
FY14-15,,1010,Revenue,Service Charges,16700
FY14-15,,1010,Revenue,Service Charges,2500
FY14-15,,1010,Revenue,Service Charges,4400
FY14-15,,1010,Revenue,Service Charges,10000
FY14-15,,2417,Revenue,Service Charges,440900
FY14-15,,1010,Revenue,Property Tax,79177137
FY14-15,,1010,Revenue,Property Tax,6329775
FY14-15,,1010,Revenue,Property Tax,2181678
FY14-15,,1010,Revenue,Property Tax,1042278
FY14-15,,1010,Revenue,Property Tax,3325302
FY14-15,,1010,Revenue,Property Tax,1091591
FY14-15,,1010,Revenue,Property Tax,2282727
FY14-15,,1010,Revenue,Property Tax,50954
FY14-15,,1010,Revenue,Property Tax,421524
FY14-15,,1010,Revenue,Property Tax,32171531
FY14-15,,1010,Revenue,Property Tax,17305872
FY14-15,,1010,Revenue,Property Tax,5977631
FY14-15,,1010,Revenue,Sales Tax,37077904
FY14-15,,1010,Revenue,Sales Tax,2927363
FY14-15,,1010,Revenue,Sales Tax,10354733
FY14-15,,1010,Revenue,Business License Tax,61017000
FY14-15,,1010,Revenue,Utility Consumption Tax,50000000
FY14-15,,1010,Revenue,Real Estate Transfer Tax,41980000
FY14-15,,1010,Revenue,Transient Occupancy Tax,12936000
FY14-15,,1010,Revenue,Parking Tax,9466000
FY14-15,,1010,Revenue,Service Charges,2544358
FY14-15,,1010,Revenue,Service Charges,4849128
FY14-15,,1010,Revenue,Service Charges,4238750
FY14-15,,1010,Revenue,Licenses & Permits,189844
FY14-15,,1010,Revenue,Fines & Penalties,18311009
FY14-15,,1010,Revenue,Fines & Penalties,2000000
FY14-15,,1010,Revenue,Fines & Penalties,594163
FY14-15,,1010,Revenue,Interest Income,740482
FY14-15,,1010,Revenue,Service Charges,449000
FY14-15,,1010,Revenue,Service Charges,263924
FY14-15,,1010,Revenue,Service Charges,12397539
FY14-15,,1010,Revenue,Service Charges,250000
FY14-15,,1010,Revenue,Service Charges,409505
FY14-15,,1010,Revenue,Service Charges,1765158
FY14-15,,1010,Revenue,Service Charges,405000
FY14-15,,1010,Revenue,Miscellaneous Revenue,165408
FY14-15,,1010,Revenue,Miscellaneous Revenue,475000
FY14-15,,1200,Revenue,Fines & Penalties,200000
FY14-15,,1750,Revenue,Interest Income,-25000
FY14-15,,2211,Revenue,Interest Income,10920
FY14-15,,2251,Revenue,Local Tax,13956299
FY14-15,,2251,Revenue,Parking Tax,3632900
FY14-15,,2310,Revenue,Local Tax,18970646
FY14-15,,3100,Revenue,Interest Income,100000
FY14-15,,4100,Revenue,Interest Income,-100000
FY14-15,,4400,Revenue,Interest Income,-75000
FY14-15,,5130,Revenue,Local Tax,134420
FY14-15,,7100,Revenue,Transfers from Fund Balance,964527
FY14-15,,1010,Revenue,Licenses & Permits,30000
FY14-15,,1010,Revenue,Licenses & Permits,4873
FY14-15,,1010,Revenue,Service Charges,60000
FY14-15,,2412,Revenue,Local Tax,1773649
FY14-15,,2412,Revenue,Miscellaneous Revenue,180591
FY14-15,,1010,Revenue,Licenses & Permits,67083
FY14-15,,1010,Revenue,Fines & Penalties,67698
FY14-15,,1010,Revenue,Service Charges,183134
FY14-15,,1010,Revenue,Service Charges,95788
FY14-15,,1010,Revenue,Service Charges,18862
FY14-15,,1010,Revenue,Service Charges,22189
FY14-15,,1010,Revenue,Service Charges,1113170
FY14-15,,2321,Revenue,Local Tax,1973871
FY14-15,,2321,Revenue,Interfund Transfers,148000
FY14-15,,1740,Revenue,Fines & Penalties,54510
FY14-15,,1740,Revenue,Service Charges,861728
FY14-15,,1740,Revenue,Service Charges,71560
FY14-15,,1010,Revenue,Service Charges,552660
FY14-15,,2330,Revenue,Miscellaneous Revenue,3200
FY14-15,,2330,Revenue,Transfers from Fund Balance,3000
FY14-15,,1010,Revenue,Miscellaneous Revenue,150000
FY14-15,,1010,Revenue,Service Charges,12000
FY14-15,,2412,Revenue,Local Tax,4542
FY14-15,,1010,Revenue,Service Charges,2584
FY14-15,,1010,Revenue,Service Charges,4047
FY14-15,,2123,Revenue,Grants & Subsidies,11947
FY14-15,,2123,Revenue,Grants & Subsidies,1297962
FY14-15,,2146,Revenue,Grants & Subsidies,7598
FY14-15,,2160,Revenue,Grants & Subsidies,57346
FY14-15,,2190,Revenue,Service Charges,25000
FY14-15,,1010,Revenue,Service Charges,4173515
FY14-15,,1010,Revenue,Service Charges,5000
FY14-15,,1010,Revenue,Service Charges,21000
FY14-15,,2124,Revenue,Grants & Subsidies,12738
FY14-15,,2124,Revenue,Grants & Subsidies,411761
FY14-15,,2124,Revenue,Grants & Subsidies,345311
FY14-15,,2124,Revenue,Grants & Subsidies,91042
FY14-15,,2124,Revenue,Grants & Subsidies,84106
FY14-15,,2250,Revenue,Local Tax,1770793
FY14-15,,2250,Revenue,Service Charges,1900
FY14-15,,2146,Revenue,Grants & Subsidies,55063
FY14-15,,2160,Revenue,Grants & Subsidies,953515
FY14-15,,2160,Revenue,Grants & Subsidies,752
FY14-15,,1100,Revenue,Interfund Transfers,3524791
FY14-15,,2212,Revenue,Sales Tax,1103350
FY14-15,,3100,Revenue,Service Charges,50000000
FY14-15,,3100,Revenue,Transfers from Fund Balance,2327633
FY14-15,,1720,Revenue,Service Charges,89200
FY14-15,,3100,Revenue,Service Charges,40000
FY14-15,,2163,Revenue,Grants & Subsidies,3850205
FY14-15,,2231,Revenue,Miscellaneous Revenue,4965455
FY14-15,,2415,Revenue,Licenses & Permits,400000
FY14-15,,2415,Revenue,Licenses & Permits,1400000
FY14-15,,2415,Revenue,Service Charges,78000
FY14-15,,2415,Revenue,Service Charges,1603882
FY14-15,,2415,Revenue,Service Charges,130000
FY14-15,,2230,Revenue,Gas Tax,6637535
FY14-15,,2415,Revenue,Service Charges,712085
FY14-15,,3150,Revenue,Interfund Transfers,500000
FY14-15,,2990,Revenue,Grants & Subsidies,210000
FY14-15,,1750,Revenue,Service Charges,28000
FY14-15,,1750,Revenue,Service Charges,10000
FY14-15,,1750,Revenue,Service Charges,102430
FY14-15,,1750,Revenue,Service Charges,4594298
FY14-15,,1750,Revenue,Miscellaneous Revenue,99423
FY14-15,,2211,Revenue,Sales Tax,9704439
FY14-15,,2211,Revenue,Transfers from Fund Balance,127500
FY14-15,,2230,Revenue,Sales Tax,-716143
FY14-15,,2230,Revenue,Transfers from Fund Balance,1167848
FY14-15,,2416,Revenue,Fines & Penalties,1526764
FY14-15,,2230,Revenue,Grants & Subsidies,40000
FY14-15,,2230,Revenue,Grants & Subsidies,40000
FY14-15,,2310,Revenue,Service Charges,24360
FY14-15,,2310,Revenue,Service Charges,24360
FY14-15,,2310,Revenue,Service Charges,56940
FY14-15,,2310,Revenue,Service Charges,56940
FY14-15,,2310,Revenue,Service Charges,2050
FY14-15,,2310,Revenue,Service Charges,2050
FY14-15,,2310,Revenue,Miscellaneous Revenue,1462500
FY14-15,,2230,Revenue,Service Charges,6000
FY14-15,,2230,Revenue,Service Charges,8000
FY14-15,,2230,Revenue,Service Charges,3000
FY14-15,,1010,Revenue,Service Charges,600000
FY14-15,,2230,Revenue,Grants & Subsidies,61100
FY14-15,,3100,Revenue,Service Charges,25000
FY14-15,,2230,Revenue,Service Charges,3000
FY14-15,,1010,Revenue,Service Charges,10924
FY14-15,,4100,Revenue,Licenses & Permits,81030
FY14-15,,4100,Revenue,Internal Service Funds,19782728
FY14-15,,4100,Revenue,Internal Service Funds,55300
FY14-15,,4100,Revenue,Internal Service Funds,100000
FY14-15,,4400,Revenue,Internal Service Funds,27289929
FY14-15,,4400,Revenue,Miscellaneous Revenue,500000
FY14-15,,4400,Revenue,Service Charges,60000
FY14-15,,4400,Revenue,Service Charges,50000
FY14-15,,2310,Revenue,Licenses & Permits,12600
FY14-15,,2310,Revenue,Service Charges,4900
FY14-15,,1720,Revenue,Service Charges,17643680
FY14-15,,1720,Revenue,Transfers from Fund Balance,100139
FY14-15,,1720,Revenue,Licenses & Permits,9000
FY14-15,,1720,Revenue,Fines & Penalties,15000
FY14-15,,1720,Revenue,Service Charges,26000
FY14-15,,1720,Revenue,Service Charges,33000
FY14-15,,1720,Revenue,Transfers from Fund Balance,1066518
