budget_year,account_type,department,fund_code,account_category,amount
FY16-17,Expense,City Council,1010,,15000
FY16-17,Expense,City Council,1010,,30000
FY16-17,Expense,City Council,1010,,24474
FY16-17,Expense,City Council,1010,,41585
FY16-17,Expense,City Council,1010,,1400
FY16-17,Expense,City Council,1010,,9000
FY16-17,Expense,City Council,1010,,82400
FY16-17,Expense,City Council,1010,,500
FY16-17,Expense,City Council,1010,,250
FY16-17,Expense,City Council,1010,,3000
FY16-17,Expense,City Council,1010,,2000
FY16-17,Expense,City Council,1010,,37833
FY16-17,Expense,City Council,1010,,600
FY16-17,Expense,City Council,1010,,10703
FY16-17,Expense,City Council,1010,,7170
FY16-17,Expense,City Council,1010,,1700
FY16-17,Expense,City Council,1010,,287798
FY16-17,Expense,City Council,1010,,26020
FY16-17,Expense,City Council,1010,,3110
FY16-17,Expense,City Council,1010,,350
FY16-17,Expense,City Council,1010,,400
FY16-17,Expense,City Council,1010,,400
FY16-17,Expense,City Council,1010,,38665
FY16-17,Expense,City Council,1010,,1290
FY16-17,Expense,City Council,1010,,200
FY16-17,Expense,City Council,1010,,100
FY16-17,Expense,City Council,1010,,1420
FY16-17,Expense,City Council,1010,,88639
FY16-17,Expense,City Council,1010,,100
FY16-17,Expense,City Council,1010,,1500
FY16-17,Expense,City Council,1010,,360
FY16-17,Expense,City Council,1010,,2910
FY16-17,Expense,City Council,1010,,211728
FY16-17,Expense,City Council,1010,,220
FY16-17,Expense,City Council,1010,,96083
FY16-17,Expense,City Council,1010,,500
FY16-17,Expense,City Council,1010,,6600
FY16-17,Expense,City Council,1010,,1510
FY16-17,Expense,City Council,1010,,6600
FY16-17,Expense,City Council,1010,,1730
FY16-17,Expense,City Council,1010,,96083
FY16-17,Expense,City Council,1010,,1000
FY16-17,Expense,City Council,1010,,750
FY16-17,Expense,City Council,1010,,800
FY16-17,Expense,City Council,1010,,300
FY16-17,Expense,City Council,1010,,500
FY16-17,Expense,City Council,1010,,211728
FY16-17,Expense,City Council,1010,,300
FY16-17,Expense,City Council,1010,,500
FY16-17,Expense,City Council,1010,,100
FY16-17,Expense,City Council,1010,,88639
FY16-17,Expense,City Council,1010,,38665
FY16-17,Expense,City Council,1010,,2010
FY16-17,Expense,City Council,1010,,250
FY16-17,Expense,City Council,1010,,400
FY16-17,Expense,City Council,1010,,800
FY16-17,Expense,City Council,1010,,200
FY16-17,Expense,City Council,1010,,1540
FY16-17,Expense,City Council,1010,,6600
FY16-17,Expense,City Council,1010,,96083
FY16-17,Expense,City Council,1010,,211728
FY16-17,Expense,City Council,1010,,1000
FY16-17,Expense,City Council,1010,,250
FY16-17,Expense,City Council,1010,,100
FY16-17,Expense,City Council,1010,,900
FY16-17,Expense,City Council,1010,,750
FY16-17,Expense,City Council,1010,,100
FY16-17,Expense,City Council,1010,,900
FY16-17,Expense,City Council,1010,,290
FY16-17,Expense,City Council,1010,,1020
FY16-17,Expense,City Council,1010,,88639
FY16-17,Expense,City Council,1010,,38665
FY16-17,Expense,City Council,1010,,1100
FY16-17,Expense,City Council,1010,,400
FY16-17,Expense,City Council,1010,,1530
FY16-17,Expense,City Council,1010,,400
FY16-17,Expense,City Council,1010,,96083
FY16-17,Expense,City Council,1010,,1000
FY16-17,Expense,City Council,1010,,1250
FY16-17,Expense,City Council,1010,,6600
FY16-17,Expense,City Council,1010,,1000
FY16-17,Expense,City Council,1010,,38665
FY16-17,Expense,City Council,1010,,500
FY16-17,Expense,City Council,1010,,1000
FY16-17,Expense,City Council,1010,,211728
FY16-17,Expense,City Council,1010,,1170
FY16-17,Expense,City Council,1010,,100
FY16-17,Expense,City Council,1010,,88639
FY16-17,Expense,City Council,1010,,1500
FY16-17,Expense,City Council,1010,,300
FY16-17,Expense,City Council,1010,,96083
FY16-17,Expense,City Council,1010,,300
FY16-17,Expense,City Council,1010,,2740
FY16-17,Expense,City Council,1010,,88639
FY16-17,Expense,City Council,1010,,3000
FY16-17,Expense,City Council,1010,,550
FY16-17,Expense,City Council,1010,,6600
FY16-17,Expense,City Council,1010,,10
FY16-17,Expense,City Council,1010,,1050
FY16-17,Expense,City Council,1010,,211728
FY16-17,Expense,City Council,1010,,600
FY16-17,Expense,City Council,1010,,490
FY16-17,Expense,City Council,1010,,750
FY16-17,Expense,City Council,1010,,230
FY16-17,Expense,City Council,1010,,30
FY16-17,Expense,City Council,1010,,38665
FY16-17,Expense,City Council,1010,,300
FY16-17,Expense,City Council,1010,,2460
FY16-17,Expense,City Council,1010,,980
FY16-17,Expense,City Council,1010,,1950
FY16-17,Expense,City Council,1010,,250
FY16-17,Expense,City Council,1010,,1300
FY16-17,Expense,City Council,1010,,200
FY16-17,Expense,City Council,1010,,800
FY16-17,Expense,City Council,1010,,300
FY16-17,Expense,City Council,1010,,400
FY16-17,Expense,City Council,1010,,96083
FY16-17,Expense,City Council,1010,,38665
FY16-17,Expense,City Council,1010,,88639
FY16-17,Expense,City Council,1010,,590
FY16-17,Expense,City Council,1010,,211728
FY16-17,Expense,City Council,1010,,6600
FY16-17,Expense,City Council,1010,,220
FY16-17,Expense,City Council,1010,,500
FY16-17,Expense,City Council,1010,,6600
FY16-17,Expense,City Council,1010,,330
FY16-17,Expense,City Council,1010,,2200
FY16-17,Expense,City Council,1010,,2240
FY16-17,Expense,City Council,1010,,1220
FY16-17,Expense,City Council,1010,,88639
FY16-17,Expense,City Council,1010,,38665
FY16-17,Expense,City Council,1010,,1400
FY16-17,Expense,City Council,1010,,850
FY16-17,Expense,City Council,1010,,700
FY16-17,Expense,City Council,1010,,96083
FY16-17,Expense,City Council,1010,,310
FY16-17,Expense,City Council,1010,,211728
FY16-17,Expense,City Council,1010,,1090
FY16-17,Expense,City Council,1010,,200
FY16-17,Expense,City Council,1010,,88639
FY16-17,Expense,City Council,1010,,80
FY16-17,Expense,City Council,1010,,350
FY16-17,Expense,City Council,1010,,96083
FY16-17,Expense,City Council,1010,,2260
FY16-17,Expense,City Council,1010,,2330
FY16-17,Expense,City Council,1010,,850
FY16-17,Expense,City Council,1010,,700
FY16-17,Expense,City Council,1010,,6600
FY16-17,Expense,City Council,1010,,260
FY16-17,Expense,City Council,1010,,211728
FY16-17,Expense,City Council,1010,,1000
FY16-17,Expense,City Council,1010,,330
FY16-17,Expense,City Council,1010,,38665
FY16-17,Expense,City Council,1010,,300
FY16-17,Expense,Mayor,1010,,2120
FY16-17,Expense,Mayor,1010,,3200
FY16-17,Expense,Mayor,1010,,22000
FY16-17,Expense,Mayor,1010,,970
FY16-17,Expense,Mayor,1010,,1015998
FY16-17,Expense,Mayor,1010,,561
FY16-17,Expense,Mayor,1010,,22000
FY16-17,Expense,Mayor,1010,,700
FY16-17,Expense,Mayor,2252,,11102
FY16-17,Expense,Mayor,2216,,46692
FY16-17,Expense,Mayor,1010,,4179
FY16-17,Expense,Mayor,1010,,1710
FY16-17,Expense,Mayor,1010,,570
FY16-17,Expense,Mayor,1010,,5322
FY16-17,Expense,Mayor,2216,,27480
FY16-17,Expense,Mayor,1010,,2100
FY16-17,Expense,Mayor,2216,,4200
FY16-17,Expense,Mayor,1010,,447209
FY16-17,Expense,Mayor,1010,,600
FY16-17,Expense,Mayor,2252,,37378
FY16-17,Expense,Mayor,1010,,1400
FY16-17,Expense,Mayor,1010,,250
FY16-17,Expense,Mayor,2216,,92520
FY16-17,Expense,Mayor,1010,,1300
FY16-17,Expense,Mayor,1010,,17441
FY16-17,Expense,Mayor,2252,,17162
FY16-17,Expense,Mayor,1010,,680
FY16-17,Expense,Mayor,1010,,488524
FY16-17,Expense,Mayor,1010,,6500
FY16-17,Expense,Mayor,2252,,18864
FY16-17,Expense,Mayor,1010,,248877
FY16-17,Expense,Mayor,2216,,42480
FY16-17,Expense,Mayor,1010,,8430
FY16-17,Expense,Mayor,1010,,8960
FY16-17,Expense,Mayor,1010,,247300
FY16-17,Expense,Mayor,1010,,9000
FY16-17,Expense,City Administrator,1010,,750
FY16-17,Expense,City Administrator,1010,,381043
FY16-17,Expense,City Administrator,1750,,21478
FY16-17,Expense,City Administrator,1010,,150000
FY16-17,Expense,City Administrator,1010,,630
FY16-17,Expense,City Administrator,2415,,10520
FY16-17,Expense,City Administrator,1010,,680
FY16-17,Expense,City Administrator,1010,,5850
FY16-17,Expense,City Administrator,1010,,44015
FY16-17,Expense,City Administrator,1610,,27455
FY16-17,Expense,City Administrator,1610,,50023
FY16-17,Expense,City Administrator,1010,,500
FY16-17,Expense,City Administrator,1010,,20630
FY16-17,Expense,City Administrator,2415,,22786
FY16-17,Expense,City Administrator,1010,,3000
FY16-17,Expense,City Administrator,2415,,25000
FY16-17,Expense,City Administrator,2415,,9571
FY16-17,Expense,City Administrator,1610,,15000
FY16-17,Expense,City Administrator,1770,,25000
FY16-17,Expense,City Administrator,2412,,5000
FY16-17,Expense,City Administrator,1010,,100
FY16-17,Expense,City Administrator,1760,,1260
FY16-17,Expense,City Administrator,2415,,800
FY16-17,Expense,City Administrator,1010,,1350
FY16-17,Expense,City Administrator,1010,,17235
FY16-17,Expense,City Administrator,1010,,1213
FY16-17,Expense,City Administrator,1610,,8870
FY16-17,Expense,City Administrator,1610,,660
FY16-17,Expense,City Administrator,1010,,2400
FY16-17,Expense,City Administrator,1010,,30770
FY16-17,Expense,City Administrator,1010,,130000
FY16-17,Expense,City Administrator,1610,,7896
FY16-17,Expense,City Administrator,1610,,102
FY16-17,Expense,City Administrator,1010,,5750
FY16-17,Expense,City Administrator,1010,,18480
FY16-17,Expense,City Administrator,1760,,8405
FY16-17,Expense,City Administrator,1010,,26705
FY16-17,Expense,City Administrator,1010,,13345
FY16-17,Expense,City Administrator,1610,,108046
FY16-17,Expense,City Administrator,2415,,240
FY16-17,Expense,City Administrator,2252,,40328
FY16-17,Expense,City Administrator,1010,,3589
FY16-17,Expense,City Administrator,2250,,5000
FY16-17,Expense,City Administrator,1010,,300
FY16-17,Expense,City Administrator,2415,,49058
FY16-17,Expense,City Administrator,1010,,48379
FY16-17,Expense,City Administrator,1750,,10839
FY16-17,Expense,City Administrator,1010,,680
FY16-17,Expense,City Administrator,1010,,75000
FY16-17,Expense,City Administrator,1010,,628016
FY16-17,Expense,City Administrator,1010,,215760
FY16-17,Expense,City Administrator,2415,,840
FY16-17,Expense,City Administrator,1010,,3500
FY16-17,Expense,City Administrator,1610,,1768
FY16-17,Expense,City Administrator,1610,,176
FY16-17,Expense,City Administrator,1010,,23711
FY16-17,Expense,City Administrator,2252,,20352
FY16-17,Expense,City Administrator,2415,,97211
FY16-17,Expense,City Administrator,1760,,3813
FY16-17,Expense,City Administrator,1010,,1700
FY16-17,Expense,City Administrator,1010,,4240
FY16-17,Expense,City Administrator,1010,,50913
FY16-17,Expense,City Administrator,1750,,6379
FY16-17,Expense,City Administrator,1010,,9450
FY16-17,Expense,City Administrator,1010,,500
FY16-17,Expense,City Administrator,1010,,520
FY16-17,Expense,City Administrator,1010,,45376
FY16-17,Expense,City Administrator,1010,,1000
FY16-17,Expense,City Administrator,1010,,2970
FY16-17,Expense,City Administrator,2415,,25000
FY16-17,Expense,City Administrator,2415,,6192
FY16-17,Expense,City Administrator,1010,,850
FY16-17,Expense,City Administrator,2252,,18516
FY16-17,Expense,City Administrator,2252,,189360
FY16-17,Expense,City Administrator,1010,,1170
FY16-17,Expense,City Administrator,1010,,1814
FY16-17,Expense,City Administrator,2999,,-242640
FY16-17,Expense,City Administrator,1010,,647436
FY16-17,Expense,City Administrator,1610,,80000
FY16-17,Expense,City Administrator,2999,,49277
FY16-17,Expense,City Administrator,1750,,40
FY16-17,Expense,City Administrator,1010,,4200
FY16-17,Expense,City Administrator,1010,,95863
FY16-17,Expense,City Administrator,1010,,800
FY16-17,Expense,City Administrator,2252,,310047
FY16-17,Expense,City Administrator,2415,,20845
FY16-17,Expense,City Administrator,2252,,17371
FY16-17,Expense,City Administrator,1610,,1727
FY16-17,Expense,City Administrator,1750,,4236
FY16-17,Expense,City Administrator,2415,,44634
FY16-17,Expense,City Administrator,1760,,12992
FY16-17,Expense,City Administrator,1010,,89913
FY16-17,Expense,City Administrator,1010,,2488
FY16-17,Expense,City Administrator,1610,,63591
FY16-17,Expense,City Administrator,1750,,105
FY16-17,Expense,City Administrator,2417,,433163
FY16-17,Expense,City Administrator,1010,,480
FY16-17,Expense,City Administrator,2252,,7976
FY16-17,Expense,City Administrator,2252,,11978
FY16-17,Expense,City Administrator,1010,,59640
FY16-17,Expense,City Administrator,1010,,1282891
FY16-17,Expense,City Administrator,2252,,351
FY16-17,Expense,City Administrator,2252,,204
FY16-17,Expense,City Administrator,1610,,20175
FY16-17,Expense,City Administrator,2999,,107323
FY16-17,Expense,City Administrator,2999,,31877
FY16-17,Expense,City Administrator,1010,,374
FY16-17,Expense,City Administrator,7760,,25000
FY16-17,Expense,City Administrator,1010,,44932
FY16-17,Expense,City Administrator,1010,,22676
FY16-17,Expense,City Administrator,1610,,98300
FY16-17,Expense,City Administrator,2999,,54163
FY16-17,Expense,City Administrator,1010,,7500
FY16-17,Expense,City Administrator,2252,,8767
FY16-17,Expense,City Administrator,2415,,28874
FY16-17,Expense,City Administrator,1760,,28296
FY16-17,Expense,City Administrator,1010,,30306
FY16-17,Expense,City Administrator,1010,,1000
FY16-17,Expense,City Administrator,1010,,18774
FY16-17,Expense,City Administrator,1010,,28473
FY16-17,Expense,City Administrator,1010,,589033
FY16-17,Expense,City Administrator,2252,,5160
FY16-17,Expense,City Administrator,1760,,14280
FY16-17,Expense,City Administrator,1610,,214094
FY16-17,Expense,City Administrator,1750,,9861
FY16-17,Expense,City Administrator,1010,,41283
FY16-17,Expense,City Administrator,1010,,75000
FY16-17,Expense,City Administrator,1010,,270740
FY16-17,Expense,City Administrator,1010,,3150
FY16-17,Expense,City Administrator,1010,,228644
FY16-17,Expense,City Administrator,1010,,650
FY16-17,Expense,City Administrator,1010,,4959
FY16-17,Expense,City Administrator,1010,,45423
FY16-17,Expense,City Administrator,1010,,41325
FY16-17,Expense,City Administrator,1010,,41
FY16-17,Expense,City Administrator,1010,,497978
FY16-17,Expense,City Administrator,1010,,90005
FY16-17,Expense,City Administrator,1010,,2320
FY16-17,Expense,City Administrator,1010,,26733
FY16-17,Expense,City Administrator,1010,,310
FY16-17,Expense,City Administrator,1010,,147910
FY16-17,Expense,City Administrator,1010,,10890
FY16-17,Expense,City Administrator,1010,,70000
FY16-17,Expense,City Administrator,1010,,251315
FY16-17,Expense,City Administrator,1010,,1170
FY16-17,Expense,City Administrator,1010,,4200
FY16-17,Expense,City Administrator,1010,,180
FY16-17,Expense,City Administrator,1010,,4790
FY16-17,Expense,City Administrator,1010,,1010
FY16-17,Expense,City Administrator,1010,,42104
FY16-17,Expense,City Administrator,1010,,90
FY16-17,Expense,City Administrator,1010,,30
FY16-17,Expense,City Administrator,1010,,420
FY16-17,Expense,City Administrator,1010,,200
FY16-17,Expense,City Administrator,1010,,71541
FY16-17,Expense,City Administrator,1010,,930
FY16-17,Expense,City Administrator,1010,,2000
FY16-17,Expense,City Administrator,1010,,141758
FY16-17,Expense,City Administrator,1010,,65087
FY16-17,Expense,City Administrator,1010,,560
FY16-17,Expense,City Administrator,1010,,50
FY16-17,Expense,City Administrator,1010,,2580
FY16-17,Expense,City Administrator,1010,,190
FY16-17,Expense,City Administrator,1010,,2400
FY16-17,Expense,City Administrator,1010,,1000
FY16-17,Expense,City Administrator,1010,,90
FY16-17,Expense,City Administrator,1010,,188496
FY16-17,Expense,City Administrator,1010,,200
FY16-17,Expense,City Administrator,1010,,110
FY16-17,Expense,City Administrator,1010,,171491
FY16-17,Expense,City Administrator,1010,,100000
FY16-17,Expense,City Administrator,1010,,110937
FY16-17,Expense,City Administrator,1010,,200
FY16-17,Expense,City Administrator,1010,,8400
FY16-17,Expense,City Administrator,1010,,2000
FY16-17,Expense,City Administrator,1010,,250
FY16-17,Expense,City Administrator,1010,,130
FY16-17,Expense,City Administrator,1010,,750
FY16-17,Expense,City Administrator,1010,,1000
FY16-17,Expense,City Administrator,1010,,200
FY16-17,Expense,City Administrator,1010,,5000
FY16-17,Expense,City Administrator,1010,,200
FY16-17,Expense,City Administrator,1010,,1650
FY16-17,Expense,City Administrator,1010,,360
FY16-17,Expense,City Administrator,1010,,373504
FY16-17,Expense,City Administrator,1010,,1250
FY16-17,Expense,City Administrator,1010,,521365
FY16-17,Expense,City Administrator,1010,,13710
FY16-17,Expense,City Administrator,1010,,31750
FY16-17,Expense,City Administrator,1010,,8659
FY16-17,Expense,City Administrator,1010,,17480
FY16-17,Expense,City Administrator,1010,,341479
FY16-17,Expense,City Administrator,1010,,4744
FY16-17,Expense,City Administrator,1010,,3000
FY16-17,Expense,City Administrator,1010,,10175
FY16-17,Expense,City Administrator,1010,,2165
FY16-17,Expense,City Administrator,1010,,122299
FY16-17,Expense,City Administrator,1010,,1443
FY16-17,Expense,City Administrator,1010,,1443
FY16-17,Expense,City Administrator,1010,,12267
FY16-17,Expense,City Administrator,1010,,10000
FY16-17,Expense,City Administrator,1010,,1135512
FY16-17,Expense,City Administrator,1010,,2600
FY16-17,Expense,City Administrator,1010,,130000
FY16-17,Expense,City Administrator,1010,,723
FY16-17,Expense,City Administrator,1010,,78076
FY16-17,Expense,City Administrator,1010,,391272
FY16-17,Expense,City Administrator,1010,,581221
FY16-17,Expense,City Administrator,1010,,3537
FY16-17,Expense,City Administrator,1010,,12285
FY16-17,Expense,City Administrator,1010,,14000
FY16-17,Expense,City Administrator,1010,,26373
FY16-17,Expense,City Administrator,1010,,52258
FY16-17,Expense,City Administrator,1010,,15521
FY16-17,Expense,City Administrator,1010,,3030
FY16-17,Expense,City Administrator,1010,,1500
FY16-17,Expense,City Administrator,1010,,9010
FY16-17,Expense,City Administrator,1010,,10340
FY16-17,Expense,City Administrator,1010,,4200
FY16-17,Expense,City Administrator,1010,,245731
FY16-17,Expense,City Administrator,1010,,3380
FY16-17,Expense,City Administrator,1010,,2430
FY16-17,Expense,City Administrator,1010,,3900
FY16-17,Expense,City Administrator,1010,,53400
FY16-17,Expense,City Administrator,1010,,124013
FY16-17,Expense,City Administrator,1010,,112826
FY16-17,Expense,City Administrator,1010,,250000
FY16-17,Expense,City Administrator,1010,,1593
FY16-17,Expense,City Administrator,1010,,1295
FY16-17,Expense,City Administrator,1010,,80
FY16-17,Expense,City Administrator,1010,,72986
FY16-17,Expense,City Administrator,1010,,23994
FY16-17,Expense,City Administrator,1010,,1880
FY16-17,Expense,City Administrator,1010,,1058
FY16-17,Expense,City Administrator,1010,,6216
FY16-17,Expense,City Administrator,1010,,17199
FY16-17,Expense,City Administrator,5671,,65756
FY16-17,Expense,City Administrator,5671,,19531
FY16-17,Expense,City Administrator,1010,,121960
FY16-17,Expense,City Administrator,1010,,14656
FY16-17,Expense,City Administrator,1010,,207225
FY16-17,Expense,City Administrator,1010,,188532
FY16-17,Expense,City Administrator,1010,,9481
FY16-17,Expense,City Administrator,5671,,140
FY16-17,Expense,City Administrator,1010,,26587
FY16-17,Expense,City Administrator,1010,,31920
FY16-17,Expense,City Administrator,1010,,16109
FY16-17,Expense,City Administrator,1010,,240
FY16-17,Expense,City Administrator,1010,,29223
FY16-17,Expense,City Administrator,5671,,33185
FY16-17,Expense,City Administrator,5671,,30192
FY16-17,Expense,City Administrator,5671,,441
FY16-17,Expense,City Administrator,1010,,57905
FY16-17,Expense,City Administrator,1010,,410615
FY16-17,Expense,City Administrator,5671,,12970
FY16-17,Expense,City Administrator,1010,,2522
FY16-17,Expense,City Administrator,1010,,5000
FY16-17,Expense,City Administrator,1010,,105356
FY16-17,Expense,City Administrator,1010,,354714
FY16-17,Expense,City Administrator,1010,,1000
FY16-17,Expense,City Administrator,1010,,700
FY16-17,Expense,City Administrator,1010,,50000
FY16-17,Expense,City Administrator,1010,,4200
FY16-17,Expense,City Administrator,1010,,9655
FY16-17,Expense,City Administrator,1010,,2000
FY16-17,Expense,City Administrator,1010,,162865
FY16-17,Expense,City Administrator,1010,,46600
FY16-17,Expense,City Administrator,1010,,-28502
FY16-17,Expense,City Administrator,1010,,179014
FY16-17,Expense,City Administrator,1010,,250
FY16-17,Expense,City Administrator,1010,,6935
FY16-17,Expense,City Administrator,2250,,4492
FY16-17,Expense,City Administrator,1010,,9290
FY16-17,Expense,City Administrator,1610,,24425
FY16-17,Expense,City Administrator,1010,,10070
FY16-17,Expense,City Administrator,1010,,500
FY16-17,Expense,City Administrator,1010,,399
FY16-17,Expense,City Administrator,2310,,25089
FY16-17,Expense,City Administrator,1010,,110914
FY16-17,Expense,City Administrator,1010,,188458
FY16-17,Expense,City Administrator,1610,,7255
FY16-17,Expense,City Administrator,1010,,2250
FY16-17,Expense,City Administrator,1010,,6295
FY16-17,Expense,City Administrator,1010,,7950
FY16-17,Expense,City Administrator,1010,,373428
FY16-17,Expense,City Administrator,1010,,500
FY16-17,Expense,City Administrator,1010,,8410
FY16-17,Expense,City Administrator,1010,,5000
FY16-17,Expense,City Administrator,1010,,171456
FY16-17,Expense,City Administrator,1010,,1200
FY16-17,Expense,City Administrator,1010,,500
FY16-17,Expense,City Administrator,5130,,3320
FY16-17,Expense,City Administrator,1010,,2125
FY16-17,Expense,City Administrator,1010,,875
FY16-17,Expense,City Administrator,1010,,90000
FY16-17,Expense,City Administrator,2310,,884
FY16-17,Expense,City Administrator,1610,,12327
FY16-17,Expense,City Administrator,1610,,11215
FY16-17,Expense,City Administrator,2252,,18000
FY16-17,Expense,City Administrator,1010,,750
FY16-17,Expense,City Administrator,2412,,4453
FY16-17,Expense,City Administrator,2241,,17657
FY16-17,Expense,City Clerk,1610,,21051
FY16-17,Expense,City Clerk,1010,,2660
FY16-17,Expense,City Clerk,1010,,22500
FY16-17,Expense,City Clerk,1010,,150
FY16-17,Expense,City Clerk,1610,,2373
FY16-17,Expense,City Clerk,1010,,5220
FY16-17,Expense,City Clerk,1010,,4750
FY16-17,Expense,City Clerk,1010,,69815
FY16-17,Expense,City Clerk,1010,,250
FY16-17,Expense,City Clerk,1010,,660
FY16-17,Expense,City Clerk,1010,,2320
FY16-17,Expense,City Clerk,1610,,1396
FY16-17,Expense,City Clerk,1010,,2440
FY16-17,Expense,City Clerk,1010,,99747
FY16-17,Expense,City Clerk,1010,,35233
FY16-17,Expense,City Clerk,1010,,280
FY16-17,Expense,City Clerk,1010,,810
FY16-17,Expense,City Clerk,1010,,20736
FY16-17,Expense,City Clerk,1610,,160
FY16-17,Expense,City Clerk,1010,,10210
FY16-17,Expense,City Clerk,1010,,270
FY16-17,Expense,City Clerk,1010,,3465
FY16-17,Expense,City Clerk,1010,,3690
FY16-17,Expense,City Clerk,1010,,50339
FY16-17,Expense,City Clerk,1010,,1080
FY16-17,Expense,City Clerk,1010,,490
FY16-17,Expense,City Clerk,1010,,800
FY16-17,Expense,City Clerk,1010,,20350
FY16-17,Expense,City Clerk,1010,,1390
FY16-17,Expense,City Clerk,1010,,350
FY16-17,Expense,City Clerk,1010,,610
FY16-17,Expense,City Clerk,1010,,520
FY16-17,Expense,City Clerk,1010,,77883
FY16-17,Expense,City Clerk,1010,,120394
FY16-17,Expense,City Clerk,1010,,3780
FY16-17,Expense,City Clerk,1010,,52956
FY16-17,Expense,City Clerk,1010,,90
FY16-17,Expense,City Clerk,1010,,1170
FY16-17,Expense,City Clerk,1010,,5240
FY16-17,Expense,City Clerk,1010,,125228
FY16-17,Expense,City Clerk,1010,,63198
FY16-17,Expense,City Clerk,1010,,11570
FY16-17,Expense,City Clerk,1010,,440
FY16-17,Expense,City Clerk,1010,,700
FY16-17,Expense,City Clerk,1610,,6252
FY16-17,Expense,City Clerk,1010,,14380
FY16-17,Expense,City Clerk,1010,,130
FY16-17,Expense,City Clerk,1010,,760
FY16-17,Expense,City Clerk,1010,,2600
FY16-17,Expense,City Clerk,1010,,380
FY16-17,Expense,City Clerk,1010,,2680
FY16-17,Expense,City Clerk,1010,,580
FY16-17,Expense,City Clerk,1010,,1140
FY16-17,Expense,City Clerk,1010,,1980
FY16-17,Expense,City Clerk,1010,,1420
FY16-17,Expense,City Clerk,1010,,45798
FY16-17,Expense,City Clerk,1610,,9666
FY16-17,Expense,City Clerk,1010,,720
FY16-17,Expense,City Clerk,1010,,196417
FY16-17,Expense,City Clerk,1010,,29626
FY16-17,Expense,City Clerk,1010,,132332
FY16-17,Expense,City Clerk,1610,,4702
FY16-17,Expense,City Clerk,1010,,3480
FY16-17,Expense,City Clerk,1010,,380
FY16-17,Expense,City Clerk,1010,,720
FY16-17,Expense,City Clerk,1010,,850
FY16-17,Expense,City Clerk,1610,,2159
FY16-17,Expense,City Clerk,1610,,10624
FY16-17,Expense,City Clerk,1010,,32055
FY16-17,Expense,City Clerk,1610,,50
FY16-17,Expense,City Clerk,1010,,180
FY16-17,Expense,City Clerk,1010,,262215
FY16-17,Expense,City Clerk,1010,,178435
FY16-17,Expense,City Clerk,1010,,1020
FY16-17,Expense,City Clerk,1010,,1120
FY16-17,Expense,City Clerk,1010,,3200
FY16-17,Expense,City Clerk,1010,,4460
FY16-17,Expense,City Clerk,1010,,57497
FY16-17,Expense,City Clerk,1010,,250
FY16-17,Expense,City Clerk,1010,,1770
FY16-17,Expense,City Clerk,1010,,37195
FY16-17,Expense,City Clerk,1610,,9112
FY16-17,Expense,City Clerk,1610,,420
FY16-17,Expense,City Clerk,1010,,990
FY16-17,Expense,City Clerk,1010,,810
FY16-17,Expense,City Clerk,1010,,67760
FY16-17,Expense,City Clerk,1010,,1830
FY16-17,Expense,City Clerk,1010,,2320
FY16-17,Expense,City Clerk,1010,,10340
FY16-17,Expense,City Clerk,1010,,1050
FY16-17,Expense,City Clerk,1010,,200
FY16-17,Expense,City Clerk,1010,,780
FY16-17,Expense,City Attorney,1610,,7782
FY16-17,Expense,City Attorney,1100,,360
FY16-17,Expense,City Attorney,1010,,757934
FY16-17,Expense,City Attorney,2415,,25715
FY16-17,Expense,City Attorney,1010,,94613
FY16-17,Expense,City Attorney,2413,,1125
FY16-17,Expense,City Attorney,1710,,950
FY16-17,Expense,City Attorney,1010,,13600
FY16-17,Expense,City Attorney,1010,,2200
FY16-17,Expense,City Attorney,1010,,250
FY16-17,Expense,City Attorney,1010,,187476
FY16-17,Expense,City Attorney,1010,,10116
FY16-17,Expense,City Attorney,3100,,46139
FY16-17,Expense,City Attorney,1100,,13737
FY16-17,Expense,City Attorney,1010,,8440
FY16-17,Expense,City Attorney,1010,,55683
FY16-17,Expense,City Attorney,1100,,83745
FY16-17,Expense,City Attorney,3100,,2074
FY16-17,Expense,City Attorney,2415,,2075
FY16-17,Expense,City Attorney,1100,,281955
FY16-17,Expense,City Attorney,1010,,1170
FY16-17,Expense,City Attorney,1710,,23645
FY16-17,Expense,City Attorney,2413,,15564
FY16-17,Expense,City Attorney,1710,,290
FY16-17,Expense,City Attorney,1010,,326176
FY16-17,Expense,City Attorney,1100,,7564
FY16-17,Expense,City Attorney,1150,,1419
FY16-17,Expense,City Attorney,1010,,4750
FY16-17,Expense,City Attorney,1010,,114995
FY16-17,Expense,City Attorney,1100,,21770
FY16-17,Expense,City Attorney,1100,,11693
FY16-17,Expense,City Attorney,1010,,4310
