budget_year,department,account_type,fund_code,account_category,amount
FY18-19,Police,Revenue,2995,Grants & Subsidies,20000.0
FY18-19,City Attorney,Revenue,1100,Miscellaneous Revenue,-48900.0
FY18-19,City Attorney,Revenue,1010,Service Charges,40.0
FY18-19,Human Services,Revenue,1780,Interfund Transfers,-16075369.0
FY18-19,Human Services,Revenue,2128,Grants & Subsidies,-6897523.0
FY18-19,Public Works,Revenue,5330,Local Tax,-5000000.0
FY18-19,Planning & Building,Revenue,2415,Service Charges,-4045465.0
FY18-19,Planning & Building,Revenue,2415,Service Charges,-2152590.0
FY18-19,Human Services,Revenue,2128,Interfund Transfers,-2132400.0
FY18-19,Planning & Building,Revenue,2415,Service Charges,-1497703.0
FY18-19,Human Services,Revenue,2114,Grants & Subsidies,-922216.0
FY18-19,Human Services,Revenue,2114,Interfund Transfers,-603622.0
FY18-19,Planning & Building,Revenue,2415,Service Charges,-584696.0
FY18-19,Public Works,Revenue,1710,Service Charges,-462500.0
FY18-19,Transportation,Revenue,2415,Service Charges,-369535.0
FY18-19,Human Services,Revenue,2114,Interfund Transfers,-364282.0
FY18-19,Non-Departmental,Revenue,1100,Miscellaneous Revenue,-351100.0
FY18-19,Planning & Building,Revenue,2415,Licenses & Permits,-310641.0
FY18-19,Public Works,Revenue,2990,Grants & Subsidies,-210000.0
FY18-19,Finance,Revenue,1010,Business License Tax,-200000.0
FY18-19,Human Services,Revenue,2102,Grants & Subsidies,-195460.0
FY18-19,Finance,Revenue,1010,Business License Tax,-180000.0
FY18-19,City Attorney,Revenue,1100,Miscellaneous Revenue,-149700.0
FY18-19,Human Services,Revenue,2128,Interfund Transfers,-144103.0
FY18-19,Human Services,Revenue,2128,Interfund Transfers,-144103.0
FY18-19,Planning & Building,Revenue,2415,Licenses & Permits,-138412.0
FY18-19,Human Services,Revenue,2159,Grants & Subsidies,-137130.0
FY18-19,Human Services,Revenue,2128,Interfund Transfers,-133496.0
FY18-19,Police,Revenue,2999,Grants & Subsidies,-130533.0
FY18-19,Economic & Workforce Development,Revenue,2195,Grants & Subsidies,-107827.0
FY18-19,Human Services,Revenue,2102,Interfund Transfers,-97971.0
FY18-19,Finance,Revenue,1200,Local Tax,-90412.0
FY18-19,Police,Revenue,2411,Service Charges,-86738.0
FY18-19,Public Works,Revenue,1710,Service Charges,-86143.0
FY18-19,Planning & Building,Revenue,2415,Service Charges,-77133.0
FY18-19,Human Services,Revenue,2120,Interfund Transfers,-71572.0
FY18-19,Economic & Workforce Development,Revenue,2195,Grants & Subsidies,-63577.0
FY18-19,Economic & Workforce Development,Revenue,2195,Grants & Subsidies,-59450.0
FY18-19,Human Services,Revenue,2195,Interfund Transfers,-55286.0
FY18-19,Fire,Revenue,2160,Grants & Subsidies,-50000.0
FY18-19,Human Services,Revenue,2108,Interfund Transfers,-46028.0
FY18-19,Human Services,Revenue,2128,Interfund Transfers,-41636.0
FY18-19,Human Services,Revenue,2102,Interfund Transfers,-38679.0
FY18-19,Planning & Building,Revenue,2415,Licenses & Permits,-35668.0
FY18-19,Parks & Recreation,Revenue,1820,Interfund Transfers,-34996.0
FY18-19,Human Services,Revenue,2216,Service Charges,-31823.0
FY18-19,Human Services,Revenue,2195,Interfund Transfers,-22373.0
FY18-19,Human Services,Revenue,2128,Interfund Transfers,-20818.0
FY18-19,Police,Revenue,2999,Interfund Transfers,-20324.0
FY18-19,Police,Revenue,2995,Grants & Subsidies,-20000.0
FY18-19,Planning & Building,Revenue,2415,Licenses & Permits,-18821.0
FY18-19,Human Services,Revenue,2108,Interfund Transfers,-18766.0
FY18-19,Human Services,Revenue,2128,Interfund Transfers,-17905.0
FY18-19,Planning & Building,Revenue,2415,Licenses & Permits,-17779.0
FY18-19,Finance,Revenue,4500,Interest Income,-15000.0
FY18-19,Economic & Workforce Development,Revenue,2195,Grants & Subsidies,-11550.0
FY18-19,Human Services,Revenue,2114,Interfund Transfers,-11359.0
FY18-19,Finance,Revenue,7100,Transfers from Fund Balance,-8949.0
FY18-19,Finance,Revenue,4550,Interest Income,-500.0
FY18-19,Human Services,Revenue,2120,Interfund Transfers,-7867.0
FY18-19,Human Services,Revenue,2160,Interfund Transfers,-7125.0
FY18-19,Parks & Recreation,Revenue,1820,Interfund Transfers,-6851.0
FY18-19,Human Services,Revenue,2103,Grants & Subsidies,-6000.0
FY18-19,Planning & Building,Revenue,2415,Licenses & Permits,-5546.0
FY18-19,Planning & Building,Revenue,2415,Service Charges,-2048.0
FY18-19,Human Services,Revenue,2103,Interfund Transfers,-2006.0
FY18-19,Human Services,Revenue,2160,Interfund Transfers,-1683.0
FY18-19,Public Works,Revenue,1710,Miscellaneous Revenue,-1500.0
FY18-19,Human Services,Revenue,2213,Interfund Transfers,-979.0
FY18-19,Planning & Building,Revenue,2415,Service Charges,-542.0
FY18-19,Transportation,Revenue,2415,Service Charges,-507.0
FY18-19,Transportation,Revenue,2415,Licenses & Permits,-324.0
FY18-19,Transportation,Revenue,2415,Licenses & Permits,-324.0
FY18-19,Transportation,Revenue,2415,Service Charges,-324.0
FY18-19,Planning & Building,Revenue,2415,Service Charges,-312.0
FY18-19,Transportation,Revenue,2415,Licenses & Permits,-290.0
FY18-19,Planning & Building,Revenue,2415,Service Charges,-158.0
FY18-19,Planning & Building,Revenue,2415,Service Charges,-138.0
FY18-19,Planning & Building,Revenue,2415,Service Charges,-110.0
FY18-19,Finance,Revenue,1010,Fines & Penalties,-99.0
FY18-19,Planning & Building,Revenue,2415,Service Charges,-99.0
FY18-19,Finance,Revenue,2417,Service Charges,-68.0
FY18-19,Human Services,Revenue,2128,Interfund Transfers,-48.0
FY18-19,Planning & Building,Revenue,2415,Service Charges,-37.0
FY18-19,Planning & Building,Revenue,2415,Service Charges,-29.0
FY18-19,Human Services,Revenue,2128,Interfund Transfers,-16.0
FY18-19,Planning & Building,Revenue,2415,Service Charges,-16.0
FY18-19,Human Services,Revenue,2103,Grants & Subsidies,-10.0
FY18-19,Planning & Building,Revenue,2415,Service Charges,-10.0
FY18-19,Planning & Building,Revenue,2415,Service Charges,-5.0
FY18-19,Planning & Building,Revenue,2415,Service Charges,-4.0
FY18-19,Finance,Revenue,1010,Fines & Penalties,1.0
FY18-19,Parks & Recreation,Revenue,1820,Service Charges,2.0
FY18-19,City Clerk,Revenue,1760,Service Charges,3.0
FY18-19,Transportation,Revenue,2415,Fines & Penalties,6.0
FY18-19,Parks & Recreation,Revenue,1820,Service Charges,6.0
FY18-19,Parks & Recreation,Revenue,3200,Fines & Penalties,7.0
FY18-19,Human Services,Revenue,2159,Interfund Transfers,9.0
FY18-19,Transportation,Revenue,1750,Service Charges,10.0
FY18-19,Police,Revenue,2411,Fines & Penalties,13.0
FY18-19,City Attorney,Revenue,1010,Fines & Penalties,15.0
FY18-19,Human Services,Revenue,2128,Interfund Transfers,16.0
FY18-19,Finance,Revenue,2415,Fines & Penalties,25.0
FY18-19,Finance,Revenue,3200,Fines & Penalties,25.0
FY18-19,Police,Revenue,1010,Licenses & Permits,25.0
FY18-19,Human Services,Revenue,2128,Interfund Transfers,32.0
FY18-19,Police,Revenue,1010,Fines & Penalties,45.0
FY18-19,Planning & Building,Revenue,2415,Service Charges,45.0
FY18-19,Finance,Revenue,2411,Fines & Penalties,50.0
FY18-19,Planning & Building,Revenue,2415,Service Charges,52.0
FY18-19,Public Library,Revenue,2241,Service Charges,56.0
FY18-19,Police,Revenue,2411,Fines & Penalties,65.0
FY18-19,Non-Departmental,Revenue,1010,Interest Income,69.0
FY18-19,Transportation,Revenue,2230,Service Charges,74.0
FY18-19,Finance,Revenue,1010,Fines & Penalties,100.0
FY18-19,Public Works,Revenue,3100,Miscellaneous Revenue,100.0
FY18-19,Planning & Building,Revenue,2415,Fines & Penalties,124.0
FY18-19,Finance,Revenue,1010,Service Charges,150.0
FY18-19,Finance,Revenue,1010,Fines & Penalties,175.0
FY18-19,Finance,Revenue,1010,Fines & Penalties,175.0
FY18-19,Public Works,Revenue,2415,Service Charges,180.0
FY18-19,City Clerk,Revenue,1010,Service Charges,195.0
FY18-19,Police,Revenue,1010,Licenses & Permits,200.0
FY18-19,Parks & Recreation,Revenue,1820,Service Charges,213.0
FY18-19,City Administrator,Revenue,1010,Service Charges,220.0
FY18-19,Parks & Recreation,Revenue,1820,Service Charges,225.0
FY18-19,City Clerk,Revenue,1010,Service Charges,241.0
FY18-19,Planning & Building,Revenue,2415,Licenses & Permits,245.0
FY18-19,Finance,Revenue,2411,Fines & Penalties,250.0
FY18-19,Parks & Recreation,Revenue,1820,Service Charges,250.0
FY18-19,Transportation,Revenue,2415,Licenses & Permits,272.0
FY18-19,Parks & Recreation,Revenue,1820,Service Charges,306.0
FY18-19,Transportation,Revenue,1750,Service Charges,309.0
FY18-19,Transportation,Revenue,2230,Service Charges,318.0
FY18-19,Transportation,Revenue,2230,Miscellaneous Revenue,350.0
FY18-19,Police,Revenue,1010,Licenses & Permits,368.0
FY18-19,Transportation,Revenue,2310,Service Charges,369.0
FY18-19,Planning & Building,Revenue,2415,Service Charges,393.0
FY18-19,Transportation,Revenue,2415,Service Charges,400.0
FY18-19,Planning & Building,Revenue,2415,Service Charges,400.0
FY18-19,Parks & Recreation,Revenue,1820,Service Charges,416.0
FY18-19,Finance,Revenue,1010,Service Charges,428.0
FY18-19,Transportation,Revenue,2230,Miscellaneous Revenue,450.0
FY18-19,Information Technology,Revenue,4210,Internal Service Funds,450.0
FY18-19,Non-Departmental,Revenue,1100,Interfund Transfers,470.0
FY18-19,Transportation,Revenue,1750,Service Charges,493.0
FY18-19,Parks & Recreation,Revenue,1820,Service Charges,494.0
FY18-19,Police,Revenue,1010,Licenses & Permits,520.0
FY18-19,Human Services,Revenue,2103,Interfund Transfers,541.0
FY18-19,Parks & Recreation,Revenue,1820,Service Charges,542.0
FY18-19,Parks & Recreation,Revenue,1820,Service Charges,548.0
FY18-19,Human Services,Revenue,1010,Service Charges,564.0
FY18-19,Finance,Revenue,1010,Service Charges,575.0
FY18-19,Transportation,Revenue,2415,Licenses & Permits,580.0
FY18-19,Non-Departmental,Revenue,1100,Interfund Transfers,582.0
FY18-19,Planning & Building,Revenue,2415,Licenses & Permits,589.0
FY18-19,Parks & Recreation,Revenue,1820,Service Charges,624.0
FY18-19,Human Services,Revenue,2103,Interfund Transfers,688.0
FY18-19,Planning & Building,Revenue,2415,Service Charges,698.0
FY18-19,Parks & Recreation,Revenue,1820,Service Charges,750.0
FY18-19,Human Services,Revenue,2103,Interfund Transfers,777.0
FY18-19,Human Services,Revenue,2160,Interfund Transfers,799.0
FY18-19,Transportation,Revenue,2230,Miscellaneous Revenue,835.0
FY18-19,Parks & Recreation,Revenue,1820,Service Charges,839.0
FY18-19,Police,Revenue,1010,Service Charges,920.0
FY18-19,Human Services,Revenue,2213,Interfund Transfers,979.0
FY18-19,Non-Departmental,Revenue,1100,Interfund Transfers,992.0
FY18-19,Public Library,Revenue,1010,Service Charges,1000.0
FY18-19,Parks & Recreation,Revenue,1820,Service Charges,1040.0
FY18-19,Transportation,Revenue,2230,Service Charges,1050.0
FY18-19,Non-Departmental,Revenue,1100,Interfund Transfers,1061.0
FY18-19,Finance,Revenue,1010,Service Charges,1092.0
FY18-19,Non-Departmental,Revenue,1100,Interfund Transfers,1116.0
FY18-19,Planning & Building,Revenue,2415,Service Charges,1134.0
FY18-19,Human Services,Revenue,2103,Interfund Transfers,1135.0
FY18-19,Finance,Revenue,2415,Fines & Penalties,1218.0
FY18-19,Transportation,Revenue,2211,Miscellaneous Revenue,1220.0
FY18-19,Parks & Recreation,Revenue,1820,Service Charges,1224.0
FY18-19,City Clerk,Revenue,1010,Service Charges,1381.0
FY18-19,Non-Departmental,Revenue,1100,Interfund Transfers,1420.0
FY18-19,Public Works,Revenue,1720,Service Charges,1422.0
FY18-19,Non-Departmental,Revenue,1100,Interfund Transfers,1496.0
FY18-19,Public Works,Revenue,1710,Miscellaneous Revenue,1500.0
FY18-19,Planning & Building,Revenue,2415,Service Charges,1500.0
FY18-19,Planning & Building,Revenue,2415,Fines & Penalties,1536.0
FY18-19,Parks & Recreation,Revenue,1820,Service Charges,1546.0
FY18-19,Parks & Recreation,Revenue,1820,Service Charges,1668.0
FY18-19,Human Services,Revenue,2160,Interfund Transfers,1683.0
FY18-19,Parks & Recreation,Revenue,1820,Service Charges,1729.0
FY18-19,Parks & Recreation,Revenue,1820,Service Charges,1844.0
FY18-19,Non-Departmental,Revenue,1100,Interfund Transfers,1882.0
FY18-19,Finance,Revenue,1010,Fines & Penalties,1925.0
FY18-19,Finance,Revenue,1010,Service Charges,1977.0
FY18-19,Human Services,Revenue,1010,Service Charges,1983.0
FY18-19,Planning & Building,Revenue,2415,Fines & Penalties,2048.0
FY18-19,City Administrator,Revenue,1010,Licenses & Permits,2110.0
FY18-19,Human Services,Revenue,2103,Interfund Transfers,2147.0
FY18-19,Planning & Building,Revenue,2415,Service Charges,2171.0
FY18-19,City Administrator,Revenue,1010,Service Charges,2195.0
FY18-19,Finance,Revenue,1010,Service Charges,2258.0
FY18-19,Police,Revenue,1010,Service Charges,2280.0
FY18-19,Parks & Recreation,Revenue,1820,Service Charges,2305.0
FY18-19,Planning & Building,Revenue,2415,Service Charges,2382.0
FY18-19,Finance,Revenue,1010,Fines & Penalties,2538.0
