budget_year,department,account_type,fund_code,account_category,amount
FY20-21,Mayor,Expense,1010,Civilian Salaries,1404664
FY20-21,Mayor,Expense,1010,Civilian Salaries,39309
FY20-21,City Administrator,Expense,1010,Civilian Salaries,1148418
FY20-21,City Administrator,Expense,1010,Civilian Salaries,44121
FY20-21,City Administrator,Expense,1010,Civilian Salaries,35095
FY20-21,City Administrator,Expense,1010,Civilian Salaries,213450
FY20-21,City Administrator,Expense,1010,Civilian Salaries,274642
FY20-21,City Administrator,Expense,1010,Civilian Salaries,112753
FY20-21,City Administrator,Expense,1010,Civilian Salaries,97193
FY20-21,City Administrator,Expense,1010,Civilian Salaries,305483
FY20-21,City Administrator,Expense,1010,Civilian Salaries,1669034
FY20-21,City Administrator,Expense,1010,Civilian Salaries,252108
FY20-21,City Administrator,Expense,1010,Civilian Salaries,49797
FY20-21,City Administrator,Expense,1010,Civilian Salaries,143858
FY20-21,City Administrator,Expense,1010,Civilian Salaries,537583
FY20-21,City Administrator,Expense,1010,Civilian Salaries,145410
FY20-21,City Administrator,Expense,1010,Civilian Salaries,143844
FY20-21,City Administrator,Expense,1010,Civilian Salaries,35905
FY20-21,City Clerk,Expense,1010,Civilian Salaries,46175
FY20-21,City Clerk,Expense,1010,Civilian Salaries,347328
FY20-21,City Clerk,Expense,1010,Civilian Salaries,58788
FY20-21,City Clerk,Expense,1010,Civilian Salaries,53699
FY20-21,City Clerk,Expense,1010,Civilian Salaries,156608
FY20-21,City Attorney,Expense,1010,Civilian Salaries,447193
FY20-21,City Attorney,Expense,1010,Civilian Salaries,460576
FY20-21,City Attorney,Expense,1010,Civilian Salaries,845358
FY20-21,City Attorney,Expense,1010,Civilian Salaries,867902
FY20-21,City Attorney,Expense,1010,Civilian Salaries,486808
FY20-21,City Attorney,Expense,1010,Civilian Salaries,256910
FY20-21,City Attorney,Expense,1010,Civilian Salaries,928985
FY20-21,City Attorney,Expense,1010,Civilian Salaries,72216
FY20-21,City Attorney,Expense,1010,Civilian Salaries,45973
FY20-21,City Attorney,Expense,1010,Civilian Salaries,265515
FY20-21,City Attorney,Expense,1010,Civilian Salaries,330791
FY20-21,City Attorney,Expense,1010,Civilian Salaries,411531
FY20-21,Human Resources Management Department,Expense,1010,Civilian Salaries,253942
FY20-21,Human Resources Management Department,Expense,1010,Civilian Salaries,1141760
FY20-21,Human Resources Management Department,Expense,1010,Civilian Salaries,73654
FY20-21,Human Resources Management Department,Expense,1010,Civilian Salaries,84121
FY20-21,Human Resources Management Department,Expense,1010,Civilian Salaries,53880
FY20-21,Human Resources Management Department,Expense,1010,Civilian Salaries,80013
FY20-21,Human Resources Management Department,Expense,1010,Civilian Salaries,529007
FY20-21,Human Resources Management Department,Expense,1010,Civilian Salaries,51579
FY20-21,Human Resources Management Department,Expense,1010,Civilian Salaries,99630
FY20-21,Human Resources Management Department,Expense,1010,Civilian Salaries,80013
FY20-21,City Auditor,Expense,1010,Civilian Salaries,884055
FY20-21,Finance Department,Expense,1010,Civilian Salaries,456107
FY20-21,Finance Department,Expense,1010,Civilian Salaries,86624
FY20-21,Finance Department,Expense,1010,Civilian Salaries,394746
FY20-21,Finance Department,Expense,1010,Civilian Salaries,96831
FY20-21,Finance Department,Expense,1010,Civilian Salaries,296673
FY20-21,Finance Department,Expense,1010,Civilian Salaries,81787
FY20-21,Finance Department,Expense,1010,Civilian Salaries,268051
FY20-21,Finance Department,Expense,1010,Civilian Salaries,28446
FY20-21,Finance Department,Expense,1010,Civilian Salaries,674232
FY20-21,Finance Department,Expense,1010,Civilian Salaries,274340
FY20-21,Finance Department,Expense,1010,Civilian Salaries,41664
FY20-21,Finance Department,Expense,1010,Civilian Salaries,63846
FY20-21,Finance Department,Expense,1010,Civilian Salaries,1143266
FY20-21,Finance Department,Expense,1010,Civilian Salaries,57613
FY20-21,Finance Department,Expense,1010,Civilian Salaries,451865
FY20-21,Finance Department,Expense,1010,Civilian Salaries,17524
FY20-21,Finance Department,Expense,1010,Civilian Salaries,67655
FY20-21,Finance Department,Expense,1010,Civilian Salaries,11940
FY20-21,Finance Department,Expense,1010,Civilian Salaries,614923
FY20-21,Finance Department,Expense,1010,Civilian Salaries,122076
FY20-21,Finance Department,Expense,1010,Civilian Salaries,319461
FY20-21,Finance Department,Expense,1010,Civilian Salaries,38421
FY20-21,Finance Department,Expense,1010,Civilian Salaries,40837
FY20-21,Finance Department,Expense,1010,Civilian Salaries,783170
