FundCode,FundDescription,OperatingUnit,OperatingUnitDescription,Agency,Agency Name,ProgramID,ProgramName,LineOfBusinessID,LOBName,Account,Character Class,Class Description,Account Description,Operating or Non,FY2016 Budget
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,010,Mayor and Council,0100101,MAYOR,01001,Mayors Office,51000004,51,Personnel Services,BUDGET-VACANCY DISCOUNT       ,Operating,-3598
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,010,Mayor and Council,0100101,MAYOR,01001,Mayors Office,51010001,51,Personnel Services,SALARIES AND WAGES            ,Operating,170007
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,010,Mayor and Council,0100101,MAYOR,01001,Mayors Office,51010004,51,Personnel Services,PART TIME & TEMPORARY WAGES   ,Operating,14000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,010,Mayor and Council,0100101,MAYOR,01001,Mayors Office,51070001,51,Personnel Services,HEALTH AND WELFARE INSURANCE  ,Operating,25052
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,010,Mayor and Council,0100101,MAYOR,01001,Mayors Office,51070003,51,Personnel Services,INDEMNITY ADMIN               ,Operating,12526
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,010,Mayor and Council,0100101,MAYOR,01001,Mayors Office,51070004,51,Personnel Services,RETIREMENT PENSION CONTRIB    ,Operating,9871
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,010,Mayor and Council,0100101,MAYOR,01001,Mayors Office,51130010,51,Personnel Services,MILEAGE REIMBURSEMENT         ,Operating,3750
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,010,Mayor and Council,0100101,MAYOR,01001,Mayors Office,51510004,51,Personnel Services,EMPLOYEE PARKING              ,Operating,1162
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,010,Mayor and Council,0100101,MAYOR,01001,Mayors Office,52130001,52,Professional Services,MEMBERSHIPS                   ,Operating,600
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,010,Mayor and Council,0100101,MAYOR,01001,Mayors Office,52280004,52,Professional Services,CHARGEBACK-IT                 ,Operating,18115
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,010,Mayor and Council,0100101,MAYOR,01001,Mayors Office,52280013,52,Professional Services,CHARGEBACK-PRINT SHOP         ,Operating,1224
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,010,Mayor and Council,0100101,MAYOR,01001,Mayors Office,52290010,52,Professional Services,CHARGEBACK-POSTAGE            ,Operating,1193
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,010,Mayor and Council,0100101,MAYOR,01001,Mayors Office,52370002,52,Professional Services,EMPLOYEE TRAVEL REIMBURSEMENT ,Operating,24000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,010,Mayor and Council,0100101,MAYOR,01001,Mayors Office,52890001,52,Professional Services,OTHER SERVICES AND CHARGES    ,Operating,2008
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,010,Mayor and Council,0100101,MAYOR,01001,Mayors Office,53010001,53,Materials and Supplies,OFFICE SUPPLIES               ,Operating,1000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,010,Mayor and Council,0100101,MAYOR,01001,Mayors Office,53890004,53,Materials and Supplies,CLOTHING & OTHER              ,Operating,950
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,010,Mayor and Council,0100201,CITY COUNCIL,01002,Council Support,51000004,51,Personnel Services,BUDGET-VACANCY DISCOUNT       ,Operating,-6599
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,010,Mayor and Council,0100201,CITY COUNCIL,01002,Council Support,51010001,51,Personnel Services,SALARIES AND WAGES            ,Operating,311844
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,010,Mayor and Council,0100201,CITY COUNCIL,01002,Council Support,51010004,51,Personnel Services,PART TIME & TEMPORARY WAGES   ,Operating,96000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,010,Mayor and Council,0100201,CITY COUNCIL,01002,Council Support,51070001,51,Personnel Services,HEALTH AND WELFARE INSURANCE  ,Operating,50104
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,010,Mayor and Council,0100201,CITY COUNCIL,01002,Council Support,51070003,51,Personnel Services,INDEMNITY ADMIN               ,Operating,100208
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,010,Mayor and Council,0100201,CITY COUNCIL,01002,Council Support,51070004,51,Personnel Services,RETIREMENT PENSION CONTRIB    ,Operating,18106
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,010,Mayor and Council,0100201,CITY COUNCIL,01002,Council Support,51130010,51,Personnel Services,MILEAGE REIMBURSEMENT         ,Operating,2800
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,010,Mayor and Council,0100201,CITY COUNCIL,01002,Council Support,51510004,51,Personnel Services,EMPLOYEE PARKING              ,Operating,4445
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,010,Mayor and Council,0100201,CITY COUNCIL,01002,Council Support,51510016,51,Personnel Services,MILEAGE REIMBURSEMENT NP      ,Operating,5000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,010,Mayor and Council,0100201,CITY COUNCIL,01002,Council Support,52049001,52,Professional Services,EMPLOYEE TRAINING             ,Operating,9197
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,010,Mayor and Council,0100201,CITY COUNCIL,01002,Council Support,52070010,52,Professional Services,TELEPHONE                     ,Operating,3500
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,010,Mayor and Council,0100201,CITY COUNCIL,01002,Council Support,52130001,52,Professional Services,MEMBERSHIPS                   ,Operating,250
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,010,Mayor and Council,0100201,CITY COUNCIL,01002,Council Support,52130004,52,Professional Services,SUBSCRIPTIONS                 ,Operating,500
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,010,Mayor and Council,0100201,CITY COUNCIL,01002,Council Support,52280004,52,Professional Services,CHARGEBACK-IT                 ,Operating,44783
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,010,Mayor and Council,0100201,CITY COUNCIL,01002,Council Support,52280007,52,Professional Services,CHARGEBACK-RISK MANAGEMENT    ,Operating,1210
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,010,Mayor and Council,0100201,CITY COUNCIL,01002,Council Support,52280013,52,Professional Services,CHARGEBACK-PRINT SHOP         ,Operating,220
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,010,Mayor and Council,0100201,CITY COUNCIL,01002,Council Support,52290010,52,Professional Services,CHARGEBACK-POSTAGE            ,Operating,2100
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,010,Mayor and Council,0100201,CITY COUNCIL,01002,Council Support,52310001,52,Professional Services,PRINTING & BINDING            ,Operating,100
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,010,Mayor and Council,0100201,CITY COUNCIL,01002,Council Support,52310004,52,Professional Services,POSTAGE                       ,Operating,300
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,010,Mayor and Council,0100201,CITY COUNCIL,01002,Council Support,52340016,52,Professional Services,MACHINERY AND EQUIPMENT MTCE  ,Operating,1600
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,010,Mayor and Council,0100201,CITY COUNCIL,01002,Council Support,52370002,52,Professional Services,EMPLOYEE TRAVEL REIMBURSEMENT ,Operating,30960
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,010,Mayor and Council,0100201,CITY COUNCIL,01002,Council Support,52890001,52,Professional Services,OTHER SERVICES AND CHARGES    ,Operating,2250
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,010,Mayor and Council,0100201,CITY COUNCIL,01002,Council Support,53010001,53,Materials and Supplies,OFFICE SUPPLIES               ,Operating,2220
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,010,Mayor and Council,0100201,CITY COUNCIL,01002,Council Support,53010007,53,Materials and Supplies,COMPUTER SUPPLIES             ,Operating,1500
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,010,Mayor and Council,0100201,CITY COUNCIL,01002,Council Support,53010016,53,Materials and Supplies,NON-CAPITAL FURNITURE & FIXTUR,Operating,250
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,010,Mayor and Council,0100201,CITY COUNCIL,01002,Council Support,53890004,53,Materials and Supplies,CLOTHING & OTHER              ,Operating,1000
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,010,Mayor and Council,0100201,CITY COUNCIL,01002,Council Support,53890022,53,Materials and Supplies,OTHER SUPPLIES                ,Operating,3500
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,040,City Manager,0400101,CITY MANAGER'S OFFICE,04001,City Managers Office,51000004,51,Personnel Services,BUDGET-VACANCY DISCOUNT       ,Operating,-538
001,GENERAL FUND                  ,0001,GENERAL OPERATIONS-UASN       ,040,City Manager,0400101,CITY MANAGER'S OFFICE,04001,City Managers Office,51010001,51,Personnel Services,SALARIES AND WAGES            ,Operating,25440
