FundCode,FundDescription,OperatingUnit,OperatingUnitDescription,Agency,Agency Name,ProgramID,ProgramName,LineOfBusinessID,LOBName,Account,Character Class,Class Description,Account Description,Operating or Non,FY2016 Budget
750,SPECIAL PURPOSE               ,1657,1 Percent Art - Assigned      ,240,Planning,2407000,PLANNING SPECIAL PURPOSE,24070,Planning Special Purpose,52890001,52,Professional Services,OTHER SERVICES AND CHARGES    ,,20.000
750,SPECIAL PURPOSE               ,1648,1 PERCENT FOR ART-CMTD        ,240,Planning,2407000,PLANNING SPECIAL PURPOSE,24070,Planning Special Purpose,52000001,52,Professional Services,BUDGET-OTHER SRVCS & CHARGES  ,,8670.000
750,SPECIAL PURPOSE               ,1666,1 PERCENT FOR ART-RSTR        ,240,Planning,2407000,PLANNING SPECIAL PURPOSE,24070,Planning Special Purpose,53010001,53,Materials and Supplies,OFFICE SUPPLIES               ,,2395.000
750,SPECIAL PURPOSE               ,1666,1 PERCENT FOR ART-RSTR        ,240,Planning,2407000,PLANNING SPECIAL PURPOSE,24070,Planning Special Purpose,52000001,52,Professional Services,BUDGET-OTHER SRVCS & CHARGES  ,,89272.000
750,SPECIAL PURPOSE               ,1666,1 PERCENT FOR ART-RSTR        ,240,Planning,2407000,PLANNING SPECIAL PURPOSE,24070,Planning Special Purpose,53010001,53,Materials and Supplies,OFFICE SUPPLIES               ,,500.000
750,SPECIAL PURPOSE               ,1666,1 PERCENT FOR ART-RSTR        ,240,Planning,2407000,PLANNING SPECIAL PURPOSE,24070,Planning Special Purpose,54000001,54,Capital Purchase,BUDGET-CAPITAL OUTLAY         ,,2347842.000
511,AIRPORTS                      ,0800,AIRPORTS CITY OPERATIONS      ,511,Airport,5112101,AIRPORTS EXEC LEADERSHIP,51121,Airport Administration,51010004,51,Personnel Services,PART TIME & TEMPORARY WAGES   ,,25500.000
511,AIRPORTS                      ,0800,AIRPORTS CITY OPERATIONS      ,511,Airport,5112101,AIRPORTS EXEC LEADERSHIP,51121,Airport Administration,52280001,52,Professional Services,CHARGEBACK-ADMIN SRVCS        ,,889564.000
511,AIRPORTS                      ,0800,AIRPORTS CITY OPERATIONS      ,511,Airport,5112101,AIRPORTS EXEC LEADERSHIP,51121,Airport Administration,52280004,52,Professional Services,CHARGEBACK-IT                 ,,512720.000
511,AIRPORTS                      ,0800,AIRPORTS CITY OPERATIONS      ,511,Airport,5112101,AIRPORTS EXEC LEADERSHIP,51121,Airport Administration,52280007,52,Professional Services,CHARGEBACK-RISK MANAGEMENT    ,,996814.000
511,AIRPORTS                      ,0800,AIRPORTS CITY OPERATIONS      ,511,Airport,5112101,AIRPORTS EXEC LEADERSHIP,51121,Airport Administration,52280013,52,Professional Services,CHARGEBACK-PRINT SHOP         ,,1709.000
